NR DCconfiguration,Uplink NR DCconfiguration
DC_n1A-n3A,DC_n1A-n3A
DC_n1A-n7A,DC_n1A-n7A
DC_n1A-n20A,DC_n1A-n20A
DC_n1A-n28A,DC_n1A-n28A
DC_n1A-n41A,DC_n1A-n41A
DC_n1A-n46ADC_n1A-n46CDC_n1A-n46D,DC_n1A-n46A
DC_n1A-n46(2A),DC_n1A-n46A
DC_n1A-n77A2,DC_n1A-n77A
DC_n1A-n78A,DC_n1A-n78A
DC_n1A-n78(2A),DC_n1A-n78A
DC_n1A-n79A2,DC_n1A-n79A
DC_n1A-n102ADC_n1A-n102BDC_n1A-n102CDC_n1A-n102DDC_n1A-n102E,DC_n1A-n102ADC_n1A-n102BDC_n1A-n102C
DC_n1A-n102(2A),DC_n1A-n102A
DC_n2A-n5ADC_n2A-n5B,DC_n2A-n5A
DC_n2A-n48ADC_n2A-n48BDC_n2A-n48C,DC_n2A-n48A
DC_n2A-n48(2A)DC_n2A-n48(A-B),DC_n2A-n48A
DC_n2A-n66ADC_n2A-n66B,DC_n2A-n66A
DC_n2A-n77ADC_n2A-n77BDC_n2A-n77C,DC_n2A-n77A
DC_n2A-n77(2A)DC_n2A-n77(3A)DC_n2(2A)-n77ADC_n2(2A)-n77BDC_n2(2A)-n77(2A)DC_n2(2A)-n77C,DC_n2A-n77A
DC_n3A-n7A,DC_n3A-n7A
DC_n3A-n20A,DC_n3A-n20A
DC_n3A-n28A,DC_n3A-n28A
DC_n3A-n41A,DC_n3A-n41A
DC_n3A-n77A2,DC_n3A-n77A
DC_n3A-n77(2A) 2,DC_n3A-n77A
DC_n3A-n78A2,DC_n3A-n78A
DC_n3A-n78(2A)2,DC_n3A-n78A
DC_n3A-n79A,DC_n3A-n79A
DC_n3A-n102ADC_n3A-n102BDC_n3A-n102CDC_n3A-n102DDC_n3A-n102E,DC_n3A-n102ADC_n3A-n102BDC_n3A-n102C
DC_n3A-n102(2A),DC_n3A-n102A
DC_n5A-n13ADC_n5B-n13A,DC_n5A-n13A
DC_n5A-n48ADC_n5A-n48BDC_n5A-n48C,DC_n5A-n48A
DC_n5A-n48(2A),DC_n5A-n48A
DC_n5A-n66ADC_n5A-n66BDC_n5B-n66ADC_n5B-n66B,DC_n5A-n66A
DC_n5A-n66(2A)DC_n5A-n66(3A)DC_n5B-n66(2A),DC_n5A-n66A
DC_n5A-n77ADC_n5A-n77BDC_n5A-n77CDC_n5B-n77ADC_n5B-n77C,DC_n5A-n77A
DC_n5A-n77(2A)DC_n5A-n77(3A)DC_n5(2A)-n77ADC_n5(2A)-n77C,DC_n5A-n77A
DC_n7A-n20A,DC_n7A-n20A
DC_n7A-n28A,DC_n7A-n28A
DC_n7A-n46ADC_n7A-n46CDC_n7A-n46D,DC_n7A-n46A
DC_n7A-n46(2A),DC_n7A-n46A
DC_n7A-n78A,DC_n7A-n78A
DC_n7A-n78(2A),DC_n7A-n78A
DC_n7A-n102ADC_n7A-n102BDC_n7A-n102CDC_n7A-n102DDC_n7A-n102E,DC_n7A-n102ADC_n7A-n102BDC_n7A-n102C
DC_n7A-n102(2A),DC_n7A-n102A
DC_n8A-n78A2,DC_n8A-n78A
DC_n12A-n77A,DC_n12A-n77A
DC_n12A-n77(2A),DC_n12A-n77A
DC_n13A-n66ADC_n13A-n66B,DC_n13A-n66A
DC_n13A-n66(2A),DC_n13A-n66A
DC_n13A-n77ADC_n13A-n77C,DC_n13A-n77A
DC_n20A-n78A,DC_n20A-n78A
DC_n20A-n78(2A),DC_n20A-n78A
DC_n25A-n41A,DC_n25A-n41A
DC_n25A-n66A,DC_n25A-n66A
DC_n25A-n71A,DC_n25A-n71A
DC_n25A-n77A,DC_n25A-n77A
DC_n25A-n77(2A),DC_n25A-n77A
DC_n28A-n41A,DC_n28A-n41A
DC_n28A-n46ADC_n28A-n46CDC_n28A-n46D,DC_n28A-n46A
DC_n28A-n46(2A),DC_n28A-n46A
DC_n28A-n77A2,DC_n28A-n77A
DC_n28A-n77(2A),DC_n28A-n77A
DC_n28A-n78A2,DC_n28A-n78A
DC_n28A-n78(2A)2,DC_n28A-n78A
DC_n28A-n79A,DC_n28A-n79A
DC_n28A-n102ADC_n28A-n102B DC_n28A-n102CDC_n28A-n102DDC_n28A-n102E,DC_n28A-n102ADC_n28A-n102B DC_n28A-n102C
DC_n28A-n102(2A),DC_n28A-n102A
DC_n40A-n77A,DC_n40A-n77A
DC_n40A-n78A,DC_n40A-n78A
DC_n41A-n66A,DC_n41A-n66A
DC_n41A-n71A,DC_n41A-n71A
DC_n41A-n77A,DC_n41A-n77A
DC_n41A-n78A,DC_n41A-n78A
"DC_n41A-n79A2, 3",DC_n41A-n79A
DC_n46A-n48ADC_n46A-n48BDC_n46A-n48CDC_n46B-n48ADC_n46B-n48BDC_n46B-n48CDC_n46C-n48ADC_n46C-n48BDC_n46C-n48CDC_n46D-n48ADC_n46D-n48BDC_n46D-n48CDC_n46N-n48ADC_n46N-n48BDC_n46N-n48C,DC_n46A-n48ADC_n46A-n48B
DC_n46A-n77ADC_n46C-n77ADC_n46D-n77A,DC_n46A-n77A
DC_n46A-n77(2A)DC_n46C-n77(2A)DC_n46D-n77(2A)DC_n46(2A)-n77ADC_n46(2A)-n77(2A),DC_n46A-n77A
DC_n46A-n78ADC_n46C-n78ADC_n46D-n78A,DC_n46A-n78A
DC_n46A-n78(2A)DC_n46C-n78(2A)DC_n46D-n78(2A)DC_n46(2A)-n78ADC_n46(2A)-n78(2A),DC_n46A-n78A
DC_n48A-n66ADC_n48B-n66ADC_n48B-n66BDC_n48C-n66ADC_n48C-n66B,DC_n48A-n66A
DC_n48A-n66(2A)DC_n48B-n66(2A)DC_n48(2A)-n66ADC_n48(2A)-n66(2A),DC_n48A-n66A
DC_n48A-n70ADC_n48B-n70A,DC_n48A-n70A
