SUL band combination with CA,UL configuration,NR Band,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
CA_n1A_n78A-n80A,SUL_n78A-n80A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n80,"5, 10, 15, 20, 25, 30, 40",
,,n1,See n1 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,
,,n80,See n80 channel bandwidths in Table 5.3.5-1 for each carrier,
CA_n1A_n78C-n80A,SUL_n78A-n80ACA_n78CCA_n1A-n78ACA_n78C-n80A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,CA_n78C_BCS1,
,,n80,"5, 10, 15, 20, 25, 30, 40",
,,n1,See n1 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,,n78,CA_n78C_BCS4 and 5,
,,n80,See n80 channel bandwidths in Table 5.3.5-1 for each carrier,
CA_n1A_n78A-n81A,SUL_n78A-n81A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n81,"5, 10, 15, 20",
CA_n1A_n78C-n81A,SUL_n78A-n81ACA_n78C-n81ACA_n78CCA_n1A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,CA_n78C_BCS1,
,,n81,"5, 10, 15, 20",
CA_n1A_n78A-n84A,SUL_n78A-n84A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n84,"5, 10, 15, 20, 25, 30, 40, 50",
,,n1,See n1 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,,n78,See n78 channel bandwidths in Table 5.3.5-1 for each carrier,
,,n84,See n84 channel bandwidths in Table 5.3.5-1 for each carrier,
CA_n1A_n78C-n84A,SUL_n78A-n84ACA_n78C-n84A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,CA_n78C_BCS1,
,,n84,"5, 10, 15, 20, 25, 30, 40, 50",
,,n1,See n1 channel bandwidths in Table 5.3.5-1 for each carrier,4 and 5
,,n78,CA_n78C_BCS4 and 5,
,,n84,See n84 channel bandwidths in Table 5.3.5-1 for each carrier,
CA_n1A_n78A-n89A,SUL_n78A-n89ACA_n1A-n78A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n89,"5, 10, 15, 20",
CA_n1A_n78C-n89A,SUL_n78A-n89ACA_n78CCA_n1A-n78ACA_n78C-n89A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n78,See CA_n78C Bandwidth Combination Set 1 in Table 5.5A.1-1,
,,n89,"5, 10, 15, 20",
CA_n3A_n41A-n80A,SUL_n41A-n80A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n80,"5, 10, 15, 20, 25, 30, 40",
CA_n3A_n41C-n80A,SUL_n41A-n80ACA_n41C-n80A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n41,CA_n41C_BCS1,
,,n80,"5, 10, 15, 20, 25, 30, 40",
CA_n3A_n78A-n80A,SUL_n78A-n80A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
,,n80,"5, 10, 15, 20, 25, 30, 40",
CA_n3A_n78C-n80A,SUL_n78A-n80ACA_n78C-n80A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n78,CA_n78C_BCS1,
,,n80,"5, 10, 15, 20, 25, 30, 40",
CA_n3A_n78A-n84A,SUL_n78A-n84ACA_n3A-n78A,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",
