NR DCconfiguration,Uplink NR DCconfiguration
DC_n1A-n3A-n7A,DC_n1A-n3ADC_n1A-n7ADC_n3A-n7A
DC_n1A-n3A-n20A,DC_n1A-n3ADC_n1A-n20ADC_n3A-n20A
DC_n1A-n3A-n28A,DC_n1A-n3ADC_n1A-n28ADC_n3A-n28A
DC_n1A-n3A-n41A,DC_n1A-n3ADC_n1A-n41ADC_n3A-n41A
DC_n1A-n3A-n67A,DC_n1A-n3A
DC_n1A-n3A-n77A,DC_n1A-n3ADC_n3A-n77ADC_n1A-n77A
DC_n1A-n3A-n78A,DC_n1A-n3ADC_n3A-n78ADC_n1A-n78A
DC_n1A-n3A-n78(2A),DC_n1A-n3ADC_n3A-n78ADC_n1A-n78A
DC_n1A-n3A-n79A,DC_n1A-n3ADC_n3A-n79ADC_n1A-n79A
DC_n1A-n7A-n28A,DC_n1A-n7ADC_n7A-n28ADC_n1A-n28A
DC_n1A-n7A-n67A,DC_n1A-n7A
DC_n1A-n7A-n78A,DC_n1A-n7ADC_n7A-n78ADC_n1A-n78A
DC_n1A-n7A-n78(2A),DC_n1A-n7ADC_n7A-n78ADC_n1A-n78A
DC_n1A-n20A-n67A,DC_n1A-n20A
DC_n1A-n28A-n41A,DC_n1A-n28ADC_n1A-n41ADC_n28A-n41A
DC_n1A-n28A-n46ADC_n1A-n28A-n46CDC_n1A-n28A-n46D,DC_n1A-n46ADC_n28A-n46A
DC_n1A-n28A-n46(2A),DC_n1A-n46ADC_n28A-n46A
DC_n1A-n28A-n77A,DC_n1A-n28ADC_n1A-n77ADC_n28A-n77A
DC_n1A-n28A-n78A,DC_n1A-n28ADC_n1A-n78ADC_n28A-n78A
DC_n1A-n28A-n78(2A),DC_n1A-n28ADC_n1A-n78ADC_n28A-n78A
DC_n1A-n28A-n79A,DC_n1A-n28ADC_n1A-n79ADC_n28A-n79A
DC_n1A-n28A-n102ADC_n1A-n28A-n102BDC_n1A-n28A-n102CDC_n1A-n28A-n102DDC_n1A-n28A-n102E,DC_n1A-n102ADC_n1A-n102BDC_n1A-n102CDC_n28A-n102ADC_n28A-n102BDC_n28A-n102C
DC_n1A-n28A-n102(2A),DC_n1A-n102ADC_n28A-n102A
DC_n1A-n41A-n77A,DC_n1A-n41ADC_n1A-n77ADC_n41A-n77A
DC_n1A-n41A-n79A,DC_n1A-n41ADC_n1A-n79ADC_n41A-n79A
DC_n1A-n46A-n78ADC_n1A-n46C-n78ADC_n1A-n46D-n78A,DC_n1A-n46ADC_n1A-n78ADC_n46A-n78A
DC_n1A-n46A-n78(2A)DC_n1A-n46C-n78(2A)DC_n1A-n46D-n78(2A)DC_n1A-n46(2A)-n78ADC_n1A-n46(2A)-n78(2A),DC_n1A-n46ADC_n1A-n78ADC_n46A-n78A
DC_n1A-n67A-n78A,DC_n1A-n78A
DC_n1A-n67A-n78(2A),DC_n1A-n78A
DC_n1A-n77A-n79A,DC_n1A-n77ADC_n1A-n79ADC_n77A-n79A
DC_n1A-n78A-n102ADC_n1A-n78A-n102BDC_n1A-n78A-n102CDC_n1A-n78A-n102DDC_n1A-n78A-n102E,DC_n1A-n78ADC_n1A-n102ADC_n1A-n102BDC_n1A-n102CDC_n78A-n102ADC_n78A-n102BDC_n78A-n102C
DC_n1A-n78(2A)-n102ADC_n1A-n78(2A)-n102BDC_n1A-n78(2A)-n102CDC_n1A-n78(2A)-n102DDC_n1A-n78(2A)-n102EDC_n1A-n78A-n102(2A)DC_n1A-n78(2A)-n102(2A),DC_n1A-n78ADC_n1A-n102ADC_n1A-n102BDC_n1A-n102CDC_n78A-n102ADC_n78A-n102BDC_n78A-n102C
DC_n2A-n5A-n48ADC_n2A-n5A-n48B,DC_n2A-n5ADC_n2A-n48ADC_n5A-n48A
DC_n2A-n5A-n48(2A)DC_n2A-n5A-n48(A-B),DC_n2A-n5ADC_n2A-n48ADC_n5A-n48A
DC_n2A-n5A-n66A,DC_n2A-n5ADC_n2A-n66ADC_n5A-n66A
DC_n2A-n5A-n66(2A)DC_n2A-n5A-n66(3A)DC_n2(2A)-n5A-n66ADC_n2(2A)-n5A-n66(2A),DC_n2A-n5ADC_n2A-n66ADC_n5A-n66A
DC_n2A-n5A-n77ADC_n2A-n5A-n77C,DC_n2A-n5ADC_n2A-n77ADC_n5A-n77A
DC_n2A-n5A-n77(2A)DC_n2(2A)-n5A-n77ADC_n2(2A)-n5A-n77(2A),DC_n2A-n5ADC_n2A-n77ADC_n5A-n77A
DC_n2A-n48A-n66ADC_n2A-n48B-n66A,DC_n2A-n48ADC_n2A-n66ADC_n48A-n66A
DC_n2A-n48(2A)-n66ADC_n2A-n48(A-B)-n66A,DC_n2A-n48ADC_n2A-n66ADC_n48A-n66A
