PC3 MSD (dB),MSDmax / MSD(dB),,,,,,
,6,9,12,15,18,24,30
0.1≤ PC3 MSD <0.5,1.2,2.4,3.9,5.8,7.9,13.2,18.8
0.5≤ PC3 MSD <1.0,1.7,3.5,5.4,7.5,10.0,15.6,21.4
1.0≤ PC3 MSD <2.0,2.8,4.8,7.1,9.6,12.4,18.0,24.1
2.0≤ PC3 MSD <3.0,3.5,5.7,8.2,10.9,13.7,19.5,25.5
3.0≤ PC3 MSD <4.0,3.9,6.3,8.9,11.7,14.5,20.5,26.5
4.0≤ PC3 MSD <5.0,4.3,6.8,9.4,12.4,15.2,21.2,27.2
5.0≤ PC3 MSD <6.0,4.5,7.1,9.9,12.8,15.8,21.7,27.7
6.0≤ PC3 MSD <7.0,4.8,7.6,10.4,13.3,16.2,22.3,28.2
7.0≤ PC3 MSD <8.0,5.0,7.8,10.7,13.6,16.6,22.5,28.5
8.0≤ PC3 MSD <9.0,5.2,8.1,11.0,14.0,16.9,22.8,28.8
PC3 MSD ≥9.0,6,9,12,15,18,24,30
