NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,
EN-DC Configuration,EUTRA / NR band,UL Fc (MHz),UL/DL BW (MHz),ULLCRB,DL Fc (MHz),MSD (dB),IMD order
DC_1A-7A_n7A-n78A,1,N/A,5,N/A,2140,8.7,IMD4
,"7, n7",2510,10,50,2630,N/A,N/A
,n78,3580,10,50,3580,N/A,N/A
,1,1977.5,5,25,2167.5,N/A,N/A
,"7, n7",N/A,5,N/A,2627.5,9.1,IMD4
,n78,3305,10,50,3305,N/A,N/A
,1,1970,5,25,2160,N/A,N/A
,"7, n7",2520,5,25,2640,N/A,N/A
,n78,N/A,10,N/A,3390,10.1,IMD4
DC_3A-7A_n7A-n78ADC_3A-3A-7A_n7A-n78ADC_3C-7A_n7A-n78A,3,N/A,5,N/A,1820,17.6,IMD3
,"7, n7",2565,5,25,2685,N/A,N/A
,n78,3310,10,50,3310,N/A,N/A
,3,N/A,5,N/A,1820,8.6,IMD4
,"7, n7",2565,5,25,2685,N/A,N/A
,n78,3475,10,50,3475,N/A,N/A
,3,1730,5,25,1825,N/A,N/A
,"n7, n7",2560,5,25,2680,N/A,N/A
,n78,N/A,10,N/A,3390,16.1,IMD3
DC_7A-28A_n7A-n78A,"7, n7",2565,5,25,2685,N/A,N/A
,28,N/A,5,N/A,800,28.8,IMD2
,n78,3365,10,50,3365,N/A,N/A
,"7, n7",2570,5,25,2670,N/A,N/A
,28,N/A,5,N/A,790,3.0,IMD5
,n78,3460,10,50,3421,N/A,N/A
,"7, n7",N/A,5,N/A,2650,30.5,IMD2
,28,740,5,25,768,N/A,N/A
,n78,3390,10,50,3421,N/A,N/A
,"7, n7",2565,5,25,2685,N/A,N/A
,28,745,5,25,800,N/A,N/A
,n78,N/A,10,N/A,3310,29.7,IMD2
"NOTE 1: VoidNOTE 2:E-UTRA carrier shall be set to min(+20 dBm, PCMAX_L_E-UTRA,c) and NR carrier shall be set to min(+20 dBm, PCMAX_L,f,c,NR) as defined in clause 6.2B.4.1.3.",,,,,,,
