E-UTRA and NR DC Configuration,Spurious emission,,,,,,
,Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
DC_n28_34,"E-UTRA Band 3, 7, 8, 18, 19 ,20, 26, 31, 38, 40, 41, 72NR band n77, n79, n100, n101",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 22, 32, 42, 43, 50, 51, 52, 65, 73, 74, 75 NR band n78, n109",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 11, 21",FDL_low,-,FDL_high,-50,1,"5, 6"
,E-UTRA Band 1,FDL_low,-,FDL_high,-50,1,"5, 7"
,Frequency range,470,-,694,-42,8,"4, 9"
,Frequency range,470,-,710,-26.2,6,8
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
DC_n28_39,"E-UTRA Band 8, 26, 34, 40, 41NR band n79",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 22, 42, 50, 51, 52, 73, 74NR band n77, n78",FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 1,FDL_low,-,FDL_high,-50,1,"5, 7"
,Frequency range,470,-,694,-42,8,"4, 9"
,Frequency range,470,-,710,-26.2,6,8
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
DC_n41_34,"UTRA Band 1, 3, 8, 26, 28, 39, 42, 44, 45, 50, 51, 52, 65, 73, 74NR band n78",FDL_low,-,FDL_high,-50,1,
,NR band n79,FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 11, 18, 19, 21",FDL_low,-,FDL_high,-50,1,
,E-UTRA 40,FDL_low,-,FDL_high,-40,1,
"NOTE 1:FDL_low and FDL_high refer to each frequency band specified in Table 5.5-1 in TS 36.101 [4] or in Table 5.2-1 in TS 38.101-1 [2].NOTE 2:As exceptions, measurements with a level up to the applicable requirements defined in Table 6.6.3.1-2 are permitted for each assigned E-UTRA carrier used in the measurement due to 2nd, 3rd, 4th or 5th harmonic spurious emissions. Due to spreading of the harmonic emission the exception is also allowed for the first 1 MHz frequency range immediately outside the harmonic emission on both sides of the harmonic emission. This results in an overall exception interval centred at the harmonic emission of (2 MHz + N x LCRB x 180 kHz), where N is 2, 3, 4, 5 for the 2nd, 3rd, 4th or 5th harmonic respectively. The exception is allowed if the measurement bandwidth (MBW) totally or partially overlaps the overall exception interval.NOTE 3:VoidNOTE 4:These requirements also apply for the frequency ranges that are less than FOOB (MHz) in Table 6.6.3.1-1, Table 6.6.3.1A-1 in TS 36.101 [4] or in Table 6.5.3.1-1 in TS 38.101-1 [2] from the edge of the channel bandwidth.NOTE 5:Applicable when the assigned E-UTRA carrier is confined within 718 MHz and 748 MHz and when the channel bandwidth used is 5 or 10 MHz.NOTE 6:As exceptions, measurements with a level up to the applicable requirement of -38 dBm/MHz is permitted for each assigned E-UTRA carrier used in the measurement due to 2nd harmonic spurious emissions. An exception is allowed if there is at least one individual RB within the transmission bandwidth (see Figure 5.6-1) for which the 2nd harmonic totally or partially overlaps the measurement bandwidth (MBW).NOTE 7:As exceptions, measurements with a level up to the applicable requirement of -36 dBm/MHz is permitted for each assigned E-UTRA carrier used in the measurement due to 3rd harmonic spurious emissions. An exception is allowed if there is at least one individual RB within the transmission bandwidth (see Figure 5.6-1) for which the 3rd harmonic totally or partially overlaps the measurement bandwidth (MBW).NOTE 8:This requirement is applicable for 5 and 10 MHz E-UTRA channel bandwidth allocated within 718-728MHz. For carriers of 10 MHz bandwidth, this requirement applies for an uplink transmission bandwidth less than or equal to 30 RB with RBstart > 1 and RBstart < 48.NOTE 9:This requirement is applicable in the case of a 10 MHz E-UTRA carrier confined within 703 MHz and 733 MHz, otherwise the requirement of -25 dBm with a measurement bandwidth of 8 MHz applies.",,,,,,,
