EN-DC configuration,Power class 1.5(dBm),Tolerance(dB),Power class 2(dBm),Tolerance(dB),Power class 3(dBm),Tolerance(dB)
DC_(n)3AA3,,,,,23,+2/-3
DC_(n)5AA3,,,,,23,+2/-3
DC_(n)7AA3,,,,,23,+2/-3
DC_(n)8AA3,,,,,23,+2/-3
DC_(n)12AA3,,,,,23,+2/-3
DC_(n)40AA3,,,26,+2/-3,23,+2/-3
DC_(n)71AA,,,,,23,+2/-3
DC_(n)38AA3,,,,,23,+2/-3
DC_(n)41AA,29,+2/-3,26,+2/-3,23,+2/-3
DC_(n)48AA3,,,,,23,+2/-3
DC_(n)66AA3,,,,,23,+2/-3
NOTE 1: An uplink DC configuration in which the band has NOTE 3 in Table 6.2.1-1 in TS 38.101-1 or NOTE 2 in Table 6.2.2-1 in TS 36.101 is allowed to reduce the lower tolerance limit by 1.5 dB when the transmission bandwidths of at least one of the bands are confined within FUL_low and FUL_low + 4 MHz or FUL_high - 4 MHz and FUL_high.NOTE 2:Power Class 3 is the default power class unless otherwise stated.NOTE 3:Only single switched UL is supported.,,,,,,
