NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,
EN-DCConfiguration,EUTRA or NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),IMD order
DC_1_n3,1,1950,5,25,2140,23,IMD3
,n3,1760,5,25,1855,N/A,N/A
DC_1C_n3,1C,19501970,2020,1 (RBstart=0)1 (RBstart=67),21402160,N/A,N/A
,n3,N/A,5,N/A,1877.5,36,IMD5
DC_1A_n8A,1,1965,5,25,2155,6.0,IMD4
,n8,887.5,5,25,932.5,N/A,N/A
DC_1A_n71ADC_1A_n71B,1,1958,5,25,2148,N/A,N/A
,n71,668,5,25,622,15.1,IMD3
DC_1A_n77ADC_1A_SUL_n77A-n84ADC_1A_n77(2A)DC_1A_n77(3A),1,1950,5,25,2140,29.8,IMD212
,n77,4090,10,50,4090,N/A,N/A
DC_1A_n78ADC_1A_SUL_n78A-n84ADC_1A_n78(2A)DC_1A_n78(A-C),1,1950,5,25,2140,8.0,IMD43
,n78,3710,10,50,3710,N/A,N/A
DC_2A_n46A,2,1880,5,25,1960,12.0,IMD3
,n46,5720,20,100,5720,N/A,N/A
DC_2A_n48A,2,1852.5,5,25,1932.5,12,IMD4
,n48,3625,20,100,3625,N/A,N/A
DC_2A_n66ADC_2A-2A_n66ADC_2A_n66(2A),2,1855,5,25,1935,20,IMD3
,n66,1775,5,25,2175,N/A,N/A
,2,1883.3,5,25,1963.3,N/A,N/A
,n66,1750,5,25,2150,4,IMD5
DC_2A_n77ADC_2A_n77(2A)DC_2A-2A_n77ADC_2A_n77(2A)DC_2A-2A_n77(2A),2,1855,5,25,1935,26,IMD212
,n77,3790,10,50,3790,N/A,N/A
,2,1885,5,25,1965,5,IMD5
,n77,3810,10,50,3810,N/A,N/A
DC_2A_n78ADC_2A_n78(2A)DC_2A-2A_n78(2A),2,1855,5,25,1935,26,IMD212
,n78,3790,10,50,3790,N/A,N/A
DC_3_n1,3,1760,5,25,1855,N/A,N/A
,n1,1950,5,25,2140,23,IMD3
DC_3_n5,3,1771,10,50,1866,4,IMD4
,n5,838,5,25,883,N/A,N/A
,3,1721,10,50,1816,N/A,N/A
,n5,838,5,25,883,24,IMD23
DC_3A_n7ADC_3C_n7A,3,1730,5,25,1825,N/A,N/A
,n7,2535,10,50,2655,10.2,IMD4
DC_3_n8,n8,900,5,25,945,8,IMD43
,3,1755,10,50,1850,N/A,N/A
,n8,897.5,5,25,942.5,N/A,N/A
,3,1747.5,10,50,1842.5,6.4,IMD5
DC_3A_n20ADC_3C_n20ADC_3A-3A_n20A,3,1775,5,25,1870,4,IMD4
,n20,840,5,25,799,N/A,N/A
,3,1735,5,25,1830,N/A,N/A
,n20,847,5,25,806,9,IMD4
DC_3A_n26A,3,1771,10,50,1866,4,IMD4
,n26,838,5,25,883,N/A,N/A
,3,1721,10,50,1816,N/A,N/A
,n26,838,5,25,883,24,IMD23
DC_3C_n26A,3,1720,20,1 (RBSTART=0),1815,N/A,N/A
,,1739.8,20,1 (RBSTART=99),1834.8,N/A,
,n26,841.5,15,25(RBSTART=54),886.5,18.9,IMD3
DC_3C_n28A,n28,715.5,25,25(RBSTART=108),770.5,11,IMD39
,3,1720,20,1 (RBSTART=0),1815,N/A,N/A
,,1739.8,20,1 (RBSTART=99),1834.8,,
