UL band,DL band,UL Fc,UL BW,SCS of UL band,UL RB Allocation,DL Fc,DL BW,MSD,Cross-bandInterferencesource
,,(MHz),(MHz),(kHz),LCRB,(MHz),(MHz),(dB),
n1,3,1922.5,5,15,25 (RBstart=0),1877.5,5,3,>ACLR2
n1,3,1945,50,15,128 (RBstart=0),1877.5,5,19.7,ACLR1
n1,38,1955,50,15,128 (RBstart=142),2572.5,5,2.9,>ACLR2
n1,40,1955,50,15,128 (RBstart=142),2302.5,5,6.6,>ACLR2
n1,41,1955,50,15,128 (RBstart=142),2498.5,5,6.1,>ACLR2
1,n3,1930,20,15,100 (RBstart=0),1877.5,5,[7.9],>ACLR2
1,n3,1922.5,5,15,25 (RBstart=0),1877.5,5,3,>ACLR2
1,n40,1970,20,15,100 (RBstart=0),2305,10,6.6,>ACLR2
1,n41,1970,20,15,100 (RBstart=0),2501,10,6.1,>ACLR2
n3,11,1735,50,15,50 (RBstart=0),1493.4,5,6.4,>ACLR2
n3,11,1712.5,5,15,25 (RBstart=0),1493.4,5,6.4,>ACLR2
n3,41,1760,50,15,50 (RBstart=220),2498.5,5,0.7,>ACLR2
3,n41,1775,20,15,50 (RBstart=50),2501,10,0.7,>ACLR2
3,n51,1720,20,15,50 (RBstart=0),1429.5,5,6.4,>ACLR2
3,n51,1712.5,5,15,25 (RBstart=0),1429.5,5,6.4,>ACLR2
n5,28,834,20,15,20 (RBstart=0),800.5,5,17.5,ACLR2
5,n28,829,10,15,25 (RBstart=0),800.5,5,11.4,>ACLR2
7,n40,2510,20,15,75 (RBstart=0),2395,10,3.7,>ACLR2
n12,71,706.5,15,15,20 (RBstart=0),649.5,5,3.8,>ACLR2
12,n71,704,10,15,20 (RBstart=0),649.5,5,3.8,>ACLR2
18,n287,822.5,15,15,25 (RBstart=0),800.5,5,31.3,ACLR1
18,n28,822.5,15,15,25 (RBstart=0),785.5,5,12.7,ACLR2
n25,2,1895,40,15,40 (RBstart=176),1932.5,5,33,ACLR1
28,n71,713,20,15,25 (RBstart=0),649.5,5,5.7,>ACLR2
28,n105,713,20,15,25 (RBstart=0),649.5,5,5.7,>ACLR2
30,n66,2310,10,15,25 (RBstart=0),2177.5,5,8.3,>ACLR2
n34,3,2017.5,15,15,75 (RBstart=0),1877.5,5,3,>ACLR2
n38,1,2590,40,15,216 (RBstart=0),2167.5,5,1.9,>ACLR2
n38,2,2590,40,15,216 (RBstart=0),1987.5,5,0.6,>ACLR2
n38,4,2590,40,15,216 (RBstart=0),2152.5,5,1.9,>ACLR2
n38,66,2590,40,15,216 (RBstart=0),2177.5,5,1.9,>ACLR2
