Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)6",,,,
,Component band in order of bands in configuration7,,,,
DC_1-3-5-7_n28DC_1-3-5-7-7_n28,0.5,0.5,0.7,0.6,0.7
DC_1-3-5-7_n40DC_1-3-5-7-7_n40,0.6,0.6,0.6,0.8,0.9
DC_1-3-5-7_n77,0.6,0.6,0.6,0.6,0.8
DC_1-3-5-7_n78DC_1-3-5-7-7_n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-5_n28-n78,0.6,0.6,0.6,0.6,0.9
DC_1-3-5_n40-n77,0.6,0.6,0.6,0.35,0.85
DC_1-3-5_n40-n78,0.6,0.6,0.6,0.35,0.85
DC_1-3-5-41_n79,0.5,0.5,0.3,0.53 / 0.84,-
DC_1-3-7_n3-n78,0.7,0.7,0.7,0.7,0.8
DC_1-3-7_n5-n40,0.6,0.6,0.8,0.6,0.9
DC_1-3-7_n7-n78,0.7,0.7,0.7,0.7,0.8
DC_1-3-7-8_n7,0.6,0.6,0.6,0.6,0.6
DC_1-3-7-8_n28DC_1-3-3-7-8_n78DC_1-3-7-7-8_n78DC_1-3-3-7-7-8_n78,0.5,0.5,0.6,0.6,0.6
DC_1-3-7-8_n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-7_n8-n78DC_1-3-3-7_n8-n78DC_1-3-7-7_n8-n78DC_1-3-3-7-7_n8-n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-7-20_n8,0.6,0.6,0.6,0.6,0.6
DC_1-3-7-20_n28,0.6,0.6,0.6,0.6,0.6
DC_1-3-7-20_n38,0.3,0.3,N/A,0.3,N/A
DC_1-3-7-20_n78,0.6,0.6,0.6,0.6,0.6
DC_1-3-7-26_n78DC_1-1-3-7-20_n78DC_1-3-3-7-20_n78DC_1-3-7-7-20_n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-7_n26-n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-7-28_n3,0.6,0.6,0.6,0.6,0.6
DC_1-3-7-28_n5,0.6,0.6,0.6,0.6,0.6
DC_1-3-7-28_n7DC_1-3-28-(n)7,0.6,0.6,0.6,0.6,0.6
DC_1-3-7-28_n38,0.6,0.6,0.6,0.6,0.6
DC_1-3-7_n28-n38,0.6,0.6,0.6,0.6,0.6
DC_1-3-7-28_n40,0.6,0.6,0.8,0.6,0.9
DC_1-3-7-28_n78DC_1-3-7-7-28_n78,0.7,0.7,0.7,0.6,0.8
DC_1-3-7_n28-n78,0.7,0.7,0.7,0.6,0.8
DC_1-3-7-32_n28,0.6,0.6,0.6,N/A,0.6
DC_1-3-7-32_n78,0.7,0.7,0.7,N/A,0.8
DC_1-3-7-38_n28,0.6,0.6,N/A,N/A,0.5
DC_1-3-7-38_n78,0.7,0.7,N/A,N/A,0.8
DC_1-3-7-40_n78,0.6,0.6,0.5,0.35,0.85
DC_1-3-7_n40-n77DC_1-3-7-7_n40-n77,0.6,0.6,0.8,0.9,0.8
DC_1-3-7_n40-n78DC_1-3-7-7_n40-n78,0.6,0.6,0.8,0.9,0.8
DC_1-3-7_n40-n105,0.7,0.7,0.7,0.8,0.7
DC_1-3-7_n75-n78,0.7,0.7,0.7,N/A,0.8
DC_1-3-7_n78-n105,0.7,0.7,0.7,0.8,0.7
DC_1-3-8_n1-n41DC_1-3-3-8_n1-n41,0.5,0.5,0.3,0.5,0.33 / 0.84
DC_1-3-8_n1-n78DC_1-3-3-8_n1-n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-8_n7-n78,0.7,0.7,0.6,0.7,0.8
DC_1-3-8-11_n28,0.3,0.8,0.6,0.9,0.6
DC_1-3-8-11_n77,0.6,0.8,0.6,0.9,0.8
DC_1-3-8-20_n28,0.6,0.6,0.6,0.6,0.6
DC_1-3-8-20_n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-8-28_n40,0.6,0.6,0.6,0.6,0.5
DC_1-3-8-28_n71,0.3,0.3,0.7,1.1,1.1
DC_1-3-8-28_n77,0.6,0.6,0.6,0.6,0.8
DC_1-3-8_n28-n77,0.6,0.6,0.6,0.6,0.8
DC_1-3-8-28_n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-8_n28-n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-8_n40-n71,0.5,0.5,0.5,0.5,0.6
DC_1-3-8_n40-n77,0.6,0.6,0.6,0.5,0.8
DC_1-3-8-41_n1DC_1-3-3-8-41_n1,0.5,0.5,0.3,0.33 / 0.84,0.5
DC_1-3-8-41_n41DC_1-3-3-8-41_n41,0.5,0.5,0.3,0.33 / 0.84,0.33 / 0.84
DC_1-3-8-41_n78,0.7,0.7,0.6,0.7,0.8
DC_1-3-8-32_n78,0.6,0.6,0.6,N/A,0.8
DC_1-3-8-40_n78,0.6,0.6,0.6,0.35,0.85
DC_1-3-8-38_n28,0.6,0.6,0.6,-,0.6
DC_1-3-8-38_n78,0.6,0.6,0.6,-,0.8
DC_1-3-8-40_n28,0.6,0.6,0.6,-,0.6
DC_1-3-8_n41-n78,0.7,0.7,0.6,0.7,0.8
DC_1-3-8-42_n77,0.6,0.6,0.6,N/A,0.8
DC_1-(n)3-8_n77,0.6,0.6,0.6,0.6,0.8
DC_1-3-8_n71-n77,0.6,0.6,0.6,0.6,0.8
DC_1-3-8_n77-n79,0.6,0.6,0.6,0.8,0.5
DC_1-3-11_n28-n77,0.6,0.8,0.9,0.6,0.8
DC_1-3-18_n3-n41,0.5,0.5,0.3,0.5,0.33 / 0.84
DC_1-3-18_n3-n77,0.6,0.6,0.3,0.6,0.8
DC_1-3-18_n3-n78,0.6,0.6,0.3,0.6,0.8
DC_1-3-18_n28-n41,0.5,0.5,0.3,0.6,0.33 / 0.84
DC_1-3-18_n28-n77,0.3,0.3,0.3,0.6,0.8
DC_1-3-18_n28-n77,0.3,0.3,0.3,0.6,0.8
DC_1-3-18_n41-n77,0.5,0.5,0.3,0.33 / 0.84,0.8
DC_1-3-18_n41-n78,0.5,0.5,0.3,0.33 / 0.84,0.8
DC_1-3-18-42_n77,0.6,0.6,0.3,N/A,0.8
DC_1-3-18-42_n78,0.6,0.6,0.3,N/A,0.8
DC_1-3-18-42_n79,0.6,0.6,0.3,N/A,-
DC_1-3-19-21_n77,0.6,0.8,0.3,0.9,0.8
DC_1-3-19-21_n78,0.6,0.8,0.3,0.9,0.8
DC_1-3-19-21_n79,0.3,0.8,0.3,0.9,-
DC_1-3-19-42_n77,0.6,0.6,0.3,N/A,0.8
DC_1-3-19-42_n78,0.6,0.6,0.3,N/A,0.8
DC_1-3-19-42_n79,0.6,0.6,0.3,N/A,-
DC_1-3-20_n1-n78,0.6,0.6,0.3,0.6,0.8
DC_1-3-20_n7-n78,0.6,0.6,0.3,0.6,0.8
DC_1-3-20_n8-n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-20_n28-n75,0.3,0.3,0.6,0.6,N/A
DC_1-3-20-28_n78DC_1-3-3-20-28_n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-20_n28-n78,0.6,0.6,0.6,0.6,0.8
DC_1-3-20-32_n28,0.3,0.3,0.6,N/A,0.6
DC_1-3-20-32_n78,0.6,0.6,0.6,N/A,0.8
DC_1-3-20-38_n28,0.3,0.6,0.6,0.5,0.6
DC_1-3-20-38_n78,0.3,0.6,0.6,0.5,0.8
DC_1-3-20_n38-n78,0.3,0.6,0.6,0.5,0.8
DC_1-3-20-40_n28,0.3,0.6,0.6,0.5,0.6
DC_1-3-20-40_n78,0.5,0.5,0.3,0.55,0.85
DC_1-3-20-41_n1DC_1-3-3-20-41_n1,0.5,0.5,0.3,0.33 / 0.84,0.5
DC_1-3-20-41_n78,0.5,0.5,0.3,0.33 / 0.84,0.8
DC_1-3-20_n41-n78,0.5,0.5,0.3,0.5,0.8
DC_1-3-21-42_n77,0.6,0.8,0.9,N/A,0.6
DC_1-3-21-42_n78,0.6,0.8,0.9,N/A,0.6
DC_1-3-21-42_n79,0.6,0.8,0.9,N/A,-
DC_1-3-21_n77-n79,0.6,0.8,0.9,0.8,-
DC_1-3-21_n78-n79,0.6,0.8,0.9,0.8,-
DC_1-3-28_n3-n78,0.6,0.6,0.6,0.6,0.8
