DC configuration,Aggregated channel bandwidth,,Wgap / (MHz),UL E-UTRA allocation(LCRB),ΔRIBNC (dB),Duplex mode
,E-UTRA,NR,,,,
DC_3A_n3A,5 MHz,5 MHz,45.0 < Wgap ≤ 65.0,121,4.7,FDD
,,,0.0 < Wgap ≤ 45.0,251,0,
,5 MHz,10 MHz,40.0 < Wgap ≤ 60.0,121,3.8,
,,,0.0 < Wgap ≤ 40.0,251,0,
,5 MHz,15 MHz,35.0 < Wgap ≤ 55.0,121,3.6,
,,,0.0 < Wgap ≤ 35.0,251,0,
,5 MHz,20 MHz,30.0 < Wgap ≤ 50.0,121,3.4,
,,,0.0 < Wgap ≤ 30.0,251,0,
,5 MHz,25 MHz,25.0 < Wgap ≤ 45.0,121,3.2,
,,,0.0 < Wgap ≤ 25.0,251,0,
,5 MHz,30 MHz,20.0 < Wgap ≤ 40.0,121,3.0,
,,,0.0 < Wgap ≤ 20.0,251,0,
,10 MHz,5 MHz,30.0 < Wgap ≤ 60.0,12 (RBstart = 25),5.1,
,,,0.0 < Wgap ≤ 30.0,321,0,
,10 MHz,10MHz,25.0 < Wgap ≤ 55.0,12 (RBstart = 25),4.3,
,,,0.0 < Wgap ≤ 25.0,321,0,
,10 MHz,15 MHz,20.0 < Wgap ≤ 50.0,12 (RBstart = 25),3.8,
,,,0.0 < Wgap ≤ 20.0,321,0,
,10 MHz,20 MHz,15.0 < Wgap ≤ 45.0,12 (RBstart = 25),3.5,
,,,0.0 < Wgap ≤ 15.0,321,0,
,10 MHz,25 MHz,10.0 < Wgap ≤ 40.0,12 (RBstart = 25),3.2,
,,,0.0 < Wgap ≤ 10.0,321,0,
,10 MHz,30 MHz,5.0 < Wgap ≤ 35.0,12 (RBstart = 25),2.8,
,,,0.0 < Wgap ≤ 5.0,321,0,
,15 MHz,5 MHz,25.0 < Wgap ≤ 55.0,12 (RBstart = 35),6.0,
,,,0.0 < Wgap ≤ 25.0,321,0,
,15 MHz,10 MHz,20.0 < Wgap ≤ 50.0,12 (RBstart = 35),4.7,
,,,0.0 < Wgap ≤ 20.0,321,0,
,15 MHz,15 MHz,15.0 < Wgap ≤ 45.0,12 (RBstart = 35),4.2,
,,,0.0 < Wgap ≤ 15.0,321,0,
,15 MHz,20 MHz,10.0 < Wgap ≤ 40.0,12 (RBstart = 35),3.8,
,,,0.0 < Wgap ≤ 10.0,321,0,
,15 MHz,25 MHz,5.0 < Wgap ≤ 35.0,12 (RBstart = 35),3.5,
,,,0.0 < Wgap ≤ 5.0,321,0,
,15 MHz,30 MHz,0.0 < Wgap ≤ 30.0,12 (RBstart = 35),3.3,
,20 MHz,5 MHz,15.0 < Wgap ≤ 50.0,16 (RBstart = 50),6.5,
,,,0.0 < Wgap ≤ 15.0,321,0,
,20 MHz,10 MHz,10.0 < Wgap ≤ 45.0,16 (RBstart = 50),5.1,
,,,0.0 < Wgap ≤ 10.0,321,0,
,20 MHz,15 MHz,5.0 < Wgap ≤ 40.0,16 (RBstart = 50),4.5,
,,,0.0 < Wgap ≤ 5.0,321,0,
,20 MHz,20 MHz,0.0 < Wgap ≤ 35.0,16 (RBstart = 50),4.1,
,20 MHz,25 MHz,0.0 < Wgap ≤ 30.0,16 (RBstart = 50),3.8,
,20 MHz,30 MHz,0.0 < Wgap ≤ 25.0,16 (RBstart = 50),3.6,
DC_7A_n7A,5MHz,5MHz,0< Wgap ≤ 60,25,0.0,FDD
,5MHz,10MHz,0 < Wgap ≤ 55,25,0.0,
,5MHz,15MHz,0 < Wgap ≤ 50,25,0.0,
,5MHz,20MHz,0 < Wgap ≤ 45,25,0.0,
,10MHz,5MHz,30 < Wgap ≤ 55,321,0.0,
,,,0 < Wgap ≤ 30,50,0.0,
,10MHz,10MHz,25.0 < Wgap ≤ 50.0,321,0.0,
,,,0.0 < Wgap ≤ 25.0,50,0.0,
,10MHz,15MHz,20 < Wgap ≤ 45,321,0.0,
,,,0 < Wgap ≤ 20,50,0.0,
,10MHz,20MHz,15 < Wgap ≤ 40,321,0.0,
,,,0 < Wgap ≤ 15,50,0.0,
,15MHz,5MHz,20.0 < Wgap ≤ 50.0,321,0.0,
,,,0.0 < Wgap ≤ 20.0,501,0.0,
,15MHz,10MHz,20.0 < Wgap ≤ 45.0,321,0.0,
,,,0.0 < Wgap ≤ 20.0,501,0.0,
,15MHz,15MHz,15.0 < Wgap ≤ 40.0,321,0.0,
,,,0.0 < Wgap ≤ 15.0,501,0.0,
,15MHz,20MHz,10 < Wgap ≤ 35,321,0.0,
,,,0 < Wgap ≤ 10,501,0.0,
,20MHz,5MHz,25 < Wgap ≤ 45,321,0.0,
,,,0 < Wgap ≤ 25,451,0.0,
,20MHz,10MHz,20 < Wgap ≤ 40,321,0.0,
,,,0 < Wgap  ≤ 20,451,0.0,
,20MHz,15MHz,15.0 < Wgap ≤ 35.0,361,0.0,
,,,0.0 < Wgap ≤ 15.0,501,0.0,
,20MHz,20MHz,15.0 < Wgap ≤ 30.0,321,0.0,
,,,0.0 < Wgap ≤ 15.0,451,0.0,
DC_66A_n66A,NOTE 4,,NOTE 8,NOTE 9,0,FDD
NOTE 1:UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission.NOTE 2:Wgap is the sub-block gap between the two sub-blocks.NOTE 3:The E-UTRA uplink carrier is the aggressor and the ΔRIBNC applies to the NR DL carrier only. The E-UTRA uplink carrier shall be located as close as possible to the NR downlink carrier centre frequency.NOTE 4:All combinations of channel bandwidths defined in Table 5.3B.1.3-1.NOTE 5:Void.NOTE 6:Void.NOTE 7:Void.NOTE 8:All applicable sub-block gap sizes.NOTE 9:The UL LTE allocation is same as Transmission bandwidth configuration NRB as defined in Table 5.6-1 in TS 36.101 [4].,,,,,,
