EN-DC configuration,Power class 1.5(dBm),Tolerance(dB),Power class 2(dBm),Tolerance(dB),Power class 3(dBm),Tolerance(dB)
DC_1A_n78A,,,265,+2/-3,23,+2/-3
DC_3A_n78A,,,265,+2/-3,23,+2/-3
DC_5A_n78A,,,265,+2/-3,23,+2/-3
DC_7A_n78A,,,265,+2/-3,23,+2/-3
DC_8A_n78A,,,265,+2/-3,23,+2/-3
DC_20A_n78A,,,265,+2/-3,23,+2/-3
DC_28A_n78A,,,265,+2/-3,23,+2/-3
DC_40A_n78A,,,265,+2/-3,23,+2/-3
DC_41A_n78A,,,265,+2/-3,23,+2/-3
"NOTE 1:An uplink DC configuration in which at least one of the bands has NOTE 3 in Table 6.2.1-1 in TS 38.101-1 or NOTE 2 in Table 6.2.2-1 in TS 36.101 is allowed to reduce the lower tolerance limit by 1.5 dB when the transmission bandwidths of at least one of the bands is confined within FUL_low and FUL_low + 4 MHz or FUL_high - 4 MHz and FUL_high.NOTE 2:PPowerClass, EN-DC is the maximum UE power specified without taking into account the toleranceNOTE 3:For inter-band EN-DC the maximum power requirement should apply to the total transmitted power over all component carriers (per UE).NOTE 4:Power Class 3 is the default power class unless otherwise stated.NOTE 5: The UE supports PC3 in E-UTRA band, and supports PC3 or PC2 with UL MIMO and/or TxD in NR bandNOTE 6: VoidNOTE 7:   Void",,,,,,
