NE-DC configuration,Power class 3(dBm),Tolerance(dB)
DC_n1A_28A,23,+2/-3
DC_n3A_1A,23,+2/-3
DC_n3A_8A,23,+2/-3
DC_n8A_1A,23,+2/-3
DC_n8A_3A,23,+2/-3
DC_n28A_3A,23,+2/-3
DC_n28A_3C,23,+2/-3
DC_n28A_8A,23,+2/-3
DC_n28A_20A,23,+2/-3
DC_n28A_34A,23,+2/-3
DC_n28A_39A,23,+2/-3
DC_n28A_40A,23,+2/-3
DC_n28A_40C,23,+2/-3
DC_n40A_42A,23,+2/-3
DC_n41A_3A,23,+2/-3
DC_n41A_8A,23,+2/-3
DC_n41A_34A,23,+2/-3
DC_n41A_39A,23,+2/-3
DC_n41A_40A,23,+2/-3
DC_n77A_1A,23,+2/-3
DC_n77A_3A,23,+2/-3
DC_n77A_8A,23,+2/-3
DC_n78A_1A,23,+2/-3
DC_n78A_3A,23,+2/-3
DC_n78A_5A,23,+2/-3
DC_n78A_7A,23,+2/-3
DC_n78A_8A,23,+2/-3
DC_n78A_26A,23,+2/-3
