NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,,
EN-DC Configuration,EUTRA / NR band,UL Fc (MHz),UL/DL BW (MHz),ULLCRB,DL Fc (MHz),MSD (dB),IMD order,
DC_1A_n1A-n78A,1,1945,5,25,2135,N/A,N/A,
,n1,N/A,5,N/A,2125,12.0,IMD4,
,n78,3710,10,50,3710,N/A,N/A,
DC_1A-3A_n1A,n1,1950,5,25,2140,N/A,N/A,
DC_1A-3A-3A_n1A,3,1750,5,25,1845,N/A,N/A,
,1,N/A,5,N/A,2150,23,IMD3,
DC_1A-3A_n28ADC_1A-3C_n28A,1,1975,5,25,2165,N/A,N/A,
,3,N/A,5,N/A,1818.5,4.0,IMD5,
,n28,710.5,5,25,765.5,N/A,N/A,
,1,N/A,5,N/A,2139,11.0,IMD4,
,3,1780,5,25,1875,N/A,N/A,
,n28,710.5,5,25,765.5,N/A,N/A,
DC_1A-3A_n71ADC_1A-3A_n71B,1,N/A,5,N/A,2150,5,IMD4,
DC_1A-3C_n71A,3,1750,5,25,1845,N/A,N/A,
,n71,675,5,25,629,N/A,N/A,
DC_1A_n3A-n28A,1,1975,5,25,2165,N/A,N/A,
,n3,N/A,5,N/A,1818.5,4.0,IMD5,
,n28,710.5,5,25,765.5,N/A,N/A,
DC_1A_n3A-n41A,1,1977.5,5,25,2167.5,N/A,N/A,
,n3,1712.5,5,25,1807.5,N/A,N/A,
,n41,N/A,10,N/A,2507.5,4,IMD5,
DC_1A_n3A-n75A,n75,N/A,5,N/A,1480,15.2,IMD34,
,n3,1720,5,25,1815,N/A,N/A,
,1,1960,5,25,2150,N/A,N/A,
DC_1A_n3A-n79A,1,1930,5,25,2120,N/A,N/A,
,n3,1720,5,25,1815,N/A,N/A,
,n79,N/A,40,N/A,4950,4.7,IMD5,
DC_1A_n5A-n40A,1,1977.5,5,25,2167.5,N/A,N/A,
,n5,826.5,5,25,871.5,N/A,N/A,
,n40,N/A,10,N/A,2305,9.0,IMD4,
,1,1945,5,25,2135,N/A,N/A,
,n5,N/A,5,N/A,880,8.5,IMD4,
,n40,2385,10,50,2385,N/A,N/A,
DC_1A-7A_n28ADC_1A-7C_n28A DC_1A-7A-7A_n28A,1,1935,5,25,2125,N/A,N/A,
,n28,718,5,25,773,N/A,N/A,
,7,N/A,10,N/A,2653,30.0,IMD2,
DC_1A-7A_n40A,1,1970,5,25,2160,N/A,N/A,
DC_1A-7A-7A_n40A,7,N/A,5,N/A,2630,23,IMD3,
,n40,2390,10,50,2390,N/A,N/A,
,1,N/A,5,N/A,2120,16.4,IMD3,
,7,2530,5,25,2650,N/A,N/A,
,n40,2310,10,50,2310,N/A,N/A,
DC_1A-8A_n41A,1,1977.5,5,25,2167.5,N/A,N/A,
,8,N/A,5,N/A,927.5,0.5,IMD5,
,n41,2502.5,10,50,2502.5,N/A,N/A,
DC_1A_n8A-n77A,1,1955,5,25,2145,N/A,N/A,
DC_1A_n8A-n77(2A),n8,910,5,25,955,N/A,N/A,
,n77,N/A,10,N/A,3410,1.5,IMD5,
,1,1950,5,25,2140,N/A,N/A,
,n8,910,5,25,955,N/A,N/A,
,n77,N/A,10,N/A,3960,8.8,IMD3,
,1,1955,5,25,2145,N/A,N/A,
,n8,N/A,5,N/A,955,3.3,IMD5,
,n77,3410,10,50,3410,N/A,N/A,
DC_1A-8A_n78A,1,N/A,N/A,N/A,N/A,N/A,N/A,
DC_1A_n8A-n78(2A),8,N/A,N/A,N/A,N/A,N/A,IMD5,
,n78,N/A,N/A,N/A,N/A,N/A,N/A,
DC_1A-3A_n77ADC_1A-3A_n77(2A)DC_1A-3A_n77(3A)DC_1A-3C_n77ADC_1A-3A_n77CDC_1A-3C_n77(2A),1,1950,5,25,2140,N/A,N/A,
,3,N/A,5,N/A,1807.5,31.5,IMD29,
,n77,3757.5,10,50,3757.5,N/A,N/A,
,1,N/A,5,N/A,2140,31.0,IMD2,
,3,1775,5,25,1870,N/A,N/A,
,n77,3915,10,50,3915,N/A,N/A,
DC_1A-3A_n78ADC_1A-3A-3A_n78ADC_1A-3C_n78ADC_1A-3A_n78CDC_1A-3A_n78(2A)DC_1A-3C_n78(2A) DC_1A-3A_n78(A-C),1,1950,5,25,2140,N/A,N/A,
