V2X con-current operating band Configuration,NR or E-UTRA band,Class 1 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance(dB),Class 3 (dBm),Tolerance (dB),Class 4 (dBm),Tolerance (dB)
V2X_3A_n47A,3,,,,,23,±2,,
,n47,,,26,+2/-3,23,+2/-3,,
V2X_20A_n38A,20,,,,,23,±24,,
,n38,,,,,23,+2/-3,,
V2X_n39A_47A,n39,,,,,23,±2,,
,47,,,26,±2,23,±2,,
V2X_39A_n47A,39,,,,,23,±2,,
,n47,,,26,+2/-3,23,+2/-3,,
V2X_n40A_47A,n40,,,,,23,±2,,
,47,,,26,±2,23,±2,,
V2X_40A_n47A,40,,,,,23,+2/-34,,
,n47,,,26,+2/-3,23,+2/-3,,
V2X_n71A_47A,n71,,,,,23,+2/-2.5,,
,47,,,26,±2,23,±2,,
V2X_n78A_47A,n78,,,,,23,+2/-34,,
,47,,,26,±2,23,±2,,
V2X_n79A_47A,n79,,,,,23,+2/-3,,
,47,,,26,±2,23,±2,,
"NOTE 1:For the con-current band combinations, the simultaneous transmission and reception of sidelink and Uu interfaces can be supported while operation is agnostic of the service used on each interface.NOTE 2:PPowerClass is the maximum output power specified without taking into account the tolerance for each operation band.NOTE 3:For inter-band con-current operation, the aggregation power apply to the total transmitted power over all component carriers (per UE).NOTE 4:4 refers to the transmission bandwidths (Figure 5.6-1) confined within FUL_low and FUL_low + 4 MHz or FUL_high – 4 MHz and FUL_high, the maximum output power requirement is relaxed by reducing the lower tolerance limit by 1.5 dB",,,,,,,,,
