Inter-band EN-DC configuration,"ΔRIB,c for E-UTRA band / NR band (dB)6",
,Component band in order of bands in configuration7,
DC_1_n28,-,0.2
DC_1_n51,-,0.1
DC_1_n77,0.2,0.5
DC_1_n78,-,0.5
DC_1_n105,0.3,0.6
DC_2_n14,-,0.2
DC_2_n30DC_2-2_n30,0.4,0.5
DC_2_n48,0.2,0.5
DC_2_n66DC_2-2_n66,0.3,0.3
DC_2_n77DC_2-2_n77,0.2,0.5
DC_2_n78DC_2-2_n78,0.2,0.5
DC_3_n41DC_3-3_n41,-,03 / 0.54
DC_3_n51,0.2,0.2
DC_3_n77DC_3-3_n77,0.2,0.5
DC_3_n78DC_3-3_n78,0.2,0.5
DC_3_n105,-,0.3
DC_4_n2,0.3,0.3
DC_4_n28,-,0.2
DC_4_n38,0.5,0.5
DC_4_n41,0.5,0.51 / 12
DC_4_n78,0.2,0.5
DC_5_n3,0.2,0.2
DC_5_n12,0.5,0.3
DC_5_n41,0.2,-
DC_5_n77,0.2,0.5
DC_5_n78,0.2,0.5
DC_7_n8DC_7-7_n8,-,0.2
DC_7_n40 DC_7-7_n40,-,0.5
DC_7_n51,-,0.2
DC_7_n66DC_7-7_n66,0.5,0.5
DC_7_n71,-,0.2
DC_7_n77DC_7-7_n77,-,0.5
DC_7_n78DC_7-7_n78,-,0.5
DC_7_n79DC_7-7_n79,-,0.5
DC_7_n105,-,0.2
DC_8_n7,-,0.2
DC_8_n28,0.2,0.1
DC_8_n71,0.1,0.1
DC_8_n77,0.2,0.5
DC_8_n78,0.2,0.5
DC_11_n3,0.3,0.5
DC_11_n28,-,0.2
DC_11_n77,-,0.5
DC_11_n78,-,0.5
DC_12_n5,0.3,0.5
DC_12_n66,0.5,-
DC_12_n71,0.8,0.8
DC_12_n77,0.2,0.5
DC_12_n78,0.2,0.5
DC_13_n7,0.5,0.5
DC_13_n77,0.2,0.5
DC_13_n78,0.2,0.5
DC_14_n77,0.2,0.5
DC_18_n41,-,03
DC_18_n77,-,0.5
DC_19_n77,-,0.5
DC_19_n78,-,0.5
DC_20_n38,0.2,-
DC_20_n40,-,0.5
DC_20_n51,-,0.2
DC_20_n77,-,0.5
DC_20_n78,-,0.5
DC_21_n77,-,0.5
DC_21_n78,-,0.5
DC_25_n41DC_25-25_n41,-,01 / 0.52
DC_25_n77DC_25-25_n77DC_25-25_n77,0.2,0.5
DC_25_n78DC_25-25_n78,0.2,0.5
DC_26_n77,-,0.5
DC_26_n78,-,0.5
DC_28_n1,0.2,-
DC_28_n8,0.1,0.2
DC_28_n51,-,0.2
DC_28_n66,0.2,-
DC_28_n71,0.7,0.7
DC_28_n77,0.2,0.5
DC_28_n78,0.2,0.5
DC_28_n105,0.7,0.7
DC_30_n12,-,0.2
DC_30_n14,-,0.2
DC_30_n66,0.5,0.4
DC_30_n77,-,0.5
DC_38_n78,0.4,0.5
DC_38_n79,-,0.5
DC_39_n40,0.3,0.3
DC_39_n41,0.2,0.2
DC_39_n78,-,0.5
DC_39_n79,-,0.5
DC_40_n7,0.5,-
DC_40_n77,0.4,0.5
DC_40_n78,0.45,0.55
DC_40_n79,-,0.5
DC_41_n3,03 / 0.54,-
DC_41_n77,-,0.5
DC_41_n78,-,0.5
DC_41_n79,-,0.5
DC_42_n1,0.5,-
DC_42_n3,0.5,0.2
DC_42_n28,0.2,0.5
DC_42_n51,-,0.2
DC_48_n2,0.5,0.2
DC_48_n25,0.5,0.2
DC_48_n46,0.5,-
DC_48_n66,0.5,0.2
DC_66_n2DC_66-66_n2DC_66-66-66_n2,0.3,0.3
DC_66_n7DC_66-66_n7,0.5,0.5
DC_66_n12,0.5,-
DC_66_n14,-,0.2
DC_66_n25,0.3,0.3
DC_66_n28,-,0.2
DC_66_n30DC_66-66_n30,0.5,0.4
DC_66_n38DC_66-66_n38,0.5,0.5
DC_66_n41,0.5,0.51 / 12
DC_66_n48DC_66-66_n48,0.2,0.5
DC_66_n77DC_66-66_n77DC_66-66-66_n77,0.2,0.5
DC_66_n78DC_66-66_n78,0.2,0.5
DC_68_n1,0.2,-
DC_68_n8,0.1,0.2
DC_68_n77,0.2,0.5
DC_68_n78,0.2,0.5
DC_71_n7,0.2,-
DC_71_n12,0.8,0.8
DC_71_n38,0.2,-
DC_71_n41,0.2,-
DC_71_n77,0.2,0.5
DC_71_n78,0.2,0.5
DC_106_n41,0.2,-
DC_106_n48,0.2,0.5
"NOTE 1:The requirement is applied for UE transmitting on the frequency range of 2545 – 2690 MHz.NOTE 2:The requirement is applied for UE transmitting on the frequency range of 2496 – 2545 MHz.NOTE 3:Applicable for the frequency range of 2515 – 2690 MHz.NOTE 4:Applicable for the frequency range of 2496 – 2515 MHz.NOTE 5:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx.NOTE 6: “-” denotes ΔRIB,c = 0.NOTE 7:The component band order in the configuration should be listed by the order of E-UTRA band and NR band respectively, such as for DC_1_n77 the band order from left to right is 1 and n77.",,
