Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)3",,,,,
,Component band in order of bands in configuration4,,,,,
DC_1-3-5-7_n28-n78,0.6,0.6,0.6,0.6,0.6,0.9
DC_1-3-5-7_n40-n77DC_1-3-5-7-7_n40-n77,0.6,0.6,0.6,0.5,0.31,0.81
DC_1-3-5-7_n40-n78DC_1-3-5-7-7_n40-n78,0.6,0.6,0.6,0.5,0.31,0.81
DC_1-3-7-8_n7-n78,0.7,0.7,0.7,0.6,0.7,0.8
DC_1-3-7-8_n28-n78,0.6,0.6,0.6,0.6,0.6,0.8
DC_1-3-7-8-32_n78,0.6,0.6,0.6,0.6,N/A,0.8
DC_1-3-7-8-40_n78,0.6,0.6,0.5,0.6,0.31,0.81
DC_1-3-7-20_n8-n78,0.6,0.6,0.6,0.6,0.6,0.8
DC_1-3-7-20-28_n78,0.7,0.7,0.7,0.6,0.6,0.8
DC_1-3-7-20_n28-n78,0.7,0.7,0.7,0.6,0.6,0.8
DC_1-3-7-20-32_n78,0.7,0.7,0.7,0.4,N/A,0.8
DC_1-3-7-20-38_n78,0.7,0.7,N/A,0.6,N/A,0.8
DC_1-3-7-20_n38-n78,0.6,0.6,N/A,0.6,N/A,0.8
DC_1-3-7-28_n3-n78,0.7,0.7,0.7,0.6,0.7,0.8
DC_1-3-7-28_n5-n40,0.6,0.6,0.8,0.6,0.6,0.9
DC_1-3-7-28_n7-n78,0.7,0.7,0.7,0.6,0.7,0.8
DC_1-3-7-28_n40-n78,0.6,0.6,0.8,0.3,0.9,0.8
DC_1-3-7-28_n38-n78,0.7,0.7,0.7,0.6,0.7,0.8
DC_1-3-7-32_n28-n78,0.6,0.6,0.6,N/A,0.6,0.8
DC_1-3-7_n40-n78-n105,0.7,0.7,0.7,0.6,0.8,0.6
DC_1-3-8-11_n28-n77,0.6,0.8,0.6,0.9,0.6,0.8
DC_1-3-8-20-28_n78,0.3,0.3,0.6,0.6,0.6,0.8
DC_1-3-8-20_n28-n78,0.3,0.3,0.6,0.6,0.6,0.8
DC_1-3-8-20-38_n28,0.3,0.3,0.6,0.6,-,0.6
DC_1-3-8-20-40_n28,0.3,0.3,0.6,0.6,0.9,0.6
DC_1-3-8-28_n40-n71,0.3,0.3,0.7,1.1,0.3,1.1
DC_1-3-8-28_n40-n77,0.6,0.6,0.6,0.5,0.3,0.8
DC_1-3-8-28_n71_n77,0.6,0.8,0.6,1.1,1.1,0.8
DC_1-3-8-38_n28-n78,0.3,0.3,0.6,-,0.6,0.8
DC_1-3-8-41_n1-n41DC_1-3-3-8-41_n1-n41,0.5,0.5,0.3,0.35 / 0.86,0.5,0.35 / 0.86
DC_1-3-8-41_n1-n78,0.7,0.7,0.6,0.7,0.7,0.8
DC_1-3-20-38_n28-n78,0.3,0.3,0.6,-,0.6,0.8
DC_1-3-20-40_n28-n78,0.3,0.3,0.6,-,0.6,0.8
DC_1-7-20-28-32_n3,0.6,0.6,0.6,0.6,N/A,0.6
DC_1-7-20-38_n3-n78,0.6,0.7,0.6,0.5,0.6,0.8
DC_1-8_n3-n28-n77-n79,0.6,0.6,0.8,0.6,0.8,0.8
DC_1-8-11_n3-n28-n77,0.6,0.6,0.8,0.9,0.6,-
DC_1-8-20-38_n28-n78,0.3,0.6,0.6,-,0.6,0.8
DC_1-8-42_n3-n28-n77,0.6,0.6,0.8,0.8,-,0.8
DC_2-5-7-66_n2-n66,0.5,0.3,0.5,0.5,0.5,0.5
DC_2-5-7-66_n2-n77,0.5,0.3,0.5,0.5,0.5,0.8
DC_2-5-7-66_n2-n78,0.5,0.3,0.5,0.5,0.5,0.8
DC_2-7-12-66_n2-n66,0.5,0.5,0.8,0.5,0.5,0.5
DC_2-7-12-66_n2-n77,0.6,0.6,0.8,0.5,0.5,0.8
DC_2-5-7-66_n66-n77,0.5,0.3,0.5,0.5,0.5,0.8
DC_2-7-12-66_n2-n78,0.6,0.6,0.8,0.5,0.5,0.8
DC_2-7-66-71_n2-n66,0.5,0.5,0.6,0.6,0.6,0.5
DC_2-7-66-71_n2-n77,0.5,0.5,0.5,0.3,0.5,0.8
DC_2-7-12-66_n66-n77,0.6,0.6,0.8,0.5,0.5,0.8
DC_2-7-66-71_n2-n78,0.5,0.5,0.5,0.3,0.5,0.8
DC_2-7-66-71_n66-n77,0.5,0.5,0.5,0.6,0.5,0.8
DC_3-7-8-20_n1-n78,0.6,0.6,0.6,0.6,0.6,0.8
DC_3-7-8-32_n1-n78,0.6,0.6,0.6,N/A,0.6,0.8
DC_3-7-8-40_n1-n78,0.6,0.5,0.6,0.32,0.6,0.82
DC_3-7-20-32_n1-n78,0.6,0.6,0.6,N/A,0.6,0.8
DC_3-7-28_n1-n40-n78,0.6,0.8,0.8,0.6,0.9,0.8
DC_3-8-20-28_n1-n78,0.6,0.6,0.6,0.6,0.7,0.8
DC_3-8-20-28-38_n1,0.6,0.6,0.6,0.6,-,0.7
DC_3-8-20-28-40_n1,0.6,0.6,0.6,0.6,-,0.7
DC_3-8-20-38_n1-n28,0.6,0.6,0.6,-,0.7,0.6
DC_3-8-20-40_n1-n28,0.6,0.6,0.6,0.9,0.7,0.6
DC_3-8-20-40_n1-n78,0.6,0.6,0.6,0.9,0.7,0.8
DC_3-20-28-40_n1-n78,0.6,0.6,0.6,0.9,0.7,0.8
DC_3-20-38-40_n1-n28,0.6,0.6,-,0.9,0.7,0.6
DC_7-8-20-32-38_n1,N/A,0.6,0.6,N/A,N/A,0.7
DC_7-20-28-32-38_n1,N/A,0.6,0.6,N/A,N/A,0.7
"NOTE 1:Only applicable for UE supporting inter-band carrier aggregation with uplink in one NR band and without simultaneous Rx/Tx.NOTE 2:Only applicable for UE supporting inter-band carrier aggregation with uplink in one E-UTRA band and without simultaneous Rx/Tx.NOTE 3:“-” denotes ΔTIB,c = 0.NOTE 4:The component band order in the configuration should be listed by the order of E-UTRA band and NR band respectively.NOTE 5:The requirement is applied for UE transmitting on the frequency range of 2515 – 2690 MHz.NOTE 6:The requirement is applied for UE transmitting on the frequency range of 2496 – 2515 MHz.",,,,,,
