EN-DC Configuration,Spurious emission,,,,,,
,Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
DC_3_n3,"E-UTRA Band 1, 5, 7, 8, 11, 18, 19, 20, 21, 26, 27, 28, 31, 32, 33, 34, 38, 39, 40, 41, 43, 44, 45, 50, 51, 65, 67, 68, 69, 72, 73,74, 75, 76.NR Band n79, n109",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 3,FDL_low,-,FDL_high,-50,1,3
,"E-UTRA Band 22, 42, 52, NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,,,,,,,
DC_41_n41,"E-UTRA Band 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 17, 18, 19, 21, 24, 25, 26, 27, 28, 29, 34, 39, 42, 44, 45, 48, 50, 51, 54, 66, 70, 71, 73, 74NR Band n77, n78",FDL_low,-,FDL_high,-50,1,
,,,,,,,
,E-UTRA Band 30,FDL_low,-,FDL_high,-40,1,
,E-UTRA Band 40,FDL_low,-,FDL_high,-40,1,
,NR band n79,FDL_low,-,FDL_high,-50,1,2
"NOTE 1:FDL_low and FDL_high refer to each frequency band specified in Table 5.5-1 in TS 36.101 [4] or in Table 5.2-1 in TS 38.101-1 [2].NOTE 2:As exceptions, measurements with a level up to the applicable requirements defined in Table 6.6.3.1-2 in TS 36.101 [4] and Table 6.5.3.1-2 in TS 38.101-1 [2] are permitted for each assigned carrier used in the measurement due to 2nd, 3rd, 4th or 5th harmonic spurious emissions. Due to spreading of the harmonic emission the exception is also allowed for the first 1 MHz frequency range immediately outside the harmonic emission on both sides of the harmonic emission. This results in an overall exception interval centred at the harmonic emission of (2MHz + N x LCRB x 180kHz), where N is 2, 3, 4, 5 for the 2nd, 3rd, 4th or 5th harmonic respectively. The exception is allowed if the measurement bandwidth (MBW) totally or partially overlaps the overall exception intervalNOTE 3:These requirements also apply for the frequency ranges that are less than FOOB (MHz) in Table 6.6.3.1-1 and Table 6.6.3.1A-1 from the edge of the channel bandwidth.NOTE 4:Void.NOTE 5:Void.",,,,,,,
