DC configuration,Aggregated bandwidth,,Wgap / (MHz),UL NR allocation(LCRB),ΔRIBNC (dB),Duplex mode
,NR,E-UTRA,,,,
DC_1A_n1A,5 MHz,5 MHz,0.0 < Wgap ≤ 50.0,25,0.5,FDD
DC_2A_n2A,5MHz,5MHz,30.0 < Wgap ≤ 50.0,121,5.3,FDD
,,,0.0 < Wgap ≤ 30.0,251,0,
,5MHz,10MHz,25.0 < Wgap ≤ 45.0,121,4.4,
,,,0.0 < Wgap ≤ 25.0,251,0,
,5MHz,15MHz,20.0 < Wgap ≤ 40.0,121,4.2,
,,,0.0 < Wgap ≤ 20.0,251,0,
,5MHz,20MHz,15.0 < Wgap ≤ 35.0,121,3.8,
,,,0.0 < Wgap ≤ 15.0,251,0,
,10MHz,5MHz,15.0 < Wgap ≤ 45.0,121,5.9,
,,,0.0 < Wgap ≤ 15.0,321,0,
,10MHz,10MHz,10.0 < Wgap ≤ 40.0,121,4.6,
,,,0.0 < Wgap ≤ 10.0,321,0,
,10MHz,15MHz,5.0 < Wgap ≤ 35.0,121,4.1,
,,,0.0 < Wgap ≤ 5.0,321,0,
,10MHz,20MHz,0.0 < Wgap ≤ 30.0,121,4.0,
,15MHz,5MHz,10.0 < Wgap ≤ 40.0,12 (RBstart = 39),6.7,
,,,0.0 < Wgap ≤ 10.0,361,0,
,15MHz,10MHz,5.0 < Wgap ≤ 35.0,12 (RBstart = 39),5.4,
,,,0.0 < Wgap ≤ 5.0,361,0,
,15MHz,15MHz,0.0 < Wgap  ≤ 30.0,12 (RBstart = 39),4.6,
,15MHz,20MHz,0.0 < Wgap ≤ 25.0,12 (RBstart = 39),4.2,
,20MHz,5MHz,0.0 < Wgap ≤ 35.0,16 (RBstart = 57),7.2,
,20MHz,10MHz,0.0 < Wgap ≤ 30.0,16 (RBstart = 57),5.8,
,20MHz,15MHz,0.0 < Wgap ≤ 25.0,16 (RBstart = 57),5.0,
,20MHz,20MHz,0.0 < Wgap ≤ 20.0,16 (RBstart = 57),4.6,
DC_3A_n3A,5MHz,5MHz,45.0 < Wgap ≤ 65.0,121,4.7,FDD
,,,0.0 < Wgap ≤ 45.0,251,0,
,5MHz,10MHz,40.0 < Wgap ≤ 60.0,121,3.8,
,,,0.0 < Wgap ≤ 40.0,251,0,
,5MHz,15MHz,35.0 < Wgap ≤ 55.0,121,3.6,
,,,0.0 < Wgap ≤ 35.0,251,0,
,5MHz,20MHz,30.0 < Wgap ≤ 50.0,121,3.4,
,,,0.0 < Wgap ≤ 30.0,251,0,
,10MHz,5MHz,30.0 < Wgap ≤ 60.0,12 (RBstart = 25),5.1,
,,,0.0 < Wgap ≤ 30.0,321,0,
,10MHz,10MHz,25.0 < Wgap ≤ 55.0,12 (RBstart = 25),4.3,
,,,0.0 < Wgap ≤ 25.0,321,0,
,10MHz,15MHz,20.0 < Wgap ≤ 50.0,12 (RBstart = 25),3.8,
,,,0.0 < Wgap ≤ 20.0,321,0,
,10MHz,20MHz,15.0 < Wgap ≤ 45.0,12 (RBstart = 25),3.5,
,,,0.0 < Wgap ≤ 15.0,321,0,
,15MHz,5MHz,25.0 < Wgap ≤ 55.0,12 (RBstart = 35),6.0,
,,,0.0 < Wgap ≤ 25.0,321,0,
,15MHz,10MHz,20.0 < Wgap ≤ 50.0,12 (RBstart = 35),4.7,
,,,0.0 < Wgap ≤ 20.0,321,0,
,15MHz,15MHz,15.0 < Wgap  ≤ 45.0,12 (RBstart = 35),4.2,
,,,0.0 < Wgap ≤ 15.0,321,0,
,15MHz,20MHz,10.0 < Wgap ≤ 40.0,12 (RBstart = 35),3.8,
,,,0.0 < Wgap ≤ 10.0,321,0,
,20MHz,5MHz,15.0 < Wgap ≤ 50.0,16 (RBstart = 50),6.5,
,,,0.0 < Wgap ≤ 15.0,321,0,
,20MHz,10MHz,10.0 < Wgap ≤ 45.0,16 (RBstart = 50),5.1,
,,,0.0 < Wgap  ≤ 10.0,321,0,
,20MHz,15MHz,5.0 < Wgap ≤ 40.0,16 (RBstart = 50),4.5,
,,,0.0 < Wgap  ≤ 5.0,321,0,
,20MHz,20MHz,0.0 < Wgap ≤ 35.0,16 (RBstart = 50),4.1,
,25MHz,5MHz,10.0 < Wgap ≤ 45.0,16 (RBstart = 60),7.4,
,,,0.0 < Wgap ≤ 10.0,321,0,
,25MHz,10MHz,5.0 < Wgap ≤ 40.0,16 (RBstart = 60),5.5,
,,,0.0 < Wgap ≤ 5.0,321,0,
,25MHz,15MHz,0.0 < Wgap ≤ 35.0,16 (RBstart = 60),4.9,
,25MHz,20MHz,0.0 < Wgap ≤ 30.0,16 (RBstart = 60),4.6,
,30MHz,5MHz,5.0 < Wgap ≤ 40.0,16 (RBstart = 75),8.3,
,,,0.0 < Wgap ≤ 5.0,321,0,
,30MHz,10MHz,0.0 < Wgap ≤ 35.0,16 (RBstart = 75),5.9,
,30MHz,15MHz,0.0 < Wgap ≤ 30.0,16 (RBstart = 75),5.5,
,30MHz,20MHz,0.0 < Wgap ≤ 25.0,16 (RBstart = 75),4.9,
DC_5A_n5A,5 MHz,5 MHz,NOTE 10,121,5.3,FDD
,10 MHz,5 MHz,,,4.4,
,15 MHz,5 MHz,,,6.1,
,5 MHz,10 MHz,,,5.9,
,10 MHz,10 MHz,,,4.6,
DC_7A_n7A,5MHz,5MHz,0< Wgap ≤ 60,25,0.0,FDD
,5MHz,10MHz,0 < Wgap ≤ 55,25,0.0,
,5MHz,15MHz,0 < Wgap ≤ 50,25,0.0,
,5MHz,20MHz,0 < Wgap ≤ 45,25,0.0,
,10MHz,5MHz,30 < Wgap ≤ 55,321,0.0,
,,,0 < Wgap ≤ 30,50,0.0,
,10MHz,10MHz,25.0 < Wgap ≤ 50.0,321,0.0,
,,,0.0 < Wgap ≤ 25.0,50,0.0,
,10MHz,15MHz,20 < Wgap ≤ 45,321,0.0,
,,,0 < Wgap ≤ 20,50,0.0,
,10MHz,20MHz,15 < Wgap ≤ 40,321,0.0,
,,,0 < Wgap ≤ 15,50,0.0,
,15MHz,5MHz,20.0 < Wgap ≤ 50.0,321,0.0,
,,,0.0 < Wgap ≤ 20.0,501,0.0,
,15MHz,10MHz,20.0 < Wgap ≤ 45.0,321,0.0,
,,,0.0 < Wgap ≤ 20.0,501,0.0,
,15MHz,15MHz,15.0 < Wgap ≤ 40.0,321,0.0,
,,,0.0 < Wgap ≤ 15.0,501,0.0,
,15MHz,20MHz,10 < Wgap ≤ 35,321,0.0,
,,,0 < Wgap ≤ 10,501,0.0,
,20MHz,5MHz,25 < Wgap ≤ 45,321,0.0,
,,,0 < Wgap ≤ 25,451,0.0,
,20MHz,10MHz,20 < Wgap ≤ 40,321,0.0,
