Inter-band EN-DC configuration,"ΔTIB,c for E-UTRA band / NR band (dB)7",,
,Component band in order of bands in configuration8,,
DC_1_n3,0.3,0.3,
DC_1_n5,0.3,0.3,
DC_1_n7DC_1-1_n7,0.5,0.6,
DC_1_n8,0.3,0.3,
DC_1_n20,0.3,0.3,
DC_1_n26,0.3,0.3,
DC_1_n28,0.3,0.6,
DC_1_n38,0.5,0.5,
DC_1_n40,0.5,0.5,
DC_1_n41,0.5,0.5,
DC_1_n50,0.5,0.5,
DC_1_n51,0.6,0.6,
DC_1_n71,0.3,0.3,
DC_1_n77,0.6,0.8,
DC_1_n78,0.3,0.8,
DC_1_n105,0.3,0.6,
DC_2_n5DC_2-2_n5,0.3,0.3,
DC_2_n7DC_2-2_n7,0.5,0.5,
DC_2_n12,0.3,0.3,
DC_2_n14,0.3,0.3,
DC_2_n28,0.3,0.3,
DC_2_n30DC_2-2_n30,0.5,0.3,
DC_2_n38DC_2-2_n38,0.5,0.9,
DC_2_n41DC_2-2_n41,0.5,0.41 / 0.92,
DC_2_n48,0.6,0.8,
DC_2_n66DC_2-2_n66,0.5,0.5,
DC_2_n71DC_2-2_n71,0.3,0.3,
DC_2_n77DC_2-2_n77,0.6,0.8,
DC_2_n78DC_2-2_n78,0.6,0.8,
DC_3_n1,0.3,0.3,
DC_3_n5,0.3,0.3,
DC_3_n8DC_3-3_n8,0.3,0.3,
DC_3_n7DC_3-3_n7,0.5,0.5,
DC_3_n105,0.3,0.6,
DC_3_n20DC_3-3_n20,0.3,0.3,
DC_3_n26,0.3,0.3,
DC_3_n28,0.3,0.3,
DC_3_n34,0.5,0.5,
DC_3_n38,0.5,0.5,
DC_3_n40,0.5,0.5,
DC_3-n41DC_3-3_n41,0.5,0.33 / 0.84,
DC_3_n50,0.5,0.5,
DC_3_n51,0.3,0.3,
DC_3_n71,0.3,0.3,
DC_3_n77DC_3-3_n77,0.6,0.8,
DC_3_n78DC_3-3_n78,0.6,0.8,
DC_4_n2,0.5,0.5,
DC_4_n5,0.3,0.3,
DC_4_n7,0.5,0.5,
DC_4_n28,0.3,0.6,
DC_4_n38,0.5,0.8,
DC_4_n41,0.5,0.81 / 1.32,
DC_4_n78,0.6,0.8,
DC_5_n1,0.3,0.3,
DC_5_n2DC_5-5_n2,0.3,0.3,
DC_5_n3,0.3,0.3,
DC_5_n7,0.3,0.3,
DC_5_n12,0.8,0.4,
DC_5_n25,0.3,0.3,
DC_5_n28,0.5,0.5,
DC_5_n30,0.3,0.3,
DC_5_n38,0.3,0.3,
DC_5_n40,0.3,0.3,
DC_5_n41,0.6,0.3,
DC_5_n48,0.3,0.3,
DC_5_n66DC_5-5_n66,0.3,0.3,
DC_5_n71,0.5,0.5,
DC_5_n77,0.6,0.8,
DC_5_n78,0.6,0.8,
DC_7_n1DC_7-7_n1,0.6,0.5,
DC_7_n2,0.5,0.5,
DC_7_n3DC_7-7_n3,0.5,0.5,
DC_7_n5DC_7-7_n5,0.3,0.3,
DC_7_n8DC_7-7_n8,0.3,0.6,
DC_7_n12,0.3,0.3,
DC_7_n20,0.3,0.3,
DC_7_n25,0.5,0.5,
DC_7_n26,0.3,0.3,
"DC_7_n28, DC_7-7_n28",0.3,0.3,
DC_7_n40 DC_7-7_n40,0.5,0.6,
DC_7_n51,0.3,0.3,
DC_7_n71,0.3,0.6,
DC_7_n66DC_7-7_n66,0.5,0.5,
