UL band,DL band,UL BW,SCS of UL band,UL RB Allocation,DL BW,MSD,UL/DL fc condition,UL/DL harmonic order
,,(MHz),(kHz),LCRB,(MHz),(dB),,
1,n77,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
1,n77,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
2,n48,5,15,25,10,8.1,NOTE 6,UL2/DL1near-miss
n2,48,5,15,25,5,8.1,NOTE 6,UL2/DL1near-miss
2,n77,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
2,n77,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
2,n78,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
2,n78,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
3,n77,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
3,n77,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
3,n78,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
3,n78,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
n3,42,5,15,12,5,27.3,NOTE 2,UL2/DL1direct-hit
n3,42,5,15,12,20,21.3,NOTE 2,UL2/DL1direct-hit
4,n78,5,15,12,10,23.9,NOTE 2,UL2/DL1direct-hit
4,n78,5,15,12,100,13.8,NOTE 2,UL2/DL1direct-hit
5,n778,5,15,6,10,10.5,NOTE 4,UL4/DL1direct-hit
5,n778,5,15,6,100,2.9,NOTE 4,UL4/DL1direct-hit
5,n778,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
5,n778,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
5,n78,5,15,6,10,10.5,NOTE 4,UL4/DL1direct-hit
5,n78,5,15,6,100,2.9,NOTE 4,UL4/DL1direct-hit
7,n79,5,15,25,10,9.3,NOTE 6,UL2/DL1near-miss
8,n311,NA,NA,,NA,NA,NOTE 2,UL2/DL1direct-hit
8,n7,5,15,8,5,10,NOTE 3,UL3/DL1direct-hit
8,n7,5,15,8,50,1.1,NOTE 3,UL3/DL1direct-hit
8,n41,5,15,8,10,13,NOTE 3,UL3/DL1direct-hit
8,n41,5,15,8,100,4.5,NOTE 3,UL3/DL1direct-hit
8,n77,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
8,n77,5,15,6,100,3.1,NOTE 4,UL4/DL1direct-hit
8,n78,5,15,6,10,10.8,NOTE 4,UL4/DL1direct-hit
8,n78,5,15,6,100,3.1,NOTE 4,UL4/DL1direct-hit
8,n79,5,15,5,10,12.0,NOTE 5,UL5/DL1direct-hit
8,n79,5,15,5,100,4.4,NOTE 5,UL5/DL1direct-hit
n8,311,NA,NA,NA,NA,NA,NOTE 2,UL2/DL1direct-hit
n8,7,5,15,8,5,10,NOTE 3,UL3/DL1direct-hit
n8,7,5,15,8,20,5.3,NOTE 3,UL3/DL1direct-hit
n12,48,5,15,5,5,13,NOTE 5,UL5/DL1direct-hit
n12,48,5,15,5,20,7.8,NOTE 5,UL5/DL1direct-hit
12,n66,5,15,8,5,10,NOTE 3,UL3/DL1direct-hit
12,n66,5,15,8,40,3.1,NOTE 3,UL3/DL1direct-hit
n12,66,5,15,8,5,10,NOTE 3,UL3/DL1direct-hit
n12,66,5,15,8,20,5.5,NOTE 3,UL3/DL1direct-hit
12,n77,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
12,n77,5,15,5,100,2.9,NOTE 5,UL5/DL1direct-hit
12,n78,5,15,5,10,10.4,NOTE 5,UL5/DL1direct-hit
