NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,
EN-DCConfiguration,EUTRA or NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),IMD order
DC_1A_n77A,1,1950,5,25,2140,35.8,IMD26
DC_1A_n77(2A)DC_1A_n77(3A),n77,4090,10,50,4090,N/A,N/A
DC_3A_n41A,3,1740,5,25,1835,18.4,IMD4
,n41,2657.5,10,50,2657.5,N/A,N/A
DC_3A_n78A,3,1740,5,25,1835,31.9,IMD2
DC_3A-3A_n78A,n78,3575,10,50,3575,N/A,N/A
DC_3A_n78A,3,1765,5,25,1860,18.5,IMD4
DC_3A-3A_n78ADC_3A_n78(2A)DC_3C_n78ADC_3C_n78(2A),n78,3435,10,50,3435,N/A,N/A
DC_1A_n78A,1,1950,5,25,2140,17.8,IMD4
,n78,3710,10,50,3710,N/A,N/A
DC_2A_n77ADC_2A-2A_n77ADC_2A_n77CDC_2A-2A_n77CDC_2A_n77(2A)DC_2A-2A_n77(2A),2,1855,5,25,1935,32.10,IMD26
,n77,3790,10,50,3790,N/A,N/A
DC_2A_n78A,2,1855,5,25,1935,32.10,IMD26
DC_2A_n78(2A),n78,3790,10,50,3790,N/A,N/A
DC_3A_n77A,3,1740,5,25,1835,31.9,IMD26
DC_3A_n77(2A)DC_3A_n77(3A),n77,3575,10,50,3575,N/A,N/A
DC_5_n41A,5,839,5,25,884,24.6,IMD33
,n41,2562,10,50,2562,N/A,N/A
DC_5A_n77A3DC_5A_n77C3DC_5A_n77(2A)3,5,844,5,25,889,18.60,IMD41
,n77,3421,10,50,3421,N/A,N/A
DC_5A_n78A,5,844,5,25,889,17.5,IMD4
,n78,3421,10,52,3421,N/A,N/A
DC_8A_n78ADC_8B_n78ADC_8A_n78(2A),8,897.5,5,25,942.5,15.5,IMD4
,n78,3635,10,50,3635,N/A,N/A
DC_8A_n79A,8,897.5,5,25,942.5,21.5,IMD5
,n79,4532.5,40,216,4532.5,N/A,N/A
DC_13A_n77ADC_13A_n77C,13,782,5,20,751,15.37,IMD5
,n77,3879,10,50,3879,N/A,N/A
DC_66A_n77ADC_66A-66A_n77ADC_66A-66A-66A_n77ADC_66A_n77CDC_66A-66A_n77CDC_66A-66A-66A_n77CDC_66A_n77(2A)DC_66A-66A_n77(2A)DC_66A-66A-66A_n77(2A),66,1775,5,25,2175,34.33,IMD2
,n77,3950,10,50,3950,N/A,N/A
,66,1760,5,25,2160,11.27,IMD5
,n77,3720,10,50,3720,N/A,N/A
DC_8A_n41A,8,882.5,5,25,927.5,18.2,IMD31
,n41,2685,10,50,2685,N/A,N/A
DC_8A_n77ADC_8A_n77(2A)DC_8A_n77(3A),8,897.5,5,25,942.5,15.5,IMD4
,n77,3635,10,50,3635,N/A,N/A
DC_12A_n77ADC_12A_n77(2A),12,702,5,20,732,11.7,IMD5
,n77,3540,10,50,3540,N/A,N/A
DC_12A_n78A,n12,702,5,20,732,11.7,IMD5
,n78,3540,10,20,3540,N/A,
DC_14A_n77ADC_14A_n77(2A),14,795.5,5,15,765.5,11.7,IMD5
,n77,3947.5,10,50,3947.5,N/A,N/A
DC_18A_n77A,18,827.5,5,25,872.5,17.5,IMD45
,n77,3355,10,50,3355,N/A,N/A
,18,817.5,5,25,862.5,10.5,IMD55
,n77,4130,10,50,4130,N/A,N/A
DC_18A_n78A,18,827.5,5,25,872.5,18.4,IMD411
,n78,3355,10,50,3355,N/A,N/A
DC_19A_n77ADC_19A_n77(2A),19,836.5,5,25,881.5,25.3,IMD4
,n77,3391,10,50,3391,N/A,N/A
,19,832.5,5,25,877.5,8.1,IMD5
,n77,4195,10,50,4195,N/A,N/A
DC_19A_n78ADC_19A_n78(2A),19,836.5,5,25,881.5,25.3,IMD4
,n78,3391,10,50,3391,N/A,N/A
DC_20A_n41,20,851,5,25,810,19.1,IMD31
,n41,2512,10,50,2512,N/A,N/A
DC_20A_n78A,20,850,5,25,809,18.8,IMD4
,n78,3359,10,50,3359,N/A,N/A
DC_25A_n78A,25,1855,5,25,1935,32.1,IMD26
,n78,3790,10,50,3790,N/A,N/A
,25,1875,5,25,1955,20,IMD5
,n78,3790,10,50,3790,N/A,N/A
DC_26A_n41A,26,839,5,25,884,24.6,IMD33
,n41,2562,10,50,2562,N/A,N/A
DC_26A_n78A,26,836.5,5,25,881.5,23.8,IMD4
,n78,3391,10,50,3391,N/A,N/A
DC_28A_n77A,28,705.5,5,25,760.5,19.2,IMD5
,n77,3582.5,10,50,3582.5,N/A,N/A
DC_30A_n77ADC_30A_n77(2A),30,2310,5,25,2355,17.6,IMD4
,n77,3487.5,10,50,3487.5,N/A,N/A
DC_28A_n78A,28,705.5,5,25,760.5,11.7,IMD5
,n78,3582.5,10,50,3582.5,N/A,N/A
DC_21A_n79A,21,1457.5,5,25,1505.5,33.4,IMD3
,n79,4420.5,10,50,4420.5,N/A,N/A
DC_66A_n78A,66,1760,5,25,2160,11.27,IMD5
,n77,3720,10,50,3720,N/A,N/A
DC_71A_n41A,71,666,5,25,620,21.5,IMD4
,n41,2618,10,50,2618,N/A,N/A
DC_71A_n77A3,71,681.5,5,25,635.5,11.4,IMD5
,n77,3361.5,10,50,3361.5,N/A,N/A
DC_71A_n78A,71,681.5,5,25,635.5,11.4,IMD5
DC_71A_n78(2A),n78,3361.5,10,50,3361.5,N/A,N/A
"NOTE 1:This band is subject to IMD5 also which MSD is not specified.NOTE 2:VoidNOTE 3:For a UE which supports this band combination only when the Band n77 frequency range restriction defined in NOTE 12 of Table 5.2-1 from TS 38.101-1 applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 4:E-UTRA carrier shall be set to min(+23 dBm, PCMAX_L_E-UTRA,c) and NR carrier shall be set to min(+23 dBm, PCMAX_L,f,c,NR) as defined in clause 6.2B.4.1.3.NOTE 5:For a UE which supports this band combination only when the Band n77 frequency range restriction of 3400 - 4100 MHz in Japan applies, the MSD test point(s) cannot be verified for the band combination and the test point(s) can be skipped.NOTE 6:This band is subject to IMD4 also which MSD is not specified.",,,,,,,
