EN-DC configuration,Power class 1.5(dBm),Tolerance(dB),Power class 2(dBm),Tolerance(dB),Power class 3(dBm),Tolerance(dB),
DC_1A_n1A4,,,,,23,+2/-3,
DC_2A_n2A4,,,,,23,+2/-3,
DC_3A_n3A,,,,,23,+2/-3,
DC_5A_n5A4,,,,,23,+2/-3,
DC_7A_n7A4,,,,,23,+2/-3,
DC_40A_n40A4,,,,,23,+2/-3,
DC_48A_n48A4,,,,,23,+2/-3,
DC_41A_n41A,29,+2/-3,26,+2/-3,23,+2/-3,
DC_66A_n66A4,,,,,23,+2/-3,
DC_71A_n71A4,,,,,23,+2/-3,
NOTE 1:An uplink DC configuration in which the band has NOTE 3 in Table 6.2.1-1 in TS 38.101-1 or NOTE 2 in Table 6.2.2-1 in TS 36.101 is allowed to reduce the lower tolerance limit by 1.5 dB when the transmission bandwidths of at least one of the bands are confined within FUL_low and FUL_low + 4 MHz or FUL_high - 4 MHz and FUL_high.NOTE 2:Void.NOTE 3:Power Class 3 is the default power class unless otherwise stated.NOTE 4:Only single switched UL is supported.,,,,,,,
