NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,,,,,,,,,
EN-DC Configuration,,EUTRA / NR band,,UL Fc (MHz),,UL/DL BW (MHz),,ULLCRB,,DL Fc (MHz),,MSD (dB),,IMD order,
DC_1A-3A_n77A,,1,,1950,,5,,25,,2140,,N/A,,N/A,
DC_1A-3A_n77(2A),,3,,N/A,,5,,N/A,,1807.5,,37.5,,IMD25,
DC_1A-3A_n77(3A),,n77,,3757.5,,10,,50,,3757.5,,N/A,,N/A,
DC_1A-3C_n77A,,1,,N/A,,5,,N/A,,2140,,37.0,,IMD21,
DC_1A-3C_n77(2A),,3,,1775,,5,,25,,1870,,N/A,,N/A,
,,n77,,3915,,10,,50,,3915,,N/A,,N/A,
DC_1A-3A_n78ADC_1A-3A_n78(2A) DC_1A-3C_n78ADC_1A-3C_n78(2A),,1,,1950,,5,,25,,2140,,N/A,,N/A,
,,3,,N/A,,5,,N/A,,1807.5,,37.2,,IMD21,
,,n78,,3757.5,,10,,50,,3757.5,,N/A,,N/A,
,,1,,N/A,,5,,N/A,,2125,,17.8,,IMD5,
,,3,,1775,,5,,25,,1870,,N/A,,N/A,
,,n78,,3725,,10,,50,,3725,,N/A,,N/A,
DC_1A-3A_n79A,,1,,N/A,,5,,N/A,,2140,,24.6,,IMD5,
,,3,,1750,,5,,25,,1845,,N/A,,N/A,
,,n79,,4860,,10,,50,,4860,,N/A,,N/A,
DC_1A-5A_n78A,,1,,N/A,,5,,N/A,,2120,,19.2,,IMD4,
,,5,,844,,5,,25,,889,,N/A,,N/A,
,,n78,,3670,,10,,52,,3670,,N/A,,N/A,
,,1,,1950,,5,,25,,2140,,N/A,,N/A,
,,5,,N/A,,5,,N/A,,889,,19.2,,IMD4,
,,n78,,3421,,10,,52,,3421,,N/A,,N/A,
,,1,,N/A,,5,,N/A,,2122,,27.0,,IMD3,
,,5,,829,,5,,25,,874,,N/A,,N/A,
,,n78,,3780,,10,,52,,3780,,N/A,,N/A,
,,1,,1975,,5,,25,,2165,,N/A,,N/A,
,,5,,N/A,,5,,N/A,,885,,13.2,,IMD5,
,,n78,,3405,,10,,52,,3405,,N/A,,N/A,
DC_1A-7A_n78A,,1,,N/A,,5,,N/A,,2120,,19.2,,IMD4,
,,7,,2550,,5,,25,,2670,,N/A,,N/A,
,,n78,,3670,,10,,52,,3670,,N/A,,N/A,
,,1,,1977.5,,5,,25,,2167.5,,N/A,,N/A,
,,7,,N/A,,5,,N/A,,2627.5,,20.2,,IMD4,
,,n78,,3305,,10,,50,,3305,,N/A,,N/A,
,,1,,N/A,,5,,N/A,,2140,,19.7,,IMD4,
,,7,,2510,,10,,50,,2630,,N/A,,N/A,
,,n78,,3580,,10,,50,,3580,,N/A,,N/A,
DC_1A-8A_n77A,,1,,1955,,5,,25,,2145,,N/A,,N/A,
DC_1A-8A_n77(2A)DC_1A-8A_n77(3A),,8,,910,,5,,25,,955,,15.7,,IMD5,
,,n77,,3410,,10,,50,,3410,,N/A,,N/A,
,,1,,1950,,5,,25,,2140,,23.4,,IMD3,
,,8,,910,,5,,25,,955,,N/A,,N/A,
