Inter-band EN-DC configuration,"ΔRIB,c for E-UTRA band / NR band (dB)6",,,,
,Component band in order of bands in configuration7,,,,
DC_1-3-5-7_n28DC_1-3-5-7-7_n28,-,-,0.2,-,0.2
DC_1-3-5-7_n40DC_1-3-5-7-7_n40,-,-,0.2,0.3,0.8
DC_1-3-5-7_n77,0.2,0.2,0.2,0.2,0.5
DC_1-3-5-7_n78DC_1-3-5-7-7_n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-5_n28-n78,0.2,0.2,0.2,0.2,0.8
DC_1-3-5_n40-n77,0.2,0.2,0.2,0.45,0.55
DC_1-3-5_n40-n78,0.2,0.2,0.2,0.45,0.55
DC_1-3-5-41_n79,-,-,-,03 / 0.54,-
DC_1-3-7_n3-n78,0.3,0.3,0.3,0.3,0.5
DC_1-3-7_n5-n40,-,-,0.3,0.2,0.8
DC_1-3-7_n7-n78,0.3,0.3,0.3,0.3,0.5
DC_1-3-7-8_n7,-,-,-,0.2,-
DC_1-3-7-8_n28,-,-,-,0.2,0.2
DC_1-3-7-8_n78DC_1-3-3-7-8_n78DC_1-3-7-7-8_n78DC_1-3-3-7-7-8_n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-7_n8-n78DC_1-3-3-7_n8-n78DC_1-3-7-7_n8-n78DC_1-3-3-7-7_n8-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-7-20_n28,-,-,-,0.2,0.2
DC_1-3-7-20_n38,-,-,-,-,0.2
DC_1-3-7-20_n78,0.2,0.2,0.2,-,0.5
DC_1-3-7_n26-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-7-26_n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-7-28_n3,-,-,-,0.2,-
DC_1-3-7-28_n5,-,-,-,0.2,0.2
DC_1-3-7-28_n7DC_1-3-28-(n)7,-,-,-,0.2,-
DC_1-3-7-28_n38,-,-,-,0.2,-
DC_1-3-7_n28-n38,-,-,-,0.2,-
DC_1-3-7-28_n40,-,-,0.3,0.2,0.8
DC_1-3-7-28_n78DC_1-3-7-7-28_n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-7_n28-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-7-32_n28,-,0.5,-,-,0.5
DC_1-3-7-32_n78,0.3,0.3,0.3,-,0.5
DC_1-3-7-38_n28,-,-,-,0.2,0.2
DC_1-3-7-40_n78,0.2,0.2,-,0.45,0.55
DC_1-3-7_n40-n77DC_1-3-7-7_n40-n77,-,-,0.3,0.8,0.5
DC_1-3-7_n40-n78DC_1-3-7-7_n40-n78,-,-,0.3,0.8,0.5
DC_1-3-7_n40-n105,0.2,0.2,0.2,0.5,0.3
DC_1-3-7_n75-n78,0.3,0.3,0.3,-,0.5
DC_1-3-7_n78-n105,0.6,0.6,0.3,0.5,0.3
DC_1-3-8_n1-n41DC_1-3-3-8_n1-n41,-,-,-,-,03 / 0.54
DC_1-3-8_n1-n78DC_1-3-3-8_n1-n78,0.2,0.2,0.2,,0.5
DC_1-3-8_n7-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-8-11_n28,-,0.3,0.2,0.5,0.2
DC_1-3-8-11_n77,0.2,0.3,0.2,0.5,0.5
DC_1-3-8-20_n28,0.2,0.2,0.2,-,0.2
DC_1-3-8-20_n78,0.2,0.2,0.2,-,0.5
DC_1-3-8-28_n40,0.2,0.2,0.2,0.2,0.3
DC_1-3-8-28_n71,-,-,0.2,0.7,0.7
DC_1-3-8-28_n77,0.2,0.2,0.2,0.2,0.5
DC_1-3-8_n28-n77,0.2,0.2,0.2,0.2,0.5
DC_1-3-8-28_n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-8_n28-n78,0.2,0.2,0.2,0.2,0.5
DC_1-3-8-32_n78,0.2,0.2,0.2,-,0.5
DC_1-3-8-38_n28,0.2,0.2,0.2,-,0.2
DC_1-3-8-38_n78,0.2,0.2,0.2,-,0.5
DC_1-3-8-40_n28,0.2,0.2,0.2,-,0.2
DC_1-3-8_n40-n71,0.2,0.2,0.2,0.3,0.3
DC_1-3-8_n40-n77,0.2,0.2,0.2,0.4,0.5
DC_1-3-8-40_n78,0.2,0.2,0.2,0.45,0.55
