NR CA combination,Band,AppliedNS,Requirements (clause)(TS 36.101 [4]),Requirements (clause)(TS 38.101-1 [2]),A-MPR(table/clause)(TS 36.101 [4]),A-MPR(table/clause)(TS 38.101-1 [2]),Note
DC_1_n3,1,05,6.6.3.3.1,6.6.3.3.1,Table 6.2.4-1(NS_05),N/A,1
,n3,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,
DC_1_n5,1,05,6.6.3.3.1,N/A,Table 6.2.4-1(NS_05),N/A,1
,n5,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,
DC_1_n8,1,05,6.6.3.3.1,N/A,Table 6.2.4-1(NS_05),N/A,1
,n8,43,N/A,6.5.3.3.5,N/A,Clause 6.2.3.6,
,,43U,N/A,"6.5.3.3.5, 6.5.2.4.2",N/A,Clause 6.2.3.6,
DC_1_n28,1,05,6.6.3.3.1,N/A,Table 6.2.4-1(NS_05),N/A,2
,n28,17,N/A,6.5.3.3.2,N/A,N/A,
DC_1_n40,1,05,6.6.3.3.1,N/A,Table 6.2.4-1(NS_05),N/A,
DC_1_n41,1,05,6.6.3.3.1,N/A,Table 6.2.4-1(NS_05),N/A,
,n41,47,N/A,6.5.3.3.15,N/A,Table 6.2.3.18-2,
DC_1_n77 DC_1_n84_ULSUP-TDM_n77,1,05,6.6.3.3.1,N/A,Table 6.2.4-1(NS_05),N/A,1
,n84,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,
,,05U,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,
DC_1_n78DC_1_n84_ULSUP-TDM_n78,1,05,6.6.3.3.1,N/A,Table 6.2.4-1(NS_05),N/A,1
,n84,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,
,,05U,N/A,"6.5.3.3.4, 6.5.2.4.2",N/A,Clause 6.2.3.4,
DC_1_n79DC_1_n84_ULSUP-TDM_n79,1,05,6.6.3.3.1,N/A,Table 6.2.4-1(NS_05),N/A,1
,n84,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,
,,05U,N/A,"6.5.3.3.4, 6.5.2.4.2",N/A,Clause 6.2.3.4,
DC_3_n1,n1,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,1
,,05U,N/A,"6.5.3.3.4, 6.5.2.4.2",N/A,Clause 6.2.3.4,
DC_3_n5,n5,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,1
DC_3_n8,n8,43,N/A,6.5.3.3.5,N/A,Clause 6.2.3.6,1
,,43U,N/A,6.5.3.3.5,N/A,Clause 6.2.3.6,
DC_3_n28,n28,17,N/A,6.5.3.3.2,N/A,N/A,2
"DC_3_n41,DC_3_n80_ULSUP-TDM_n41",n41,47,N/A,6.5.3.3.15,N/A,Table 6.2.3.18-2,1
,n80,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,
DC_8_n1,n1,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,"1, 3"
,,05U,N/A,"6.5.3.3.4, 6.5.2.4.2",N/A,Clause 6.2.3.4,
DC_8_n3,n3,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,"1, 3"
DC_8_n28,n28,17,N/A,6.5.3.3.2,N/A,N/A,"2, 3"
"DC_8_n41,DC_8_n81_ULSUP-TDM_n41",n41,47,N/A,6.5.3.3.15,N/A,Table 6.2.3.18-2,3
,n81,43,N/A,6.5.3.3.5,N/A,Clause 6.2.3.6,
,,43U,N/A,6.5.3.3.5,N/A,Clause 6.2.3.6,
DC_11_n3,n3,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,1
DC_11_n28,n28,17,N/A,6.5.3.3.2,N/A,N/A,2
DC_11_n41,n41,47,N/A,6.5.3.3.15,N/A,Table 6.2.3.18-2,
DC_18_n3,n3,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,1
DC_18_n28,n28,17,N/A,6.5.3.3.2,N/A,N/A,2
DC_19_n1,19,08,6.6.3.3.3,N/A,Table 6.2.4-1 (NS_08),N/A,1
,n1,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,
,,05U,N/A,"6.5.3.3.4, 6.5.2.4.2",N/A,Clause 6.2.3.4,
DC_19_n77,19,08,6.6.3.3.3,N/A,Table 6.2.4-1 (NS_08),N/A,
DC_19_n78,19,08,6.6.3.3.3,N/A,Table 6.2.4-1 (NS_08),N/A,
DC_19_n79,19,08,6.6.3.3.3,N/A,Table 6.2.4-1 (NS_08),N/A,
DC_21_n1,21,09,6.6.3.3.4,N/A,Table 6.2.4-1 (NS_08),N/A,1
,n1,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,
,,05U,N/A,"6.5.3.3.4, 6.5.2.4.2",N/A,Clause 6.2.3.4,
DC_21_n28,21,09,6.6.3.3.4,N/A,Table 6.2.4-1 (NS_09),,2
,n28,17,N/A,6.5.3.3.2,N/A,N/A,
DC_21_n77,21,09,6.6.3.3.4,N/A,Table 6.2.4-1 (NS_09),N/A,
DC_21_n78,21,09,6.6.3.3.4,N/A,Table 6.2.4-1 (NS_09),N/A,
DC_21_n79,21,09,6.6.3.3.4,N/A,Table 6.2.4-1 (NS_09),N/A,
DC_28_n1,28,17,6.6.3.3.10,N/A,Table 6.2.4-1(NS_17),N/A,"1, 2"
,n1,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,
,,05U,N/A,"6.5.3.3.4, 6.5.2.4.2",N/A,Clause 6.2.3.4,
DC_28_n3,28,17,6.6.3.3.10,N/A,Table 6.2.4-1(NS_17),N/A,2
,n3,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,
DC_28_n5,28,17,6.6.3.3.10,N/A,Table 6.2.4-1(NS_17),N/A,"1, 2"
,n5,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,
DC_28_n8,28,17,6.6.3.3.10,N/A,Table 6.2.4-1(NS_17),Table 6.2.4-1(NS_17),"1, 2"
,n8,43,N/A,6.5.3.3.5,N/A,Clause 6.2.3.6,
,,43U,N/A,6.5.3.3.5,N/A,Clause 6.2.3.6,
DC_28_n40,28,17,6.6.3.3.10,N/A,Table 6.2.4-1(NS_17),N/A,2
DC_28_n41,28,17,6.6.3.3.10,N/A,Table 6.2.4-1(NS_17),N/A,2
,n41,47,N/A,6.5.3.3.15,N/A,Table 6.2.3.18-2,
DC_28_n77,28,17,6.6.3.3.10,N/A,Table 6.2.4-1(NS_17),N/A,2
DC_28_n78,28,17,6.6.3.3.10,N/A,Table 6.2.4-1(NS_17),N/A,2
DC_28_n79,28,17,6.6.3.3.10,N/A,Table 6.2.4-1(NS_17),N/A,2
DC_40_n1,n1,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,1
,,05U,N/A,"6.5.3.3.4, 6.5.2.4.2",N/A,Clause 6.2.3.4,
DC_40_n41,n41,47,N/A,6.5.3.3.15,N/A,Table 6.2.3.18-2,
DC_41_n3,n3,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,1
DC_41_n28,n28,17,N/A,6.5.3.3.2,N/A,N/A,2
DC_42_n1,n1,05,N/A,6.5.3.3.4,N/A,Clause 6.2.3.4,1
,,05U,N/A,"6.5.3.3.4, 6.5.2.4.2",N/A,Clause 6.2.3.4,
DC_42_n3,n3,100,N/A,6.5.2.4.2,N/A,Table 6.2.3.1-2,1
DC_42_n28,n28,17,N/A,6.5.3.3.2,N/A,N/A,2
"NOTE 1:NS_05U, NS_43U and NS_100 can be signalled for NR bands that have UTRA services deployed and protected range is specified in clause 6.5.2.4.2 of TS38.101-1[2] and the requirements in clause 6.5.2.4.2 are only appliable to the signalling band.NOTE 2:Applicable when the assigned NR carrier is confined within 718 MHz and 748 MHz and when the channel bandwidth used is 5 or 10 MHz.NOTE 3:This requirement is applicable only for the following cases: A: for carriers of 5 MHz channel bandwidth when carrier centre frequency (Fc) is within the range 902.5 MHz ≤ Fc < 907.5 MHz with an uplink transmission bandwidth less than or equal to 20 RB; B: for carriers of 5 MHz channel bandwidth when carrier centre frequency (Fc) is within the range 907.5 MHz ≤ Fc ≤ 912.5 MHz without any restriction on uplink transmission bandwidth; C: for carriers of 10 MHz channel bandwidth when carrier centre frequency (Fc) is Fc = 910 MHz with an uplink transmission bandwidth less than or equal to 32 RB with RBstart > 3.",,,,,,,
