Carrier frequency [MHz],LCRB* 12*SCS[MHz],RBstart*12*SCS[MHz],A-MPR(dB),,
,,,QPSK/16QAM,64QAM,256QAM
5860,≥ 1.8 and ≤ 2.7,≥ 0 and ≤ 0.18,≤ 24,,
,,≥ 0.36 and ≤ 0.54,≤ 22,,
,,0.72,≤ 20,,
,≥ 1.8 and ≤ 4.5,≥ 0.9 and ≤ 1.26,≤ 17.5,,
,≥ 1.8 and ≤ 5.4,1.8,≤ 16,,
,≥ 1.8,≥ 1.44 and ≤ 1.62,≤ 16,,
,,≥ 1.98 and ≤ 2.52,≤ 14.5,,
,,≥ 2.7 and ≤ 3.42,≤ 13,,
,,≥ 3.6 and ≤ 4.32,≤ 11.5,,
,,≥ 4.5 and ≤ 5.22,≤ 10,,
,,≥ 5.4,≤ 8.5,,
,≥ 3.6 and ≤ 4.32,0.18,≤ 22,,
,"≥ 3.6 and ≤ 5,4",0,≤ 22,,
,,≥ 0.36 and ≤ 0.54,≤ 20,,
,,0.72,≤ 17.5,,
,≥ 25 and ≤ 40,0.18,≤ 20,,
,≥ 5.4,≥ 0.9 and ≤ 1.26,≤ 16,,
,≥ 6.48,0,≤ 20,,
,,≥ 0.36 and ≤ 0.72,≤ 17.5,,
,,1.8,≤ 14.5,,
,≥ 8.1,0.18,≤ 17.5,,
Carrier frequency [MHz],LCRB* 12*SCS[MHz],RBend*12*SCS[MHz],A-MPR(dB),,
,,,QPSK/16QAM,64QAM,256QAM
5920,≥ 1.8 and ≤ 2.7,≥ 9.18 and ≤ 9.36,≤ 24,,
,,≥ 8.82 and ≤ 9.0,≤ 22,,
,,8.64,≤ 20,,
,≥ 1.8 and ≤ 4.5,≥ 8.1 and ≤ 8.46,≤ 17.5,,
,≥ 1.8 and ≤ 5.4,7.56,≤ 16,,
,≥ 1.8,≥ 7.74 and ≤ 7.92,≤ 16,,
,,≥ 6.84 and ≤ 7.38,≤ 14.5,,
,,≥ 5.94 and ≤ 6.66,≤ 13,,
,,≥ 5.04 and ≤ 5.76,≤ 11.5,,
,,≥ 4.14 and ≤ 4.86,≤ 10,,
,,≥ 3.96,≤ 8.5,,
,≥ 3.6 and ≤ 4.32,9.18,≤ 22,,
,"≥ 3.6 and ≤ 5,4",9.36,≤ 22,,
,,≥ 8.82 and ≤ 9.0,≤ 20,,
,,8.64,≤ 17.5,,
,≥ 25 and ≤ 40,9.18,≤ 20,,
,≥ 5.4,≥ 8.1 and ≤ 8.46,≤ 16,,
,≥ 6.48,9.36,≤ 20,,
,,≥ 8.64 and ≤ 9.0,≤ 17.5,,
,,7.56,≤ 14.5,,
,≥ 8.1,9.18,≤ 17.5,,
NOTE 1:A-MPRstep =1.2 dB is applied for RBstart 0 and 1 and A-MPRstep =0.7 dB is applied for all other RBstartNOTE 2:Applicable for Channel Bandwidth = 10 MHz,,,,,
