Carrier frequency [MHz],Region,,A-MPRBase (dB),,
,LCRB* 12*SCS[MHz],RBstart*12*SCS[MHz],QPSK/16QAM,64QAM,256QAM
5860,≥ 1.8 and ≤ 2.7,0,≤ 24.0,,
,,≥ 0.18 and ≤ 0.54,≤19.0,,
,,≥ 4.68,≤ 6.0,,
,≥ 1.8 and ≤ 3.6,≥ 2.16 and ≤ 2.52,≤11.0,,
,,≥ 2.7 and ≤ 3.42,≤ 9.5,,
,,≥ 3.6 and ≤ 4.5,≤ 8.0,,
,> 2.7 and < 4.5,≥ 4.5,≤ 8.0,,
,≥ 1.8 and < 7.2,≥ 0.72 and ≤1.26,≤ 16.0,,
,,≥ 1.44 and ≤ 1.98,≤ 13.5,,
,≥ 3.6 and < 7.2,≥ 0 and ≤ 0.54,≤ 22.0,,
,≥ 4.32 and < 7.2,≥ 2.88 and ≤ 3.78,≤ 9.5,,
,,≥ 3.96 and ≤ 4.86,≤ 8.0,,
,≥ 4.32 and ≤ 7.2,≥ 2.16 and ≤ 2.7,≤ 12.0,,
,7.2 and 8.1,≥ 0 and ≤ 0.18,≤ 19.0,,
,,≥ 0.36 and ≤ 0.9,≤ 16.0,,
,,≥ 1.08 and ≤ 1.98,≤ 13.5,,
,> 8.1,≥ 0,≤ 16.0,,
Carrier frequency [MHz],LCRB* 12*SCS[MHz],RBend*12*SCS[MHz],QPSK/16QAM,64QAM,256QAM
5920,≥ 1.8 and ≤ 2.7,9.36,≤ 24.0,,
,,≥ 8.82 and ≤ 9.18,≤19.0,,
,,≤ 4.68,≤ 6.0,,
,≥ 1.8 and ≤ 3.6,≥ 6.84 and ≤ 7.2,≤11.0,,
,,≥ 5.94 and ≤ 6.66,≤ 9.5,,
,,≥ 4.86 and ≤ 5.76,≤ 8.0,,
,> 2.7 and < 4.5,≤ 4.86,≤ 8.0,,
,≥ 1.8 and < 7.2,≥ 8.1 and ≤8.64,≤ 16.0,,
,,≥ 7.38 and ≤ 7.92,≤ 13.5,,
,≥ 3.6 and < 7.2,≥ 8.82 and ≤ 9.36,≤ 22.0,,
,≥ 4.32 and < 7.2,≥ 5.58 and ≤ 6.48,≤ 9.5,,
,,≥ 4.5 and ≤ 5.4,≤ 8.0,,
,≥ 4.32 and ≤ 7.2,≥ 6.66 and ≤ 7.2,≤ 12.0,,
,7.2 and 8.1,≥ 9.18 and ≤ 9.36,≤ 19.0,,
,,≥ 8.46 and ≤ 9.0,≤ 16.0,,
,,≥ 7.38 and ≤ 8.28,≤ 13.5,,
,> 8.1,≤ 9.36,≤ 16.0,,
NOTE 1:A-MPRstep =1.2 dB is applied for RBstart 0 and 1 and A-MPRstep =0.7 dB is applied for all other RBstartNOTE 2:Applicable for Channel Bandwidth = 10 MHz,,,,,
