NR band,Value of additionalSpectrumEmission,,,,,,,
,0,1,2,3,4,5,6,7
n1,NS_01,NS_100,NS_05,NS_05U,NS_48,NS_49,,Reserved
n2,NS_01,NS_100,NS_03,NS_03U,,,,Reserved
n3,NS_01,NS_100,,,,,,Reserved
n5,NS_01,NS_100,NS_14 (NOTE 3),NS_15 (NOTE 3),,,,Reserved
n7,NS_01,NS_46,,,,,,Reserved
n8,NS_01,NS_100,NS_43,NS_43U,,,,Reserved
n12,NS_01,NS_06,,,,,,Reserved
n13,NS_01,NS_06,NS_07,,,,,Reserved
n14,NS_01,NS_06,,,,,,Reserved
n18,NS_01,NS_100,,,,,,Reserved
n20,NS_01,Void,NS_10,,,,,Reserved
n24,NS_01,NS_56,,,,,,Reserved
n25,NS_01,NS_100,NS_03,NS_03U,,,,Reserved
n26,NS_01,NS_100,NS_12,NS_13,NS_14,NS_15,,Reserved
n28,NS_01,NS_17,NS_18,,,,,Reserved
n30,NS_01,NS_21,,,,,,Reserved
n31,NS_01,,,,,,,Reserved
n34,NS_01,,,,,,,Reserved
n38,NS_01,NS_44,,,,,,Reserved
n39,NS_01,NS_50,,,,,,Reserved
n40,NS_01,,,,,,,Reserved
n41,NS_01,NS_04,NS_47,,,,,Reserved
n48,NS_01,NS_27,,,,,,Reserved
n50,NS_01,NS_41,NS_42,,,,,Reserved
n51,NS_01,NS_40,,,,,,Reserved
n53,NS_01,NS_45,,,,,,Reserved
n54,NS_01,NS_62,,,,,,Reserved
n65,NS_01,NS_24,NS_100,NS_05,NS_05U,NS_51,,Reserved
n66,NS_01,NS_100,NS_03,NS_03U,,,,Reserved
n68,NS_01,NS_26,NS_36,,,,,Reserved
n70,NS_01,NS_03,,,,,,Reserved
n71,NS_01,NS_35,,,,,,Reserved
n72,NS_01,,,,,,,Reserved
n74,NS_01,NS_37,NS_38,NS_39,,,,Reserved
n77,NS_01,NS_55,NS_57,,,,,Reserved
n78,NS_01,,,,,,,Reserved
n79,NS_01,,,,,,,Reserved
n80,NS_01,NS_100,,,,,,Reserved
n81,NS_01,NS_100,NS_43,NS_43U,,,,Reserved
n82,NS_01,Void,NS_10,,,,,Reserved
n83,NS_01,NS_17,NS_18,,,,,Reserved
n84,NS_01,NS_100,NS_05,NS_05U,NS_48,NS_49,,Reserved
n85,NS_01,NS_06,,,,,,Reserved
n86,NS_01,NS_100,NS_03,NS_03U,,,,Reserved
n87,NS_01,,,,,,,Reserved
n88,NS_01,,,,,,,Reserved
n89,NS_01,NS_100,,,,,,Reserved
n90,NS_01,NS_04,,,,,,Reserved
n91,NS_01,,,,,,,Reserved
n92,NS_01,,,,,,,Reserved
n93,NS_01,,,,,,,Reserved
n94,NS_01,,,,,,,Reserved
n95,NS_01,,,,,,,Reserved
n97,NS_01,,,,,,,Reserved
n98,NS_01,NS_50,,,,,,Reserved
n99,NS_01,NS_56,,,,,,Reserved
n100,NS_01,,,,,,,Reserved
n101,NS_01,,,,,,,Reserved
n1042,NS_01,,,,,,,Reserved
n105,NS_01,,,,,,,Reserved
n106,NS_01,,,,,,,Reserved
n109,NS_01,NS_18,,,,,,Reserved
n110,NS_01,NS_06,,,,,,Reserved
NOTE 1:additionalSpectrumEmission corresponds to an information element of the same name defined in clause 6.3.2 of TS 38.331 [7].NOTE 2:Additional emission requirements and associated network signalling for Band n104 are not defined in this version of the specification but may be forthcoming in the future.NOTE 3:Support of the additional requirement indicated by this network signalling value is indicated by modified MPR behaviour for this band (Annex L.1).,,,,,,,,
