Pre-coding,Modulation,RB Allocation (Note 2),,RB Allocation (Note 3),,RB Allocation (Note 4)
,,Full (dB),Partial (dB),Full (dB),Partial (dB),Full/Partial
DFT-s-OFDM,PI/2 BPSK5,≤ 12.0,≤ 15.5,≤ 3.5,≤ 5.5,See Table MPR table for PC3
,QPSK,≤ 12.5,≤ 16.0,≤ 4.0,≤ 6.5,
,16 QAM,≤ 12.5,≤ 16.0,≤ 4.5,≤ 7.0,
,64 QAM,≤ 13.0,≤ 16.0,≤ 4.5,≤ 7.0,
,256 QAM,≤ 13.0,≤ 16.0,≤ 4.5,≤ 7.0,
CP-OFDM,QPSK,≤ 14.0,≤ 16.5,≤ 6.0,≤ 7.5,
,16 QAM,≤ 14.0,≤ 16.5,≤ 6.0,≤ 7.5,
,64 QAM,≤ 14.0,≤ 16.5,≤ 6.0,≤ 7.5,
,256 QAM,≤ 14.0,≤ 16.5,≤ 6.5,≤ 7.5,
"NOTE 1:Full allocation A-MPR applies when all RB’s in a 20 MHz channel or all RB’s in all sub-bands for wideband operation are fully allocated and all sub-bands are transmitted.  Partial allocation A-MPR applies when one or more RB’s in one or more sub-bands are not allocated or when not all transmitted sub-bands for wideband operation are transmitted.NOTE 2:Applicable for 20 MHz channels centered at the nearest NR-ARFCN corresponding to 5160, 5340, 5480, and 5700 MHz, 40 MHz channels centered at the nearest NR-ARFCN corresponding to 5170, 5190, 5310, 5330, 5490, and 5510 MHz, 60 MHz channels centered at the nearest NR-ARFCN corresponding to 5180, 5200, 5220, 5280, 5300, 5320, 5500, 5520, 5540, 5680 MHz, and 80 MHz channels centered at the nearest NR-ARFCN corresponding to 5190, 5210, 5290, 5310, 5510, and 5530 MHz.NOTE 3:Applicable for 20 MHz channels centered at the nearest NR-ARFCN corresponding to 5180 and 5320 MHz, and 40 MHz channels centered at the nearest NR-ARFCN corresponding to 5230 and 5270 MHz.NOTE 4:Applicable for all valid channels other than those enumerated under NOTE 2 and NOTE 3.NOTE 5:Applicable to Pi/2-BPSK modulation when IE powerBoostPi2BPSK is set to 0.NOTE 6:In current release larger CBW than 80MHz are not applicable for this network signalling.",,,,,,
