Modulation,,MPR for bandwidth class B(dB),,MPR for bandwidth class C(dB),
,,inner,Outer1,inner,outer
DFT-s-OFDM,Pi/2 BPSK,3.0,5.01,3.5,8
,QPSK,3.0,5.01,3.5,8
,16QAM,3.5,5.01,3.5,8
,64QAM,4.0,5.51,6,8
,256QAM,6.5,7.0,8,8.5
CP-OFDM,QPSK,3.0,5.51,4.0,8.5
,16QAM,3.5,5.51,4.0,8.5
,64QAM,4.0,5.51,5.5,8.5
,256QAM,7.0,7.0,7.5,8.5
"NOTE 1: When 1 RB or 2 RB are allocated at the lower edge of lowest CC or upper edge of upper CC, MPR for outer is 5.5 dB.NOTE 2: UE indicating TxD supported",,,,,
