Wideband operation channel bandwidth (MHz),Sub-band configuration exceptions,
20+20,1-1,"1-0, 0-1"
20+40,"1-11, 1-10, 0-01, 0-10, 0-11, 1-00",None
20+60,"1-111, 1-110, 0-111, 0-110, 1-000, 0-001","0-010, 0-100, 0-011, 1-100"
20+80,"1-1111, 1-1110, 0-1111, 0-1110, 0-1100, 0-0100, 0-0111, 1-1000, 0-0011, 0-1000, 0-0010, 1-0000, 0-0001","1-1100, 0-0111"
40+20,"11-1, 01-1, 11-0, 00-1, 01-0, 01-1, 10-0",None
40+40,"11-11, 11-10, 01-11, 01-10, 10-00, 00-01","00-10, 01-00, 00-11, 11-00"
40+60,"11-111, 11-110, 01-111, 01-110, 01-100, 00-100, 00-111, 11-000, 00-011, 01-000, 00-010, 10-000,00-001","11-100, 00-111"
40+80,"11-1111, 11-1110, 01-1111, 01-1110, 11-1100, 00-1111, 01-1100, 00-1110, 00-1100, 11-0000, 00-0011, 01-0000, 00-0010, 10-0000, 00-0001","11-1000, 00-0111, 01-1000, 00-0110, 00-1000, 00-0100"
60+20,"111-1, 111-0, 011-1, 011-0, 100-0, 000-1","001-0, 010-0, 001-1, 110-0"
60+40,"111-11, 111-10, 011-11, 011-10, 011-00, 001-00, 001-10, 001-11, 110-00, 000-11, 010-00, 000-10, 100-00, 000-01","111-00, 001-11"
60+60,"111-111, 111-110, 011-111, 011-110, 111-100, 001-111, 011-100,  001-110, 001-100, 110-000, 000-011, 010-000, 000-010, 100-000, 000-001","111-000, 000-111, 011-000, 000-110, 001-000, 000-100"
60+80,"111-1111, 111-1110, 111-1100, , 011-1111, 011-1110, 011-1100, 001-1111, 001-1110, 001-1100, 001-1000, 000-1100, 000-1000, 000-1000, 001-0000, 000-0100, 110-0000, 000-0011, 010-0000, 000-0010, 100-0000, 000-0001","111-1000, 000-1111, 011-1000, 000-1110, 111-0000, 000-0111, 011-0000, 000-0110"
80+20,"1111-1, 1111-0, 0111-1, 0111-0, 0110-0, 0010-0, 0011-1, 1100-0, 0001-1, 0100-0, 0001-0, 1000-0, 0000-1","1110-0, 0011-1"
80+40,"1111-11, 1111-10, 0111-11, 0111-10, 1111-00, 0011-11, 0111-00, 0011-10,  0011-00, 1100-00, 0000-11, 0100-00, 0000-10, 1000-00, 0000-01","1110-00, 0001-11, 0110-00, 0001-10, 0010-00, 0001-00"
80+60,"1111-111, 1111-110, 1111-100, 0111-111, 0111-110, 0111-100, 0011-111, 0011-110, 0011-100, 0011-000, 0001-100, 0001-000, 0001-000, 0010-000, 0000-100, 1100-000, 0000-011, 01000-00, 0000-010, 1000-000, 0000-001","1111-000, 0001-111, 0111-000, 0001-110, 1110-000, 0000-111, 0110-000, 0000-110"
80+80,"1111-1111, 1111-1110, 1111-1100, 0111-1111, 0111-1110, 0111-1100, 0011-1111, 0011-1110, 0011-1100, 0011-1000, 0001-1100, 0001-1000, 1110-0000,0000-0111, 0110-0000, 0000-0110, 0010-0000, 0000-0100, 1100-0000, 0000-0011, 0100-0000, 0000-0010, 1000-0000, 0000-0001","1111-1000, 0001-1111, 0111-1000, 0001-1110, 1111-0000, 0000-1111, 0111-0000, 0000-1110, 0011-0000, 0000-1100, 0001-0000, 0000-1000"
NOTE 1:The sub-band configuration is represented as a bitmap where ‘1’ indicates that a sub-band is transmitted and ‘0’ indicates a sub-band is not transmitted.  The bitmap is ordered with MSB mapped to the lowest frequency sub-band and LSB mapped to highest frequency sub-band within the wideband channel.,,
