Inter-band CA combination,"ΔTIB,c for NR bands (dB)8",,
,Component band in order of bands in configuration9,,
CA_n1-n3-n5,0.3,0.3,0.3
CA_n1-n3-n7,0.6,0.6,0.6
CA_n1-n3-n8,0.3,0.3,0.3
CA_n1-n3-n18,0.3,0.3,0.3
CA_n1-n3-n20,0.3,0.3,0.3
CA_n1-n3-n26,0.3,0.3,0.3
CA_n1-n3-n28,0.3,0.3,0.6
CA_n1-n3-n38,0.5,0.5,0.3
CA_n1-n3-n40,0.5,0.5,0.5
CA_n1-n3-n41,0.5,0.5,0.35 / 0.86
CA_n1-n3-n71,0.3,0.3,0.6
CA_n1-n3-n75,0.3,0.3,N/A
CA_n1-n3-n77,0.6,0.6,0.8
CA_n1-n3-n78,0.6,0.6,0.8
CA_n1-n3-n79,0.3,0.3,0.8
CA_n1-n3-n105,0.3,0.3,0.6
CA_n1-n5-n7,0.5,0.3,0.6
CA_n1-n5-n8,0.3,0.5,0.5
CA_n1-n5-n28,0.3,0.6,0.6
CA_n1-n5-n40,0.6,0.3,0.5
CA_n1-n5-n78,0.6,0.6,0.8
CA_n1-n5-n79,0.6,0.6,0.8
CA_n1-n5-n105,0.3,0.6,0.6
CA_n1-n7-n8,0.5,0.6,0.6
CA_n1-n7-n20,0.5,0.6,0.3
CA_n1-n7-n26,0.5,0.6,0.3
CA_n1-n7-n28,0.5,0.6,0.6
CA_n1-n7-n38,0.5,N/A,N/A
CA_n1-n7-n40,0.6,0.8,0.9
CA_n1-n7-n67,0.5,0.5,N/A
CA_n1-n7-n75,0.5,0.6,N/A
CA_n1-n7-n77,0.6,0.6,0.8
CA_n1-n7-n78,0.6,0.6,0.8
CA_n1-n7-n79,0.6,0.6,0.8
CA_n1-n7-n105,0.5,0.6,0.6
CA_n1-n8-n28,0.3,0.6,0.6
CA_n1-n8-n40,0.3,0.3,0.5
CA_n1-n8-n41,0.3,0.3,0.5
CA_n1-n8-n77,0.3,0.6,0.8
CA_n1-n8-n78,0.3,0.6,0.8
CA_n1-n8-n79,0.3,0.6,0.8
CA_n1-n18-n28,0.3,0.5,0.5
CA_n1-n18-n41,0.5,0.3,0.5
CA_n1-n18-n77,0.3,0.3,0.8
CA_n1-n20-n28,0.3,0.6,0.6
CA_n1-n20-n41,0.5,0.3,0.5
CA_n1-n20-n67,0.5,0.6,N/A
CA_n1-n20-n71,-,0.2,0.3
CA_n1-n20-n75,-,0.2,N/A
