Uplink CA Configuration,Class 1.5 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance(dB),Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB)
CA_n1A-n3A,,,26,+2/-3,23,+2/-3,,
CA_n1A-n5A,,,,,23,+2/-3,,
CA_n1A-n7A,,,26,+2/-3,23,+2/-3,,
CA_n1A-n8A,,,,,23,+2/-3,,
CA_n1A-n18A,,,,,23,+2/-3,,
CA_n1A-n20A,,,,,23,+2/-3,,
CA_n1A-n26A,,,,,23,+2/-3,,
CA_n1A-n28A,,,,,23,+2/-3,,
CA_n1A-n40A,,,,,23,+2/-3,,
CA_n1A-n41A,,,26,+2/-3,23,+2/-3,,
CA_n1A-n46A,,,,,23,+2/-3,,
CA_n1A-n71A,,,,,23,+2/-3,,
CA_n1A-n74A,,,,,23,+2/-3,,
CA_n1A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n1A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n1A-n78C,,,,,23,+2/-3,,
CA_n1A-n79A,,,26,+2/-3,23,+2/-3,,
CA_n1A-n102A,,,,,23,+2/-3,,
CA_n1A-n102B,,,,,23,+2/-3,,
CA_n1A-n102C,,,,,23,+2/-3,,
CA_n1A-n105A,,,,,23,+2/-3,,
CA_n2A-n5A,,,,,23,+2/-3,,
CA_n2A-n5B,,,,,23,+2/-3,,
CA_n2A-n7A,,,,,23,+2/-3,,
CA_n2A-n12A,,,,,23,+2/-3,,
CA_n2A-n14A,,,,,23,+2/-3,,
CA_n2A-n30A,,,,,23,+2/-3,,
CA_n2A-n41A,,,,,23,+2/-3,,
CA_n2A-n48A,,,,,23,+2/-3,,
CA_n2A-n48B,,,,,23,+2/-3,,
CA_n2A-n66A,,,,,23,+2/-3,,
CA_n2A-n71A,,,,,23,+2/-3,,
CA_n2A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n2A-n77C,,,,,23,+2/-3,,
CA_n2A-n78A,,,,,23,+2/-3,,
CA_n3A-n5A,,,,,23,+2/-3,,
CA_n3A-n7A,,,26,+2/-3,23,+2/-3,,
CA_n3A-n8A,,,,,23,+2/-3,,
CA_n3A-n18A,,,,,23,+2/-3,,
CA_n3A-n20A,,,26,+2/-3,23,+2/-3,,
CA_n3A-n26A,,,,,23,+2/-3,,
CA_n3A-n28A,,,26,+2/-3,23,+2/-3,,
CA_n3A-n34A,,,,,23,+2/-3,,
CA_n3A-n38A,,,,,23,+2/-3,,
CA_n3A-n40A,,,26,+2/-3,23,+2/-3,,
CA_n3A-n41A,,,26,+2/-3,23,+2/-3,,
CA_n3A-n41C,,,26,+2/-3,23,+2/-3,,
CA_n3A-n71A,,,,,23,+2/-3,,
CA_n3A-n74A,,,,,23,+2/-3,,
CA_n3A-n77A,,,26,+2/-3,23,+2/-3,,
CA_n3A-n78A,,,26,+2/-3,23,+2/-3,,
CA_n3A-n78C,,,,,23,+2/-3,,
CA_n3A-n79A,,,26,+2/-3,23,+2/-3,,
