Channel Bandwidth(MHz),Modulation/Waveform,,Region A1aRBstart ≤ 0.36MHz/12/SCSLCRB ≤ 0.72 MHz/12/SCS,Region A1bRBstart ≤ 0.36MHz/12/SCSLCRB > 0.72 MHz/12/SCSLCRB ≤ 2.52MHz/12/SCS,Region A2LCRB > 2.52MHz/12/SCS,Region A3bRBend ≥ 3.96MHz/12/SCSLCRB >0.72 MHz/12/SCSLCRB ≤ 2.52MHz/12/SCS,Region A3aRBend ≥ 3.96MHz/12/SCSLCRB ≤ 0.72 MHz/12/SCS,Region A4RBstart>0.36MHz/12/SCSRBend<3.96MHz/12/SCSLCRB ≤2.52MHz/12/SCS
,,,Outer/Inner,,Outer,Outer/Inner,,Outer/Inner
5,DFT-s-OFDM,PI/2 BPSK,≤ 4.0,≤ 2.0,≤ 1.5,≤2.0,≤4.0,≤ 3.0
,,QPSK,≤ 4.5,≤ 3.5,≤ 3.0,≤ 3.5,≤ 4.5,≤ 3.0
,,16 QAM,≤ 4.5,≤ 4.0,≤ 3.5,≤ 4.0,≤ 4.5,≤ 3.5
,,64 QAM,≤ 4.5,≤ 4.0,≤ 3.5,≤ 4.0,≤ 4.5,≤ 3.5
,,256 QAM,≤ 4.5,≤ 4.5,≤ 4.5,≤ 4.5,≤ 4.5,≤ 4.5
,CP-OFDM,QPSK,≤ 5.0,≤ 5.0,≤ 5.0,≤ 5.0,≤ 5.0,≤ 4.5
,,16 QAM,5.0,≤5.0,≤ 5.0,≤ 5.0,≤ 5.0,≤ 4.5
,,64 QAM,≤ 5.0,≤ 5.0,≤ 5.0,≤ 5.0,≤ 5.0,≤ 4.5
,,256 QAM,≤ 6.5,≤ 6.5,≤ 6.5,≤ 6.5,≤ 6.5,≤ 6.5
