CenterFrequency Fc[MHz],Protected range[MHz],Minimum requirement[dBm],Measurement bandwidth
5200.02 ≤ Fc ≤ 5220,5020 ≤ f ≤ 5123.2,-26,1 MHz
,5123.2 < f ≤ 5150,-18,
,5250 ≤ f < 5251,-6 to -16,
,5251 ≤ f < 5290,-16 to -24,
,5290 ≤ f < 5296.7,-24 to -26,
,5296.7 ≤ f ≤ 5480,-26,
5280 ≤ Fc ≤ 5299.98,5020 ≤ f ≤ 5203.3,-26,
,5203.3 < f ≤ 5210,-26 to -24,
,5210 < f ≤ 5249,-24 to -16,
,5249 < f ≤ 5250,-16 to -6,
,5350 ≤ f < 5376.8,-18,
,5376.8 ≤ f ≤ 5480,-26,
5520 ≤ Fc ≤ 5689.98,5340 ≤ f ≤ 5460,-19,
,5460 < f ≤ 5469.5,-13,
,5469.5 < f ≤ 5470,-13,
,5770 ≤ f ≤ 5800,-19,
NOTE: The minimum requirement when specified as a range denotes the emission requirement at the end points of the protected range.  The requirement within the protected range is obtained by linear interpolation between the requirements at the end points.,,,
