Channel Bandwidth MHz,"Carrier Center Frequency, Fc, MHz",Regions,,,A-MPR
,,RBend *12*SCSMHz,RBstart *12*SCSMHz,LCRB *12*SCSMHz,
101,Fc < 1930.7,N/A,≥ 0,≥ 1.35* RBstart*12*SCS + 4.32,A1
,,N/A,≤ 1.8,≤ 2.16,A2
102,Fc < 1930.7,≥ 8.1,N/A,≤ 1.35* RBstart*12*SCS + 4.32≥ 2.34,A5
151,1927.5 ≤ Fc < 1932.5,N/A,≥ 0,≥ 1.2* RBstart*12*SCS + 4.68,A1
,,N/A,= 0,≤ 3.96,A3
,,N/A,> 0≤ 3.6,≤ 3.96,A2
,1932.5 ≤ Fc < 1938.2,N/A,≤ 0.54,≥ 8.28,A4
,,N/A,≤ 1.62,≤ 2.16,A2
152,1927.5 ≤ Fc < 1932.5,≥ 12.24,N/A,≤ 1.2* RBstart*12*SCS + 4.68≥ 2.88,A5
,1932.5 ≤ Fc < 1938.2,≥ 12.24,N/A,≤ 8.28≥ 2.88,A5
201,Fc < 1945.7,N/A,≥ 0,≥ 1.5* RBstart *12*SCS + 4.14,A1
,,N/A,≤ 1.8,< 1.5* RBstart *12*SCS + 4.14≤ 5.76,A3
,,N/A,> 1.8≤ 4.68,≤ 5.76,A2
202,Fc < 1945.7,≥ 16.2,N/A,≤ 1.5* RBstart *12*SCS + 4.14≥ 2.88,A5
NOTE 1: These regions apply to both NS_05 and NS_05U.NOTE 2: These regions only apply to NS_05U.,,,,,
