Channel BW,"Carrier Frequency, Fc, MHz",RBend*12*SCS (MHz),LCRB*12*SCS (MHz),A-MPR
3MHz,844.5 < Fc ≤ 847.5,≥1.44,>0,A5
,,≤ 0.18,≤ 0.36,A6
5MHz,840.5 < Fc ≤ 846.5,≥3.24,>0,A1
,,"<3.24, ≥2.52",≥1.44,A2
,,<0.9,≤0.36,A3
7MHz,841.5 < Fc ≤ 845.5,≥ 4.5,> 0,A7
,,"≥ 2.16 , < 4.5",≥ 1.8,A2
,,≤ 1.44,≤ 0.36,A8
,838 < Fc ≤ 841.5,> 0,> 2.7,A9
,,≥ 5.94,≤ 2.7,A10
10MHz,840 < Fc ≤ 844,≥5.76,>1.08,A1
,,≥5.76,≤1.08,A4
,,"<5.76, ≥4.14",≥2.7,A2
,,<2.52,≤0.36,A3
,835 < Fc ≤ 840,≥7.2,>0,A1
,,"<7.2, ≥5.22",≥4.32,A2
,,<1.08,≤0.36,A3
15MHz,837.5 < Fc ≤ 841.5,≥9.36,>1.08,A1
,,≥9.36,≤1.08,A4
,,"<9.36, ≥4.68",≥3.6,A2
,,<3.96,≤0.36,A3
,831.5 < Fc ≤ 837.5,≥10.8,>1.08,A1
,,≥10.8,≤1.08,A4
,,"<10.8, ≥6.48",≥3.6,A2
,,<2.7,≤0.36,A3
,Fc ≤ 831.5,≥13.14,>0,A1
,,"<13.14, ≥7.92",≥3.6,A2
,,<0.72,≤0.36,A3
20MHz,835 < Fc ≤ 839,≥12.24,>1.08,A1
,,≥12.24,≤1.08,A4
,,"<12.24, ≥8.46",≥5.4,A2
,,<5.58,≤0.36,A3
,Fc ≤ 835,≥13.68,>1.08,A1
,,≥13.68,≤1.08,A4
,,"<13.68, ≥8.46",≥5.4,A2
,,<4.32,≤0.36,A3
