Pre-coding,Modulation,Channel bandwidth (Sub-band allocation) / RB Allocation,,,,,,,
,,20 MHz,,40 MHz,,60 MHz,,80 MHz,
,,Full (dB),Partial (dB),Full (dB),Partial (dB),Full (dB),Partial (dB),Full (dB),Partial (dB)
DFT-s-OFDM,PI/2 BPSK2,≤ 6.0,≤ 8.5,≤ 4.0,≤ 5.5,≤ 3.5,≤ 4.5,≤ 3.0,≤ 4.5
,QPSK,≤ 6.0,≤ 8.5,≤ 4.0,≤ 5.5,≤ 3.5,≤ 4.5,≤ 3.0,≤ 4.5
,16 QAM,≤ 6.0,≤ 8.5,≤ 4.0,≤ 5.5,≤ 4.0,≤ 5.0,≤ 3.5,≤ 5.0
,64 QAM,≤ 6.0,≤ 8.5,≤ 4.0,≤ 5.5,≤ 4.0,≤ 5.0,≤ 3.5,≤ 5.0
,256 QAM,≤ 6.0,≤ 8.5,≤ 5.0,≤ 5.5,≤ 5.0,≤ 5.5,≤ 5.0,≤ 5.5
CP-OFDM,QPSK,≤ 6.0,≤ 8.5,≤ 5.5,≤ 5.5,≤ 5.0,≤ 5.5,≤ 4.5,≤ 5.5
,16 QAM,≤ 6.0,≤ 8.5,≤ 5.5,≤ 5.5,≤ 5.0,≤ 5.5,≤ 4.5,≤ 5.5
,64 QAM,≤ 6.0,≤ 8.5,≤ 5.5,≤ 5.5,≤ 5.5,≤ 5.5,≤ 5.5,≤ 5.5
,256 QAM,≤ 7.0,≤ 8.5,≤ 7.0,≤ 7.0,≤ 7.0,≤ 7.0,≤ 7.0,≤ 7.0
"NOTE 1:Full allocation A-MPR applies when all RB’s in a 20 MHz channel or all RB’s in all sub-bands for wideband operation are fully allocated and all sub-bands are transmitted.  Partial allocation A-MPR applies when one or more RB’s in one or more sub-bands are not allocated but when all sub-bands within the channel are transmitted. When not all sub-bands within the channel are transmitted, the A-MPR associated with the channel bandwidth according to the bandwidth of the contiguously transmitted sub-bands and according to the allocation type appliesNOTE 2:Applicable to Pi/2-BPSK modulation when IE powerBoostPi2BPSK is set to 0.NOTE 3: For larger channels than 80MHz the A-MPR is zero and MPR as specified in Table 6.2F.2-1 applies.",,,,,,,,,
