Inter-band CA combination,"ΔTIB,c for NR bands (dB)9",
,Component band in order of bands in configuration10,
CA_n1-n3,0.3,0.3
CA_n1-n5,0.3,0.3
CA_n1-n7,0.5,0.6
CA_n1-n8,0.3,0.3
CA_n1-n18,0.3,0.3
CA_n1-n20,0.3,0.3
CA_n1-n26,0.3,0.3
CA_n1-n28,0.3,0.6
CA_n1-n38,0.5,0.5
CA_n1-n40,0.5,0.5
CA_n1-n41,0.5,0.5
CA_n1-n67,0.3,N/A
CA_n1-n71,0.3,0.6
CA_n1-n74,0.3,0.3
CA_n1-n75,0.3,N/A
CA_n1-n77,0.6,0.8
CA_n1-n78,0.3,0.8
CA_n1-n102,0.6,0.8
CA_n1-n105,0.3,0.6
CA_n2-n5,0.3,0.3
CA_n2-n7,0.5,0.5
CA_n2-n12,0.3,0.3
CA_n2-n14,0.3,0.3
CA_n2-n29,0.3,N/A
CA_n2-n30,0.5,0.3
CA_n2-n41,0.5,0.45/0.96
CA_n2-n48,0.6,0.8
CA_n2-n66,0.5,0.5
CA_n2-n71,0.3,0.6
CA_n2-n77,0.6,0.8
CA_n2-n78,0.6,0.8
CA_n3-n7,0.5,0.5
CA_n3-n8,0.3,0.3
CA_n3-n18,0.3,0.3
CA_n3-n20,0.3,0.3
CA_n3-n26,0.3,0.3
CA_n3-n28,0.3,0.3
CA_n3-n34,0.5,0.5
CA_n3-n38,0.5,0.5
CA_n3-n39,0.5,0.5
CA_n3-n40,0.5,0.5
CA_n3-n41,0.5,0.34 / 0.85
CA_n3-n71,0.3,0.3
CA_n3-n74,0.8,0.9
CA_n3-n77,0.6,0.8
CA_n3-n78,0.6,0.8
CA_n3-n79,0.3,0.8
CA_n3-n102,0.3,0.8
CA_n3-n104,0.3,0.8
CA_n3-n105,0.3,0.6
CA_n5-n7,0.3,0.3
CA_n5-n8,0.5,0.5
CA_n5-n12,0.8,0.4
CA_n5-n13,0.5,0.5
CA_n5-n14,0.5,0.5
CA_n5-n25,0.3,0.3
CA_n5-n28,0.7,0.7
CA_n5-n29,0.511,N/A
CA_n5-n30,0.3,0.3
CA_n5-n40,0.3,0.3
CA_n5-n41,0.6,0.3
CA_n5-n48,0.3,0.3
CA_n5-n66,0.3,0.3
CA_n5-n71,0.5,0.5
CA_n5-n77,0.6,0.8
CA_n5-n78,0.6,0.8
CA_n5-n105,0.5,0.5
CA_n7-n8,0.3,0.6
CA_n7-n12,0.3,0.3
CA_n7-n20,0.3,0.3
CA_n7-n25,0.5,0.5
CA_n7-n26,0.3,0.3
CA_n7-n28,0.3,0.3
CA_n7-n29,0.3,N/A
CA_n7-n40,0.5,0.6
CA_n7-n46,0.3,-
CA_n7-n66,0.5,0.5
CA_n7-n67,0.3,N/A
CA_n7-n71,0.6,0.3
CA_n7-n75,0.7,N/A
CA_n7-n77,0.5,0.8
CA_n7-n78,0.5,0.8
CA_n7-n79,0.5,0.8
CA_n7-n102,0.5,0.8
CA_n7-n105,0.3,0.6
CA_n8-n20,0.4,0.4
CA_n8-n28,0.6,0.5
CA_n8-n34,0.3,0.3
CA_n8-n38,0.6,0.3
CA_n8-n39,0.3,0.3
CA_n8-n40,0.3,0.3
CA_n8-n41,0.6,0.3
CA_n8-n50,0.3,0.3
CA_n8-n75,0.3,N/A
CA_n8-n77,0.6,0.8
CA_n8-n78,0.6,0.8
CA_n8-n79,0.3,0.8
CA_n8-n104,0.3,0.8
CA_n12-n25,0.3,0.3
CA_n12-n30,0.3,0.3
CA_n12-n41,0.3,0.3
CA_n12-n48,0.3,0.3
CA_n12-n66,0.8,0.3
CA_n12-n71,1.0,1.0
CA_n12-n77,0.5,0.8
CA_n12-n78,0.5,0.8
CA_n13-n25,0.3,0.3
CA_n13-n66,0.3,0.3
CA_n13-n77,0.5,0.8
CA_n14-n30,0.3,0.3
CA_n14-n66,0.3,0.3
CA_n14-n77,0.5,0.8
CA_n18-n28,0.5,0.5
CA_n18-n40,0.3,0.3
CA_n18-n41,0.3,0.3
CA_n18-n74,0.3,0.3
CA_n18-n77,0.3,0.8
CA_n18-n78,0.3,0.8
CA_n20-n28,0.5,0.5
CA_n20-n40,0.3,0.3
CA_n20-n41,0.3,0.3
CA_n20-n67,0.5,N/A
CA_n20-n71,0.8,0.5
CA_n20-n75,0.3,N/A
CA_n20-n77,0.6,0.8
CA_n20-n78,0.6,0.8
CA_n24-n41,0.3,0.46 / 0.97
CA_n24-n48,0.6,0.8
CA_n24-n77,0.6,0.8
CA_n25-n29,0.3,N/A
CA_n25-n38,0.5,0.5
CA_n25-n41,0.5,0.46 / 0.97
CA_n25-n48,0.6,0.8
CA_n25-n66,0.5,0.5
CA_n25-n71,0.3,0.6
CA_n25-n77,0.6,0.8
CA_n25-n85,0.3,0.6
CA_n26-n28,0.7,0.7
CA_n26-n29,0.5,N/A
CA_n26-n48,0.3,0.8
CA_n26-n66,0.3,0.3
CA_n26-n70,0.3,0.3
CA_n26-n71,0.5,0.5
CA_n26-n77,0.3,0.8
CA_n26-n78,0.3,0.8
CA_n28-n34,0.3,0.3
CA_n28-n38,0.3,0.3
CA_n28-n39,0.3,0.3
CA_n28-n40,0.3,0.3
CA_n28-n41,0.3,0.3
CA_n28-n50,0.3,0.4
CA_n28-n71,1.1,1.1
CA_n28-n74,0.6,0.4
CA_n28-n75,0.3,N/A
CA_n28-n77,0.5,0.8
CA_n28-n78,0.5,0.8
CA_n28-n79,0.5,0.8
CA_n28-n94,0.5,0.6
CA_n28-n102,0.5,0.8
CA_n28-n105,1.0,1.0
CA_n29-n30,N/A,0.3
CA_n29-n48,N/A,0.8
CA_n29-n66,N/A,0.3
CA_n29-n70,N/A,0.3
CA_n29-n71,N/A,0.511
CA_n29-n77,N/A,0.8
CA_n34-n79,0.3,0.8
CA_n30-n66,0.5,0.8
CA_n30-n77,0.3,0.8
CA_n34-n41,0.3,0.3
CA_n34-n79,0.3,0.8
CA_n34-n104,0.5,0.8
CA_n38-n40,0.53,0.53
CA_n38-n66,0.5,0.5
CA_n38-n78,0.3,0.8
CA_n38-n79,0.3,0.8
CA_n39-n41,02 / 0.5,02 / 0.5
CA_n39-n79,0.3,0.8
CA_n40-n41,0.5,0.5
CA_n40-n50,0.3,0.4
CA_n40-n71,0.3,0.3
CA_n40-n75,0.3,N/A
CA_n40-n77,N/A,0.5
CA_n40-n78,N/A,0.5
CA_n40-n79,0.3,0.8
CA_n40-n105,0.3,0.6
CA_n41-n48,0.3,0.8
CA_n41-n50,0.3,0.4
CA_n41-n66,0.86 / 1.37,0.5
CA_n41-n70,0.5,0.5
CA_n41-n71,0.3,0.6
CA_n41-n74,0.3,0.3
CA_n41-n75,0.7,-
CA_n41-n771,0.3,0.8
CA_n41-n781,0.3,0.8
CA_n41-n79,0.3,0.8
CA_n41-n85,0.3,0.6
CA_n41-n104,0.3,0.8
CA_n46-n48,-,0.5
CA_n46-n77,-,0.8
CA_n46-n78,-,0.8
CA_n46-n96,-,0.5
CA_n46-n102,-,0.5
CA_n48-n53,0.53,0.33
CA_n48-n66,0.8,0.6
CA_n48-n70,0.8,0.6
CA_n48-n71,0.3,0.3
CA_n48-n96,0.5,0.5
CA_n50-n77,0.4,0.8
CA_n50-n78,02 / 0.53,02 / 0.53
CA_n66-n70,0.5,0.5
CA_n66-n71,0.3,0.3
CA_n66-n77,0.6,0.8
CA_n66-n78,0.6,0.8
CA_n66-n85,0.3,0.3
CA_n67-n78,N/A,0.8
CA_n70-n71,0.3,0.6
CA_n70-n77,0.6,0.8
CA_n70-n78,0.6,0.8
