Modulation,,MPR (dB),,
,,Edge RB allocations,Outer RB allocations,Inner RB allocations
DFT-s-OFDM,Pi/2 BPSK,≤ 3.5,≤ 0.5,01
,QPSK,≤ 3.5,≤ 1,02
,16 QAM,≤ 3.5,≤ 2,≤ 1
,64 QAM,≤ 3.5,≤ 2.5,
,256 QAM,≤ 4.5,,
CP-OFDM,QPSK,≤ 3.5,≤ 3,≤ 1.5
,16 QAM,≤ 3.5,≤ 3,≤ 2
,64 QAM,≤ 3.5,,
,256 QAM,≤ 6.5,,
"NOTE 1:For a UE indicating support for UE capability powerBoosting-pi2BPSK-QPSK-r18 or powerBoosting-pi2BPSK-QPSK-Modified-r18 and if the IE powerBoostPi2BPSK-r18 is set to 1, the reference power is increased by ΔPPowerBoostNOTE 2:For a UE indicating support for UE capability powerBoosting-pi2BPSK-QPSK-r18 or powerBoosting-pi2BPSK-QPSK-Modified-r18 and if the IE powerBoostQPSK-r18 is set to 1, thereference power is increased by ΔPPowerBoost",,,,
