"Channel Bandwidth, MHz","Carrier Center Frequency, Fc, MHz",Regions,,A-MPR
,,RBend*12*SCSMHz,LCRB*12*SCSMHz,
25 MHz,2534.5 ≤ FC ≤ 2557.5,,Note 1,A3
30 MHz,2515 ≤ FC ≤ 2555,"≥0, <1.44",>0,A4
,,"≥1.44, <13.5",">max (0, 12*SCS*RBend -1.8)",A5
,,"≥13.5, <19.8",>11.52,A6
,,"≥19.8, <25.92",>6.3,A7
,,≥25.92,>0,A8
35 MHz,2517.5 ≤ FC ≤ 2552.5,"≥0, <3.42",>0,A4
,,"≥3.42, <15.84",">max (0, 12*SCS*RBend - 3.06)",A5
,,"≥15.84, <22.68",>12.6,A6
,,"≥22.68, <28.8",>9.0,A7
,,≥28.8,>0,A8
40 MHz,2520 ≤ FC ≤ 2550,"≥0, <4.14",>0,A4
,,"≥4.14, <18",">max (0, 12*SCS*RBend - 4.5)",A5
,,"≥18, <25.74",>13.5,A6
,,"≥25.74, <32.4",>12.6,A7
,,≥32.4,>0,A8
50 MHz,2525 ≤ FC ≤ 2545,"≥0, <9",>0,A4
,,"≥9, <21.6",">max (0, 12*SCS*RBend - 7.2)",A5
,,"≥21.6, <31.5",>18,A6
,,"≥31.5, <39.6",>16.2,A7
,,≥39.6,>0,A8
"NOTE 1:> 9.72 MHz for DFT-s-OFDM, > 16.02 MHz for CP-OFDM.",,,,
