NR CA combination,Spurious emission,,,,,,
,Protected Band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
CA_n1-n18,Frequency range,758,-,799,-50,1,
,Frequency range,799,-,803,-40,1,4
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_n1-n20,Frequency range,758,-,788,-50,1,
CA_n1-n26,Frequency range,945,-,960,-50,1,
,Frequency range,703,-,79924,-50,1,
,Frequency range,79924,-,803,-40,1,4
CA_n1-n28,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,15
,Frequency range,758,-,773,-30,1,4
,Frequency range,773,-,803,-50,1,
,Frequency range,662,-,694,-26.2,6,4
CA_n1-n74,Frequency range,1400,-,1427,-32,27,"4, 20"
,Frequency range,1475,-,1488,-28,1,"4, 21"
,Frequency range,1475,-,1488,-50,1,"4, 22"
,Frequency range,1488,-,1510.9,-35,1,"4, 23"
,Frequency range,1488,-,1518,-50,1,4
CA_n2-n14,Frequency range,769,-,775,-35,0.00625,4
,Frequency range,799,-,805,-35,0.00625,4
CA_n3-n18,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_n3-n20,Frequency range,758,-,788,-50,1,
CA_n3-n26,Frequency range,703,-,79924,-50,1,
,Frequency range,79924,-,803,-40,1,4
,Frequency range,945,-,960,-50,1,
CA_n3-n28,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,15
,Frequency range,758,-,773,-30,1,4
,Frequency range,773,-,803,-50,1,
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,1839.9,-,1879.9,-50,1,4
CA_n3-n74,Frequency range,1400,-,1427,-32,27,"4, 20"
,Frequency range,1475,-,1488,-28,1,"4, 21"
,Frequency range,1475,-,1488,-50,1,"4, 22"
,Frequency range,1488,-,1510.9,-35,1,"4, 23"
,Frequency range,1488,-,1518,-50,1,4
CA_n5-n7,Frequency range,859,-,869,-27,1,
CA_n5-n28,Frequency range,470,-,710,-26.2,6,13
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n5-n78,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,2
,Frequency range,2595,-,2645,-50,1,
CA_n7-n26,Frequency range,703,-,79924,-50,1,
,Frequency range,79924,-,803,-40,1,4
,Frequency range,945,-,960,-50,1,
CA_n7-n28,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n8-n20,Frequency range,758,-,788,-50,1,
CA_n8-n28,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,13
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n13-n25,Frequency range,769,-,775,-35,0.00625,4
,Frequency range,799,-,805,-35,0.00625,4
CA_n13-n66,Frequency range,769,-,775,-35,0.00625,4
,Frequency range,799,-,805,-35,0.00625,4
CA_n13-n77,Frequency range,769,-,775,-35,0.00625,4
,Frequency range,799,-,805,-35,0.00625,4
CA_n14-n30,Frequency range,769,-,775,-35,0.00625,4
,Frequency range,799,-,805,-35,0.00625,4
CA_n14-n66,Frequency range,769,-,775,-35,0.00625,4
,Frequency range,799,-,805,-35,0.00625,4
CA_n14-n77,Frequency range,769,-,775,-35,0.00625,"4, 20"
,Frequency range,799,-,805,-35,0.00625,"4, 20"
CA_n18-n28,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,13
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,799,-50,1,
,Frequency range,799,-,803,-40,1,4
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,4
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_n18-n40,Frequency range,758,-,799,-50,1,
,Frequency range,799,-,803,-40,1,
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_n18-n41,Frequency range,758,-,799,-50,1,
,Frequency range,799,-,803,-40,1,
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,
CA_n18-n74,Frequency range,758,-,799,-50,1,
,Frequency range,799,-,803,-40,1,
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,
,Frequency range,1400,-,1427,-32,27,"4, 20"
,Frequency range,1475,-,1488,-28,1,"4, 21"
,Frequency range,1475,-,1488,-50,1,"4, 22"
,Frequency range,1488,-,1510.9,-35,1,"4, 23"
,Frequency range,1488,-,1518,-50,1,4
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_n18-n77,Frequency range,758,-,799,-50,1,
,Frequency range,799,-,803,-40,1,
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_n18-n78,Frequency range,758,-,799,-50,1,
,Frequency range,799,-,803,-40,1,
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
CA_n20-n28,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n20-n41,Frequency range,758,-,788,-50,1,3
CA_n20-n71,Frequency range,758,-,788,-50,1,
CA_n26-n28,Frequency range,470,-,710,-26.2,6,13
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,79924,-50,1,
,Frequency range,79924,-,803,-40,1,4
CA_n26-n48,Frequency range,703,-,79924,-50,1,
,Frequency range,79924,-,803,-40,1,4
,Frequency range,945,-,960,-50,1,
CA_n26-n78,Frequency range,703,-,799x,-50,1,
,Frequency range,799x,-,803,-40,1,4
,Frequency range,945,-,960,-50,1,
CA_n28-n34,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,13
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n28-n39,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,13
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n28-n40,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n28-n41,Frequency range,470,-,694,-42,8,"4, 14"
,Frequency range,470,-,710,-26.2,6,13
,Frequency range,662,-,694,-26.2,6,4
,Frequency range,758,-,773,-32,1,4
,Frequency range,773,-,803,-50,1,
CA_n28-n46,Frequency range,470,-,694,-42,8,15
,Frequency range,470,-,710,-26.2,6,
,Frequency range,662,-,694,-26.2,6,15
,Frequency range,758,-,773,-32,1,15
