"Channel Bandwidth, MHz","Carrier Center Frequency, Fc, MHz",Regions,,A-MPR
,,RBend*12*SCSMHz,LCRB*12*SCSMHz,
25 MHz,1932.5≤ FC ≤ 1967.5,≥0,≥9.72,A3
,,≥18.72,<1.08,A3
,,≤3.96,<1.08,A3
30 MHz,1935 ≤ FC ≤ 1965,"≥0, <3.6",≥0,A1
,,"≥3.6, <6.48",≥0,A5
,,"≥6.48, <14.4","≥max (0,12*SCS* RBend - 3.6)",A3
,,"≥14.4, <21.6",≥10.8,A4
,,≥21.6,≥10.8,A2
,,≥21.6,<1.08,A5
40 MHz,1940 ≤ FC ≤ 1960,"≥0, <7.2",≥0,A1
,,"≥7.2, <10.44",<1.08,A5
,,"≥7.2, <18","≥max (0, 12*SCS*RBend - 3.6)",A4
,,"≥18, <34.56","≥14.4, <28.8",A2
,,"≥27.36, <34.56",<1.08,A5
,,<34.56,≥28.8,A1
,,≥34.56,≥0,A1
,,"≥6.12, <12.42","< min [1.08, max(0,12*SCS* RBend-6.12)]",A5
,,"≥30.76, <36.72",<1.08,A5
45 MHz,1942.5 ≤ FC ≤ 1957.5,<36.72,"≥16.2, <max (0, 12*SCS*RBend – 6.12)",A2
,,<36.72,"≥max (0, 12*SCS*RBend – 6.12)",A1
,,≥36.72,>0,A1
50 MHz,1945 ≤ FC ≤ 1955,"≥7.74, <14.4","< min [1.08, max(0,12*SCS* RBend-7.74)]",A5
,,"≥36, <39.6",<1.08,A5
,,<39.6,"≥18, <max (0, 12*SCS*RBend – 7.74)",A2
,,<39.6,"≥max (0, 12*SCS*RBend – 7.74)",A1
,,≥39.6,>0,A1
