Waveform,Modulation,"Back-off value A [dB] / Polynomial coefficients C2, C1, C0 [MHz]",,,,,,
,,0,1,2,3,4,5,6
DFT-s-OFDM,Pi/2-BPSK,"-3,40,10","-91,98,0","-248,143,-9","-2148,604,-40","0,0,0",N/A,N/A
,QPSK,"-27,71,1","-49,73,0","-76,76,-3","-108,62,-3","0,0,0",N/A,N/A
,16-QAM,"-34,81,-1(NOTE 1)","-57,92,-5","-69,82,-5","-119,79,-5","0,0,0",N/A,N/A
,64-QAM,"-23,74,-1(NOTE 1)","-61,91,-4(NOTE 1)","-84,92,-5","-116,80,-5","0,0,0",N/A,N/A
,256-QAM,"0, 0, 0(NOTE 2)",N/A,N/A,N/A,N/A,N/A,N/A
CP-OFDM,QPSK,"-32,81,-2(NOTE 1)","-36,77,-3","-40,70,-3","-52,67,-3","-67,60,-3","-101,56,-4","0,0,0"
,16-QAM,"-31,80,-2(NOTE 1)","-32,72,-2(NOTE 1)","-36,66,-2","-48,62,-2","-66,58,-2","-108,60,-4","0,0,0"
,64-QAM,"-28,78,-2(NOTE 1)","-33,73,-2(NOTE 1)","-36,66,-2(NOTE 1)","-48,62,-2","-65,58,-2","-124,67,-5","0,0,0"
,256-QAM,"0, 0, 0(NOTE 2)",N/A,N/A,N/A,N/A,N/A,N/A
"NOTE 1:Back-off value A is less than floor(MPR), thus this polynomial is irrelevant.NOTE 2:For 256-QAM, always A-MPRregrowth = 0.",,,,,,,,
