Modulation/Waveform,,A1 (dB),A2 (dB),A3 (dB),A4 (dB),A5 (dB),A6 (dB),A7 (dB),A8 (dB),A9 (dB),A10 (dB),
,,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer/Inner,Outer,Inner
DFT-s-OFDM,Pi/2 BPSK,≤ 14.5,≤ 7.5,≤ 6.5,≤ 5.0,≤ 6.0,≤ 3.5,≤ 5.5,≤ 12.5,≤ 10.5,≤ 3.5,≤ 3.0
,QPSK,≤ 14.5,≤ 8.5,≤ 6.5,≤ 5.0,≤ 6.0,≤ 3.5,≤ 5.5,≤ 12.5,≤ 10.5,≤ 3.5,≤ 3.0
,16 QAM,≤ 14.5,≤ 8.5,≤ 6.5,≤ 5.0,≤ 6.0,≤ 4.0,≤ 5.5,≤ 12.5,≤ 10.5,≤ 4.0,≤ 4.0
,64 QAM,≤ 14.5,≤ 8.5,≤ 6.5,≤ 5.0,≤ 6.0,≤ 4.0,≤ 5.5,≤ 12.5,≤ 10.5,≤ 4.0,≤ 4.0
,256 QAM,≤ 14.5,≤ 8.5,≤ 6.5,≤ 5.0,≤ 6.0,,≤ 5.5,≤ 12.5,≤ 10.5,,
CP-OFDM,QPSK,≤ 15.5,≤ 10.0,≤ 8.5,≤ 7.0,≤ 6.5,≤ 5.0,≤ 7.0,≤ 13.5,≤ 10.5,≤ 5.0,≤ 4.5
,16 QAM,≤ 15.5,≤ 10.0,≤ 8.5,≤ 7.0,≤ 6.5,≤ 5.0,≤ 7.0,≤ 13.5,≤ 10.5,≤ 5.0,≤ 4.5
,64 QAM,≤ 15.5,≤ 10.0,≤ 8.5,≤ 7.0,≤ 6.5,≤ 5.0,≤ 7.0,≤ 13.5,≤ 10.5,≤ 5.0,≤ 4.5
,256 QAM,≤ 15.5,≤ 10.0,≤ 8.5,≤ 7.0,,,≤ 7.0,≤ 13.5,≤ 10.5,,
