Pre-coding,Modulation,RB Allocation,
,,Full2 (dB),Partial3 (dB)
DFT-s-OFDM,Pi/2 BPSK4,≤ 1.5,≤ 2.5
,QPSK,≤ 2.0,≤ 3.5
,16 QAM,≤ 2.5,≤ 4.0
,64 QAM,≤ 3.5,≤ 4.5
,256 QAM,≤ 5.0,≤ 5.5
CP-OFDM,QPSK,≤ 3.5,≤ 4.5
,16 QAM,≤ 4.0,≤ 4.5
,64 QAM,≤ 5.5,≤ 5.5
,256 QAM,≤ 7.0,≤ 7.0
"NOTE 1:The A-MPR shall apply to all SCS in all active 20 MHz sub-bands contiguously allocated in the channel.NOTE 2: The A-MPR for Full RB allocation applies to all RB’s in all transmitted 20 MHz or larger channels that are fully allocated or all RB’s in all transmitted sub-bands for wideband operation that are fully allocated excluding the wideband configurations of Table 6.2F.2-2.NOTE 3: The A-MPR for Partial RB allocation applies to interlaced allocations with uplink resource allocation type 2 as specified in TS 38.214 [10] or transmitted sub-bands for wideband operation are transmitted according to the wideband configurations of Table 6.2F.2-2.NOTE 4:Applicable to Pi/2-BPSK modulation when IE powerBoostPi2BPSK is set to 0.NOTE 5:The A-MPR applies instead of MPR for 20 MHz channel centered at the nearest NR-ARFCN corresponding to 5955 MHz, 40 MHz channel at the nearest NR-ARFCN corresponding to 5965 MHz, 60 MHz channel at the nearest NR-ARFCN corresponding to 5975 MHz, and 80 MHz channel at the nearest NR-ARFCN corresponding to 5985 MHz.  For all other channels, A-MPR is zero and MPR as specified in Table 6.2F.2-1 applies.",,,
