Uplink NR DC Configuration,Class 1 (dBm),Tolerance (dB),Class 2 (dBm),Tolerance(dB),Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB)
DC_n1A-n3A,,,,,23,+2/-3,,
DC_n1A-n7A,,,,,23,+2/-3,,
DC_n1A-n20A,,,,,23,+2/-3,,
DC_n1A-n28A,,,,,23,+2/-3,,
DC_n1A-n41A,,,,,23,+2/-3,,
DC_n1A-n46A,,,,,23,+2/-3,,
DC_n1A-n77A,,,,,23,+2/-3,,
DC_n1A-n78A,,,,,23,+2/-3,,
DC_n1A-n79A,,,,,23,+2/-3,,
DC_n1A-n102A,,,,,23,+2/-3,,
DC_n1A-n102B,,,,,23,+2/-3,,
DC_n1A-n102C,,,,,23,+2/-3,,
DC_n2A-n5A,,,,,23,+2/-3,,
DC_n2A-n48A,,,,,23,+2/-3,,
DC_n2A-n66A,,,,,23,+2/-3,,
DC_n2A-n77A,,,,,23,+2/-3,,
DC_n3A-n7A,,,,,23,+2/-3,,
DC_n3A-n20A,,,,,23,+2/-3,,
DC_n3A-n28A,,,,,23,+2/-3,,
DC_n3A-n41A,,,,,23,+2/-3,,
DC_n3A-n77A,,,,,23,+2/-3,,
DC_n3A-n78A,,,,,23,+2/-3,,
DC_n3A-n79A,,,,,23,+2/-3,,
DC_n3A-n102A,,,,,23,+2/-3,,
DC_n5A-n13A,,,,,23,+2/-3,,
DC_n5A-n48A,,,,,23,+2/-3,,
DC_n5A-n66A,,,,,23,+2/-3,,
DC_n5A-n77A,,,,,23,+2/-3,,
DC_n7A-n20A,,,,,23,+2/-3,,
DC_n7A-n28A,,,,,23,+2/-3,,
DC_n7A-n46A,,,,,23,+2/-3,,
DC_n7A-n78A,,,,,23,+2/-3,,
DC_n7A-n102A,,,,,23,+2/-3,,
DC_n7A-n102B,,,,,23,+2/-3,,
DC_n7A-n102C,,,,,23,+2/-3,,
DC_n8A-n78A,,,,,23,+2/-3,,
DC_n12A-n77A,,,,,23,+2/-3,,
DC_n13A-n66A,,,,,23,+2/-3,,
DC_n13A-n77A,,,,,23,+2/-3,,
DC_n20A-n78A,,,,,23,+2/-3,,
DC_n25A-n41A,,,,,23,+2/-3,,
DC_n25A-n66A,,,,,23,+2/-3,,
DC_n25A-n71A,,,,,23,+2/-3,,
DC_n25A-n77A,,,,,23,+2/-3,,
DC_n28A-n41A,,,,,23,+2/-3,,
DC_n28A-n46A,,,,,23,+2/-3,,
DC_n28A-n77A,,,,,23,+2/-3,,
DC_n28A-n78A,,,,,23,+2/-3,,
DC_n28A-n79A,,,,,23,+2/-3,,
DC_n28A-n102A,,,,,23,+2/-3,,
DC_n28A-n102B,,,,,23,+2/-3,,
DC_n28A-n102C,,,,,23,+2/-3,,
DC_n41A-n66A,,,,,23,+2/-3,,
DC_n41A-n71A,,,,,23,+2/-3,,
DC_n41A-n77A,,,,,23,+2/-3,,
DC_n41A-n78A,,,,,23,+2/-3,,
DC_n41A-n79A,,,,,23,+2/-3,,
DC_n46A-n48A,,,,,23,+2/-3,,
DC_n46A-n48B,,,,,23,+2/-3,,
DC_n46A-n77A,,,,,23,+2/-3,,
DC_n46A-n78A,,,,,23,+2/-3,,
DC_n48A-n66A,,,,,23,+2/-3,,
DC_n48A-n70A,,,,,23,+2/-3,,
DC_n48A-n71A,,,,,23,+2/-3,,
DC_n48A-n96A,,,,,23,+2/-3,,
DC_n48B-n96A,,,,,23,+2/-3,,
DC_n66A-n71A,,,,,23,+2/-3,,
DC_n66A-n77A,,,,,23,+2/-3,,
DC_n71A-n77A,,,,,23,+2/-3,,
DC_n77A-n79A,,,,,23,+2/-3,,
DC_n77A-n102A,,,,,23,+2/-3,,
DC_n77A-n102B,,,,,23,+2/-3,,
DC_n77A-n102C,,,,,23,+2/-3,,
DC_n78A-n79A,,,,,23,+2/-3,,
DC_n78A-n102A,,,,,23,+2/-3,,
DC_n78A-n102B,,,,,23,+2/-3,,
DC_n78A-n102C,,,,,23,+2/-3,,
DC_n100A-n101A,,,,,23,+2/-3,,
NOTE 1:An uplink DC configuration in which at least one of the bands has NOTE 3 in Table 6.2.1-1 is allowed to reduce the lower tolerance limit by 1.5 dB when the transmission bandwidths of at least one of the bands is confined within FUL_low and FUL_low + 4 MHz or FUL_high - 4 MHz and FUL_high.NOTE 2:PPowerClass is the maximum UE power specified without account of the toleranceNOTE 3:The maximum power requirement applies to the total transmitted power over both the MCG and SCG.NOTE 4:Power class 3 is the default power class unless otherwise stated.,,,,,,,,
