Channel Bandwidth[MHz],Center Frequency[MHz],RB allocation,A-MPRBase  (dB),,,A-MPRstep (dB)
,,,0 ≤ NGap / NRB < 0.2,0.2≤ NGap / NRB < 0.4,0.4≤ NGap / NRB ≤ 1,
10,"5860, 5920",NRB =1,25.0,,,1.0
,,NRB > 1,22.0,,,
,"5870, 5880, 5890, 5900, 5910",NRB =1,5,,,0.8
,,NRB > 1,16.5,12,20,
Note 1:NGap is the gap RB amount between RBstart and RBend for contiguous and non-contiguous allocation simultaneous PSFCH transmission. (NGap = RBend - RBstart),,,,,,
