Network signalling label,Requirements (clause),NR Band,Channel bandwidth (MHz),Resources blocks (NRB),A-MPR (dB)
NS_01,,Table 5.2-1(NOTE 8),"3, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",Table 5.3.2-1,N/A
NS_03,6.5.2.3.3,"n2, n25, n66,n70, n86",,,Clause 6.2.3.7
NS_03U,"6.5.2.3.3, 6.5.2.4.2","n2, n25, n66, n86 (NOTE 1)",,,Clause 6.2.3.7
NS_04,"6.5.2.3.2, 6.5.3.3.1","n41, n90","5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 60, 70, 80, 90, 100",,Clause 6.2.3.2
NS_05,6.5.3.3.4,"n1, n65, n84","5, 10, 15, 20 (NOTE 2)",,Clause 6.2.3.4
NS_05U,"6.5.3.3.4, 6.5.2.4.2","n1, n65, n84 (NOTE 1)","5, 10, 15, 20",,Clause 6.2.3.4
NS_06,6.5.2.3.4,n12,"3, 5, 10, 15",,Clause6.2.3.32
,,"n13, n14","5, 10",,
,,n85,"3, 5, 10, 15",,
,,n110,3,,
NS_07,6.5.2.3.46.5.3.3.26,n13,"5, 10","Table 6.2.3.29-1,Table 6.2.3.29-3",Table6.2.3.29-2.Table 6.2.3.29-4
NS_10,,"n20, n82","15, 20",Table 6.2.3.3-1,Table6.2.3.3-1
NS_12,6.5.3.3.17,n26,"3, 5, 7,10",Table 6.2.3.21-1Table 6.2.3.21-3,Table 6.2.3.21-2Table 6.2.3.21-4
NS_13,6.5.3.3.18,n26,"3, 5, 7",Table 6.2.3.22-1Table 6.2.3.22-3,Table 6.2.3.22-2Table 6.2.3.22-4
NS_14,6.5.3.3.19,"n515, n26","10, 15, 20",Table 6.2.3.23-1Table 6.2.3.23-3,Table 6.2.3.23-2Table 6.2.3.23-4
NS_15,6.5.3.3.20,"n515, n26","3, 5, 7, 10, 15, 20",Table 6.2.3.24-1Table 6.2.3.24-3,Table 6.2.3.24-2Table 6.2.3.24-4
NS_17,6.5.3.3.2,"n28, n8313","3, 5, 10",Table 5.3.2-1,Table 6.2.3.33-2
NS_18,6.5.3.3.3,"n28, n8313, n109","3, 5",,"Table 6.2.3.13-1, A1Table 6.2.3.13-3, A1"
,,,"10, 15, 20",,"Table 6.2.3.13-1, A2Table 6.2.3.13-3, A2"
,,,"25, 30, 40",,"Table 6.2.3.13-1, A3, A4, A5Table 6.2.3.13-3, A3, A4, A5, A6"
NS_21,6.5.2.3.96.5.3.3.12,n30,"5, 10",,Clause 6.2.3.14
NS_24,6.5.3.3.13,n65 (NOTE 4),"5, 10, 15, 20",Table 6.2.3.15-1,Clause 6.2.3.15
