"Channel Bandwidth, MHz","Carrier Center Frequency, Fc, MHz",Regions,,A-MPR
,,RBend*12*SCSMHz,LCRB*12*SCSMHz,
25 MHz,1932.5≤ FC ≤ 1967.5,≥0,≥9.72,A3
,,≥18.72,<1.08,A3
30 MHz,1935 ≤ FC ≤ 1965,≥0,≥13.5,A3
,,≥21.6,<1.08,A5
40 MHz,1940 ≤ FC ≤ 1960,"≥0, <2.88",≥0,A2
,,"≥2.88, <17.1","≥max (0, 12*SCS*RBend - 3.6)",A3
,,"≥17.1, <27.36",≥13.5,A4
,,"≥27.36, <34.56",≥13.5,A2
,,"≥27.36, <34.56",<1.08,A3
,,≥34.56,≥0,A1
45 MHz,1942.5 ≤ FC ≤ 1957.5,"≥0, <4.86",>0,A2
,,"≥4.86, <19","≥max (0, 12*SCS*RBend - 3.6)",A4
,,"≥19, <37.44",≥15.4,A2
,,"≥30.96, <37.44",<1.08,A5
,,≥37.44,>0,A1
50 MHz,1945 ≤ FC ≤ 1955,"≥0, <6.12",>0,A2
,,"≥6.12, <20.7","≥max (0, 12*SCS*RBend - 3.6)",A4
,,"≥20.7, <41.04",≥17.1,A2
,,"≥33.84, <41.04",<1.08,A5
,,≥41.04,>0,A1
