Modulation/Waveform,,A1 (dB),,A2 (dB),,A3 (dB),,A4 (dB),,A5 (dB),,A6 (dB),A7 (dB),
,,Outer,Inner,Outer,Inner,Outer,Inner,Outer,Inner,Outer,Inner,Outer /Inner,Outer,Inner
DFT-s-OFDM,Pi/2 BPSK,≤ 1,N/A,≤ 1.5,N/A,,,,N/A,,N/A,≤ 12,≤ 4,3
,QPSK,≤ 3.5,,,,,,≤ 3.5,,≤ 5.5,,≤ 12,≤ 4,3
,16 QAM,≤ 3.5,,,,,,≤ 3.5,,≤ 5.5,,≤ 12,≤ 5,4
,64 QAM,≤ 3.5,,≤ 4.5,,≤ 5,,,,,,≤ 12,≤ 5.5,5.5
,256 QAM,,,,,,,,,,,≤ 12,≤ 6.5,5.5
CP-OFDM,QPSK,≤ 4,,,,,,≤ 4,,≤ 6,,≤ 12,≤ 6,4.5
,16 QAM,≤ 4,,,,,,≤ 4.5,,≤ 6,,≤ 12,≤ 6,5
,64 QAM,≤ 4,,≤ 5,,≤ 6.5,,,,,,≤ 12,≤ 6.5,6
,256 QAM,,,,,,,,,,,≤ 12,≤ 7,7
