CenterFrequency Fc[MHz],Protected range[MHz],Minimum requirement[dBm],Measurement bandwidth
5179.98 ≤ Fc ≤ 5239.98,5135 ≤ f ≤ 5142,-26,1 MHz
,5142 < f ≤ 5150,-18,
,5250 ≤ f < 5250.2,3 to -2,
,5250.2 ≤ f < 5251,-2 to -10,
,5251 ≤ f < 5260,-10 to -18,
,5260 ≤ f < 5266.7,-18 to -26,
,5266.7 ≤ f ≤ 5365,-26,
5260.02 ≤ Fc ≤ 5320.02,5135 ≤ f ≤ 5233.3,-26,
,5233.3 < f ≤ 5240,-26 to -18,
,5240 < f ≤ 5249,-18 to -10,
,5249 < f ≤ 5249.8,-10 to -2,
,5249.8 < f ≤ 5250,-2 to 3,
,5350 ≤ f ≤ 5365,-26,
5500.02 ≤ Fc ≤ 5719.98,5420 ≤ f ≤ 5460,-26,
,5460 < f ≤ 5470,-19,
,5745 ≤ f < 5765,-19,
,5765 ≤ f ≤ 5800,-26,
NOTE:The minimum requirement when specified as a range denotes the emission requirement at the end points of the protected range.  The requirement within the protected range is obtained by linear interpolation between the requirements at the end points.,,,
