Pre-coding,Modulation,Channel bandwidth (Sub-band allocation) / RB Allocation,,,,,,,,,
,,20 MHz,,40 MHz,,60 MHz,,80 MHz,,100 MHz,
,,Full (dB),Partial (dB),Full (dB),Partial (dB),Full (dB),Partial (dB),Full (dB),Partial (dB),Full (dB),Partial (dB)
DFT-s-OFDM,PI/2 BPSK2,≤ 13.0,≤ 15.5,≤ 9.5,≤ 12.5,≤ 8.0,≤ 11.0,≤ 6.5,≤ 9.5,≤ 6.0,≤ 8.5
,QPSK,≤ 13.0,≤ 15.5,≤ 9.5,≤ 12.5,≤ 8.0,≤ 11.0,≤ 6.5,≤ 9.5,≤ 6.0,≤ 8.5
,16 QAM,≤ 13.0,≤ 15.5,≤ 9.5,≤ 12.5,≤ 8.0,≤ 11.0,≤ 6.5,≤ 9.5,≤ 6.0,≤ 8.5
,64 QAM,≤ 13.0,≤ 15.5,≤ 9.5,≤ 12.5,≤ 8.0,≤ 11.0,≤ 6.5,≤ 9.5,≤ 6.0,≤ 8.5
,256 QAM,≤ 13.0,≤ 15.5,≤ 9.5,≤ 12.5,≤ 8.0,≤ 11.0,≤ 6.5,≤ 9.5,≤ 6.0,≤ 8.5
CP-OFDM,QPSK,≤ 13.0,≤ 15.5,≤ 9.5,≤ 12.5,≤ 8.0,≤ 11.0,≤ 6.5,≤ 9.5,≤ 6.0,≤ 8.5
,16 QAM,≤ 13.0,≤ 15.5,≤ 9.5,≤ 12.5,≤ 8.0,≤ 11.0,≤ 6.5,≤ 9.5,≤ 6.0,≤ 8.5
,64 QAM,≤ 13.0,≤ 15.5,≤ 9.5,≤ 12.5,≤ 8.0,≤ 11.0,≤ 6.5,≤ 9.5,≤ 6.0,≤ 8.5
,256 QAM,≤ 13.0,≤ 15.5,≤ 9.5,≤ 12.5,≤ 8.0,≤ 11.0,≤ 6.5,≤ 9.5,≤ 6.0,≤ 8.5
"NOTE 1:Full allocation A-MPR applies when all RB’s in a 20 MHz channel or all RB’s in all sub-bands for wideband operation are fully allocated and all sub-bands are transmitted.  Partial allocation A-MPR applies when one or more RB’s in one or more sub-bands are not allocated but when all sub-bands within the channel are transmitted.  When not all sub-bands within the channel are transmitted, the A-MPR associated with the channel bandwidth according to the bandwidth of the contiguously transmitted sub-bands and according to the allocation type applies.NOTE 2:Applicable to Pi/2-BPSK modulation when IE powerBoostPi2BPSK is set to 0.",,,,,,,,,,,
