Channel Bandwidth (MHz),RBstart*12*SCS (MHz),LCRB*12*SCS (MHz),A-MPR
10 MHz,≤ 1.44,< 1.44,A5
,≤ 1.8,≥ 2.7+2* RBstart*12*SCS,A4
,>1.8,≥ 8.1- RBstart*12*SCS,A4
15 MHz,≤ 2.88,< 2.7,A5
,≤ 3.24,≥ 2.7+2* RBstart*12*SCS,A3
,>3.24,≥ 12.42- RBstart*12*SCS,A4
20 MHz,≤ 4.32,< 3.6,A5
,≤ 4.5,≥ 3.6+2* RBstart*12*SCS,A3
,>4.5,≥ 17.1- RBstart*12*SCS,A4
25 MHz,≤ LCRB*12*SCS – 5,> 5,A2
,≤ 6.48,≤ 1.44,A5
,> 8.28,"> max (21.6 – RBstart*12*SCS, 0), <RBstart*12*SCS+5",A4
,">1.8, ≤6.48","> 1.44, ≤ 3.6",A6
,"> LCRB *12*SCS – 5, ≤ 1.8",> 1.44,A4
30 MHz,≤ LCRB*12*SCS – 5,>5,A2
,≤ 7.56,≤ 1.44,A5
,">1.8, ≤7.56","> 1.44, ≤ 3.6",A6
,≤ 1.8,">1.44, <RBstart*12*SCS+5",A4
,> 10.8,"> max (26.64 – RBstart*12*SCS, 0), <RBstart*12*SCS+5",A4
35 MHz,≤ 1.62,> 0,A1
,"> 1.62, ≤ 9.36",≤ 9.0,A3
,"> 1.62, ≤ 13.68",> 9.0,A8
,"> 13.68, ≤ 30.6","> max (29.7 –RBstart *12*SCS, 0)",A4
,> 30.6,> 0,A9
40 MHz,≤ 4.32,> 0,A1
,> 4.32,> RBstart*12*SCS + 11.88,A8
,"> 4.32, ≤ 12.96",≤ 10.8,A3
,"> 4.32, ≤ 18","> 10.8, <= RBstart*12*SCS + 11.88",A7
,"> 18, ≤ 31.68","> max (31.68 – RBstart*12*SCS, 0)",A4
,> 31.68,> 0,A9
NOTE 1:The A-MPR values are specified in Table 6.2.3.19-4.,,,
