Channel BW,"Carrier Frequency, Fc MHz",RBend*12*SCS (MHz),LCRB*12*SCS (MHz),A-MPR
3MHz,844.5 < Fc ≤ 847.5,≥1.44,>0,A2
,,≤ 0.18,≤ 0.36,A6
,843.0 < Fc ≤ 844.5,,≥ 1.8,A5
5MHz,840.5 < Fc ≤ 846.5,≥3.24,>0,A1
,,"<3.24, ≥2.52",≥1.44,A2
,,<0.9,≤0.36,A3
,,"<2.53, ≥1.8",≥1.44,A5
,,<1.08,">0.36, ≤0.72",A5
,837.5 < Fc ≤ 840.5,,≥ 3.0,A5
7MHz,841.5 < Fc ≤ 845.5,≥ 4.5,> 0,A8
,,"≥ 2.16, < 4.5",≥ 1.8,A9
,,"≥ 2.16, < 4.5","≥ 1.44, < 1.8",A10
,,< 1.44,≤ 0.36,A11
,837 < Fc ≤ 841.5,≥ 0,> 2.7,A12
,,≥ 5.94,≤ 2.7,A13
10MHz,840 < Fc ≤ 844,≥5.76,>1.08,A1
,,≥5.76,≤1.08,A4
,,"<5.76, ≥4.14",≥2.7,A2
,,<2.52,≤0.36,A3
,,"<4.14, ≥1.8",≥2.52,A5
,,<2.52,">0.36, ≤0.72",A5
,835 < Fc ≤ 840,≥7.2,>0,A1
,,"<7.2, ≥5.22",≥4.32,A2
,,<1.08,≤0.36,A3
,,"<7.2, ≥5.22","<4.32, ≥3.24",A5
,,<1.44,">0.36, ≤0.72",A5
,829 < Fc ≤ 835,,≥ 5.4,A7
15MHz,837.5 < Fc ≤ 841.5,≥9.36,>1.08,A1
,,≥9.36,≤1.08,A4
,,"<9.36, ≥4.68",≥3.6,A2
,,<3.96,≤0.36,A3
,,"<4.68, ≥1.8",≥2.52,A5
,,<3.96,">0.36, ≤1.08",A5
,831.5 < Fc ≤ 837.5,≥10.8,>1.08,A1
,,≥10.8,≤1.08,A4
,,"<10.8, ≥6.48",≥3.6,A2
,,<2.7,≤0.36,A3
,,<2.7,">0.36, ≤0.72",A5
,Fc ≤ 831.5,≥13.14,>0,A1
,,"<13.14, ≥7.92",≥3.6,A2
,,<0.72,≤0.36,A3
,,<1.08,">0.36, ≤0.72",A5
20MHz,835 < Fc ≤ 839,≥12.24,>1.08,A1
,,≥12.24,≤1.08,A4
,,"<12.24, ≥8.46",≥5.4,A2
,,<5.58,≤0.36,A3
,,"< 8.46, ≥1.8",≥3.6,A5
,,<6.12,">0.36, ≤1.08",A5
,,"<12.24, ≥8.46","< 5.4, ≥3.6",A5
,Fc ≤ 835,≥13.68,>1.08,A1
,,≥13.68,≤1.08,A4
,,"<13.68, ≥8.46",≥5.4,A2
,,<4.32,≤0.36,A3
,,<4.68,">0.36, ≤1.08",A5
