"Channel Bandwidth, MHz","Carrier Centre Frequency, Fc, MHz",Region A,,,Region B,,,Region C,,
,,RBend*12*SCSMHz,LCRB*12*SCSMHz,A-MPR,RBend*12*SCSMHz,LCRB*12*SCSMHz,A-MPR,RBend*12*SCSMHz,LCRB*12*SCSMHz,A-MPR
5MHz,1987.5 < Fc ≤ 1992.5,,>3.24,A7,,,,,,
5MHz,1992.5 < Fc ≤ 1997.5,,>3.24,A4,,,,,,
5MHz,1997.5 < Fc ≤ 2002.5,,>1.98,A1,>3.6,>1.08 ≤1.98,A2,≤3.6,≤1.98,A3
,,,,,,≤1.08,A6,,,
10MHz,1975 < Fc ≤ 1985,>5.4,,A4,,,,,,
10MHz,1985 < Fc ≤ 1995,,>4.32,A1,≥7.2,>1.08 ≤4.32,A2,<7.2,≤4.32,A3
,,,,,,≤1.08,A6,,,
10MHz,1995 < Fc ≤ 2000,≥5.76,,A5,<3.06,,A5,≥3.06<5.76,>1.44,A6
15MHz,1972.5 < Fc ≤ 1987.5,,>6.84,A1,≥10.8,>1.08 ≤6.84,A2,<10.8,≤6.84,A3
,,,,,,≤1.08,A6,,,
15MHz,1987.5 < Fc ≤ 1997.5,≥8.64,,A5,<3.78,,A5,≥3.78<8.64,>1.44,A6
20MHz,1970 < Fc ≤ 1990,≥12.96,,A5,<4.68,,A5,≥4.68<12.96,>2.16,A6
20MHz,1990 < Fc ≤ 1995,≥11.52,,A5,<5.58,,A5,≥5.58<11.52,>1.44,A6
"NOTE 1:The A-MPR values are listed in Table 6.2.3.15-2.NOTE 2:For any undefined region, MPR applies",,,,,,,,,,
