Pre-coding,Modulation,RB Allocation (Note 2),RB Allocation (Note 3),
,,Full/Partial,Full (dB),Partial (dB)
DFT-s-OFDM,PI/2 BPSK4,See Table 6.2F.2-1,≤ 2.5,≤ 5.0
,QPSK,,≤ 2.5,≤ 5.0
,16 QAM,,≤ 3.0,≤ 5.0
,64 QAM,,≤ 3.5,≤ 5.0
,256 QAM,,≤ 5.0,≤ 6.0
CP-OFDM,QPSK,,≤ 4.5,≤ 6.0
,16 QAM,,≤ 4.5,≤ 6.0
,64 QAM,,≤ 5.5,≤ 6.0
,256 QAM,,≤ 7.0,≤ 7.0
"NOTE 1:Full allocation A-MPR applies when all RB’s in a 20 MHz channel or all RB’s in all sub-bands for wideband operation are fully allocated and all sub-bands are transmitted.  Partial allocation A-MPR applies when one or more RB’s in one or more sub-bands are not allocated or when not all transmitted sub-bands for wideband operation are transmitted.NOTE 2:Applicable for all valid channels and bandwidths other than those enumerated in NOTE 3.NOTE 3:Applicable for 40 MHz channels centered at the nearest NR-ARFCN corresponding to [5965 MHz], 60 MHz channels centered at the nearest NR-ARFCN corresponding to [5975 and 5995 MHz], and 80 MHz channels centered at the nearest NR-ARFCN corresponding to [5985 MHz].NOTE 4:Applicable to Pi/2-BPSK modulation when IE powerBoostPi2BPSK is set to 0.",,,,
