"Channel Bandwidth, MHz","Carrier Center Frequency, Fc, MHz",Regions,,A-MPR
,,RBend*12*SCSMHz,LCRB*12*SCSMHz,
10 MHz,1925≤ FC ≤ 1975,≥0,≥8.1,A6
,,<1.8,≥0,A6
15 MHz,1927.5≤ FC ≤ 1972.5,≥0,≥9,A6
,,≥0,"≥max (0,12*SCS* RBend - 2.88)<9",A6
20 MHz,1930≤ FC ≤ 1970,≥0,≥9.72,A6
,,≥0,"≥max (0,12*SCS* RBend - 3.6)<9.72",A6
,,≥0,≥9.72,A4
,,≥0,"≥7.92, <9.72",A6
25 MHz,1932.5≤ FC ≤ 1967.5,≥18.72,<1.08,A3
,,≤3.96,<1.08,A3
,,≤3.96,≥1.08,A6
,,"≤6.48, >3.96",<3.6,A6
,,"≥0, <3.6",≥0,A1
,,"≥3.6, <6.48",≥0,A5
,,"≥6.48, <7.92","<max (0,12*SCS*RBend - 4.32)",A6
,,"≥6.48, <14.4","≥max (0,12*SCS* RBend - 3.6)",A3
30 MHz,1935 ≤ FC ≤ 1965,"≥7.92, <14.4","<max (0,12*SCS*RBend - 3.6),≥max (0,12*SCS*RBend - 4.32)",A6
,,"≥14.4, <21.6",≥10.8,A4
,,≥21.6,≥10.8,A2
,,≥14.4,"≥10.44, <10.8",A6
,,≥21.6,<1.08,A5
,,≥21.6,"<1.8, ≥1.08",A1
,,"≥0, <7.2",≥0,A1
,,"≥7.2, <10.44",<1.08,A5
,,"≥7.2, <11.52","≥1.08, <3.06",A6
,,"≥10.44, <11.52",<1.08,A6
,,"≥7.2, <18","≥max (0, 12*SCS*RBend - 3.6)",A4
40 MHz,1940 ≤ FC ≤ 1960,"≥7.2, <18","≥3.06,≥max (3.06, 12*SCS*RBend - 6.48),<max (3.06, 12*SCS*RBend - 3.6)",A6
,,"≥18, <34.56","≥14.4, <28.8",A2
,,"≥18, <34.56","<14.4, ≥11.16",A6
,,"≥27.36, <34.56",<1.08,A5
,,<34.56,≥28.8,A1
,,≥34.56,≥0,A1
,,"≥6.12, <12.42","< min (1.08, max(0,12*SCS* RBend-6.12))",A5
,,"≥30.76, <36.72",<1.08,A5
,,<36.72,"≥12.24, <16.2<max (0, 12*SCS*RBend - 6.12)",A6
45 MHz,1942.5 ≤ FC ≤ 1957.5,<36.72,"≥16.2, <max (0, 12*SCS*RBend – 6.12)",A2
,,<36.72,"≥max (0, 12*SCS*RBend – 6.12)",A1
,,<36.72,"≥1.08, <12.24<max (0, 12*SCS*RBend - 6.12)≥max (0, 12*SCS*RBend - 7.92)",A6
,,≥36.72,>0,A1
,,"≥7.74, <14.4","<min (1.08, max(0,12*SCS* RBend-7.74))",A5
,,"≥36, <39.6",<1.08,A5
,,<39.6,"≥18, <max (0, 12*SCS*RBend - 7.74)",A2
50 MHz,1945 ≤ FC ≤ 1955,<39.6,"≥13.68, <18,<max (0, 12*SCS*RBend - 7.74)",A6
,,<39.6,"≥max (0, 12*SCS*RBend- 7.74)",A1
,,<39.6,"≥1.08, <13.68,<max (0, 12*SCS*RBend - 7.74)≥max (0, 12*SCS*RBend - 10.08)",A6
,,≥39.6,>0,A1
