Band combination for SUL,"ΔTIB,c for NR bands (dB)3",
,Component band in order of bands in configuration4,
SUL_n1-n80,0.3,0.3
SUL_n1-n81,0.3,0.3
SUL_n1-n89,0.3,0.3
SUL_n3-n84,0.3,0.3
SUL_n5-n84,0.3,0.3
SUL_n8-n84,0.3,0.3
SUL_n41-n80,0.31 / 0.82,0.5
SUL_n41-n81,0.3,0.3
SUL_n41-n83,0.3,0.3
SUL_n41-n97,0.5,0.5
SUL_n41-n98,0.5,0.5
SUL_n41-n99,0.41 / 0.92,0.3
SUL_n48-n99,0.6,0.8
SUL_n77-n80,0.8,0.6
SUL_n77-n84,0.8,0.6
SUL_n77-n99,0.6,0.8
SUL_n78-n80,0.8,0.6
SUL_n78-n81,0.8,0.6
SUL_n78-n82,0.8,0.6
SUL_n78-n83,0.8,0.5
SUL_n78-n84,0.8,0.3
SUL_n78-n86,0.8,0.6
SUL_n78-n89,0.8,0.6
SUL_n79-n83,0.8,0.5
SUL_n79-n97,0.8,0.3
SUL_n79-n98,0.8,0.3
SUL_n80-n104,0.3,0.8
SUL_n81-n104,0.3,0.8
SUL_n83-n104,0.5,0.8
SUL_n84-n104,0.6,0.8
SUL_n89-n104,0.6,0.8
"NOTE 1:The requirement is applied for UE transmitting on the frequency range of 2515 – 2690MHz.NOTE 2:The requirement is applied for UE transmitting on the frequency range of 2496 - 2515MHz.NOTE 3:“-” denotes ΔTIB,c = 0.NOTE 4:The component band order in the configuration should be listed by the order of NR bands such as for SUL_n41-n81 the order of band is n41 and n81.",,
