Channel Bandwidth (MHz),"Carrier Centre Frequency, Fc (MHz)",Region A,,Region B,,,
,,RBstart+LCRB,A-MPROuter/Inner (dB),RBstart,RBstart+LCRB,A-MPRInner (dB),A-MPROuter (dB)
5,1512 ≤ FC ≤ 1514.5,> 3.1 MHz / 12 / SCS,≤ 7,< 0.90 MHz / 12 / SCS,≤ 3.1 MHz / 12 / SCS,≤ 1.5,≤ 4
10,1497 ≤ FC ≤ 1512,> 6.2 MHz / 12 / SCS,≤ 8,< 0.90 MHz / 12 / SCS,≤ 6.2 MHz / 12 / SCS,≤ 1.5,≤ 5
15,1502 ≤ FC ≤ 1509.5,> 9.3 MHz / 12 / SCS,≤ 8,< 3.06 MHz / 12 / SCS,≤ 9.3 MHz / 12 / SCS,≤ 1.5,≤ 5
20,1497 ≤ FC ≤ 1507,> 12.4 MHz / 12 / SCS,≤ 8,< 4.50 MHz / 12 / SCS,≤ 12.4 MHz / 12 / SCS,≤ 1.5,≤ 5
30,1477 ≤ FC ≤ 1502,> 18.6 MHz / 12 / SCS,≤ 8,< 5.40 MHz / 12 / SCS,≤ 18.6 MHz / 12 / SCS,≤ 1.5,≤ 5
40,1477 ≤ FC ≤ 1497,> 24.8 MHz / 12 / SCS,≤ 8,< 5.40 MHz / 12 / SCS,≤ 24.8 MHz / 12 / SCS,≤ 1.5,≤ 5
50,1467 ≤ FC ≤ 1492,> 31 MHz / 12 / SCS,≤ 8,< 7.20 MHz / 12 / SCS,≤ 31 MHz / 12 / SCS,≤ 1.5,≤ 5
60,1462 ≤ FC ≤ 1487,> 37.2 MHz / 12 / SCS,≤ 8,< 7.20 MHz / 12 / SCS,≤ 37.2 MHz / 12 / SCS,≤ 1.5,≤ 5
NOTE 1 - 5:Void,,,,,,,
