Network signalling label,Requirements (clause),NR Band,Channel bandwidth (MHz),Resources blocks (NRB),A-MPR (clause)
NS_01,,"n46, n96","20, 40, 60, 80",,N/A
NS_28,"6.5F.3.3.1, 6.2F.1",n46,"20, 40, 60, 80",,6.2E.3F.8
NS_29,"6.5F.3.3.2, 6.2F.1",n46,"20, 40, 60, 80",,6.2E.3F.9
NS_30,"6.5F.3.3.3, 6.2F.1",n46,"20, 40, 60, 80",,6.2E.3F.10
NS_31,"6.5F.3.3.4, 6.2F.1",n46,"20, 40, 60, 80",,6.2E.3F.2
NS_54,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80",,6.2E.3F.11
NS_61,"6.5F.3.3.7, 6.2F.1",n96,"20, 40, 60, 80, 100",,6.2E.3F.6
NS_64,"6.5F.3.3.9, 6.2F.1",n102,"20, 40, 60, 80, 100",,6.2E.3F.14
NS_65,6.2F.1,n102,"20, 40, 60, 80, 100",,6.2E.3F.15
NS_66,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80, 100",,6.2E.3F.16
NS_67,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80, 100",,6.2E.3F.17
NS_68,6.2F.1,n102,"20, 40, 60, 80, 100",,6.2E.3F.18
NS_69,6.5F.3.3.8,n102,"20, 40, 80",,6.2E.3F.19
NS_71,"6.5F.3.3.5, 6.2F.1",n96,"20, 40, 60, 80, 100",,6.2E.3F.17
NOTE 1:The A-MPR shall apply to all active 20 MHz sub-bands contiguously allocated in the channel.,,,,,
