Change history,,,,,,,,
Date,Meeting,TDoc,CR,Rev,Cat,Subject/Comment,New version,
2024-12,RAN#106,RP-243073,1304,,B,Big CR on Rel-19 HPUE for DC combinations of LTE band(s) and NR band(s),19.0.0,
2024-12,RAN#106,RP-243072,1313,,B,big CR 38.101-3 for NR_CADC_SUL_R19,19.0.0,
2024-12,RAN#106,RP-243071,1326,,B,BigCR for DC_R19_xBLTE_yBNR,19.0.0,
2025-03,RAN#107,RP-250584,1339,,A,CR 38.101-3 Clarification of collocation requirements R19,19.1.0,
2025-03,RAN#107,RP-250614,1343,,B,"Big CR on Rel-19 HPUE for DC combinations of LTE band(s) and NR band(s)NOTE: Partial Implemented, as Table 7.3B.2.3.5.1-1a does not exist and Table 7.3B.2.3.2-1a was not implementable.",19.1.0,
2025-03,RAN#107,RP-250620,1346,,B,BigCR to 38.101-3: Simultaneous Rx-Tx,19.1.0,
2025-03,RAN#107,RP-250581,1349,,A,(DC_R18_1BLTE_1BNR_2DL2UL) CR to to change the B66 DL test frequency of DC_66A_n77A/n41A/n38A in Tables 7.3B.2.3.4-1&1a from 2197.5MHz to 2177.5MHz - TS38.101-3,19.1.0,
2025-03,RAN#107,RP-250581,1354,,A,(DC_R16_1BLTE_1BNR_2DL2UL-Core) Corrections on reference sensitivity for intra-band contiguous and inter-band EN-DC configurations_R19_CAT_A,19.1.0,
2025-03,RAN#107,RP-250598,1356,,A,(DC_R18_xBLTE_2BNR_yDL2UL-Core) Removal of redundant EN-DC configurations including FR1 and FR2_R19_CAT_A,19.1.0,
2025-03,RAN#107,RP-250602,1358,,A,(NR_CADC_R18_2BDL_xBUL-Core) Corrections on NR CA band for two bands between FR1 and FR2_R19_CAT_A,19.1.0,
2025-03,RAN#107,RP-250612,1359,,B,BigCR for DC_R19_xBLTE_yBNR,19.1.0,
2025-03,RAN#107,RP-250613,1360,,B,big CR 38.101-3 for NR_CADC_SUL_R19,19.1.0,
2025-03,RAN#107,RP-250579,1365,,A,CR for TS 38.101-3 to correct Test BW configuration of DC_5A-7A_n78A MSD,19.1.0,
2025-03,RAN#107,RP-250581,1373,,A,(DC_R17_1BLTE_1BNR_2DL2UL-Core) Cat A CR for TS 38.101-3-j0 Intra-band contiguous MSD clean-up,19.1.0,
2025-06,RAN#108,RP-250954,1374,,B,Big CR on Rel-19 HPUE for DC combinations of LTE band(s) and NR band(s),19.2.0,
2025-06,RAN#108,RP-250951,1375,1,F,CR Bugfixes and missing Fallbacks 38101-3-j10_s00-05,19.2.0,
2025-06,RAN#108,RP-250922,1378,,A,(DC_R18_xBLTE_2BNR_yDL2UL-Core) CR for TS 38.101-3 to modify some errors for DC_1A-3A-20A_n8A-n78A,19.2.0,
2025-06,RAN#108,RP-250913,1383,,A,(DC_R16_2BLTE_1BNR_3DL2UL) CR to correct the Band 41 BW used for the DC_5A_41A_n79A MSD in clause 7.3B.2.3.5.2 according to CA_5A-41A - TS38.101-3,19.2.0,
2025-06,RAN#108,RP-250917,1386,,A,(DC_R17_1BLTE_1BNR_2DL2UL-Core) CR to clarify the applicable SCS when UE testing in clause 7.3A.1 - TS 38.101-3,19.2.0,
2025-06,RAN#108,RP-250922,1389,,A,(  4Rx_low_NR_band_handheld_3Tx_NR_CA_ENDC)CR for 38.101-3 adding the missing NOTE for 3Tx DC_40A_n78A,19.2.0,
2025-06,RAN#108,RP-250951,1391,,B,"Big CR for DC_R19_xBLTE_yBNRNOTE: This CR was partially implemented as the Tabular for Table 5.5B.6a.3-1 in the CR was actually Table 5.5B.6a.4-1 and therefore, not the correct inTabutlar input. The author provided the correct Tabular for Table 5.5B.6a.3-1 during conflict resolution period.",19.2.0,
2025-06,RAN#108,RP-250913,1397,,A,(DC_R16_1BLTE_1BNR_2DL2UL-Core) Corrections on single UL allowed for two bands EN-DC configurations_R19_CAT_A,19.2.0,
2025-06,RAN#108,RP-250917,1400,,A,(DC_R17_1BLTE_1BNR_2DL2UL-Core) Corrections on multiple entries for EN-DC configuration MSD test points_R19_CAT_A,19.2.0,
2025-06,RAN#108,RP-250922,1402,,A,(DC_R18_1BLTE_1BNR_2DL2UL-Core) Corrections on band n66 DL test frequency for DC_30A_n66A_R19_CAT_A,19.2.0,
2025-06,RAN#108,RP-250952,1403,,B,big CR 38.101-3 for NR_CADC_SUL_R19,19.2.0,
2025-06,RAN#108,RP-250952,1404,,F,CR 38.101-3 correcting 2 bands NR CA combinatons,19.2.0,
2025-06,RAN#108,RP-250954,1405,1,A,(HPUE_DC_LTE_NR_R19) CR for TS 38.101-3 to add the missing Note and correct the MSD values for DC_18A_n77A in Rel-19,19.2.0,
2025-06,RAN#108,RP-250953,1406,,B,BigCR to 38.101-3 Simultaneous Rx-Tx,19.2.0,
2025-09,RAN#109,RP-252381,1408,,A,CR to 38.101-3 Rel-18 Band Combination Bug Fixes CATA Rel19,19.3.0,
2025-09,RAN#109,RP-252412,1409,,B,Big CR on 38.101-3 for Support of intra-band non-collocated EN-DC/NR-CA deployment Phase 2,19.3.0,
2025-09,RAN#109,RP-252377,1412,,A,(DC_R17_1BLTE_1BNR_2DL2UL-Core) CR to correct and clarify the applicable RB allocations for 30kHz SCS when UE testing in clause 7.3B.1 - TS 38.101-3,19.3.0,
2025-09,RAN#109,RP-252377,1415,,A,(DC_R18_xBLTE_1BNR_yDL2UL-Core) CR to TR 38.101-3 on corrections to categories of EN-DC configurations_R19_CAT_A,19.3.0,
2025-09,RAN#109,RP-252402,1416,,B,Big CR on Rel-19 HPUE for DC combinations of LTE band(s) and NR band(s),19.3.0,
2025-09,RAN#109,RP-252396,1419,,B,Big CR for DC_R19_xBLTE_yBNR,19.3.0,
2025-09,RAN#109,RP-252417,1420,,B,Big CR 38.101-3 for NR_CADC_SUL_R19,19.3.0,
2025-09,RAN#109,RP-252419,1413,1,B,Big formal CR for TS38.101-3 for HPUE objective,19.3.0,
2025-09,RAN#109,RP-252396,1422,1,F,CR 38.101-3 correcting 3DL EN-DC configurations,19.3.0,
2025-09,RAN#109,RP-252395,1424,,A,Rel-19 CR for TS 38.101-3 Remove the spurious emission requirements for band combinations coexisting with PHS system [PHS_System],19.3.0,
2025-12,RAN#110,RP-253667,1428,,A,(DC_R17_1BLTE_1BNR_2DL2UL-Core) CR for TS 38.101-3 to modify the RB allocations for MSD tests of 30kHz SCS bands.,19.4.0,
2025-12,RAN#110,RP-253639,1430,2,F,CR 38.101-3 to change MSD for n41 10MHz CBW and remove redundant MSD due to IMD,19.4.0,
2025-12,RAN#110,RP-253642,1431,,B,Big CR on Rel-19 HPUE for DC combinations of LTE band(s) and NR band(s),19.4.0,
2025-12,RAN#110,RP-253667,1433,,A,(DC_R18_1BLTE_1BNR_2DL2UL-Core) CR to correct note used for DC_2_n71 and DC_71_n2 in clause 7.3B.2.3.1 - TS 38.101-3,19.4.0,
2025-12,RAN#110,RP-253675,1438,,A,(NR_newRAT-Core) DC_19A-21A_n79A PC3 REFSENS MSD test points correction on DL frequency for band 19,19.4.0,
2025-12,RAN#110,RP-253667,1440,,A,(HPUE_FR1_DC_LTE_NR_R18-Core) DC_19A-21A_n79A PC2 REFSENS MSD test points correction on DL frequency for band 19,19.4.0,
