Parameter,Unit,Value,,,,,
Channel bandwidth,MHz,1.4,3,5,10,15,20
Allocated resource blocks,,6,15,25,50,75,100
Uplink-Downlink Configuration (NOTE 2),,2,2,2,2,2,2
Special subframe configuration (NOTE 3),,7,7,7,7,7,7
DFT-OFDM Symbols per Sub-Frame,,12,12,12,12,12,12
Modulation,,64QAM,64QAM,64QAM,64QAM,64QAM,64QAM
Target Coding rate,,3/4,3/4,3/4,3/4,3/4,3/4
Payload size,,,,,,,
"For Sub-Frame 2,7",Bits,3752,9528,15840,31704,46888,63776
Transport block CRC,Bits,24,24,24,24,24,24
Number of code blocks per Sub-Frame (NOTE 1),,,,,,,
"For Sub-Frame 2,7",,1,2,3,6,8,11
Total number of bits per Sub-Frame,,,,,,,
"For Sub-Frame 2,7",Bits,5184,12960,21600,43200,64800,86400
Total symbols per Sub-Frame,,,,,,,
"For Sub-Frame 2,7",,864,2160,3600,7200,10800,14400
UE Category (NOTE 4),,"5, 8","5, 8","5, 8","5, 8","5, 8","5, 8"
UE UL Cateogry (NOTE 4),,"5, 8, 13, 14","5, 8, 13, 14","5, 8, 13, 14","5, 8, 13, 14","5, 8, 13, 14","5, 8, 13, 14"
"NOTE 1:If more than one Code Block is present, an additional CRC sequence of L = 24 Bits is attached to each Code Block (otherwise L = 0 Bit)NOTE 2:As per Table 4.2-2 in TS 36.211 [7]NOTE 3:As per Table 4.2-1 in TS 36.211 [7]NOTE 4: If UE does not report UE UL category, then the applicability of reference channel is determined by UE category. If UE reports UE UL category, then the applicability of reference channel is determined by UE UL category.",,,,,,,
